algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_km_mp_hard_voting_gaussian_False_spread_window_100,2035.3352558612823,0.504,126,124,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17322,16900,17720,6.760423183441161
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32054,21500,22000,6.957194566726685
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32105,11500,12000,6.143709182739258
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3042,2800,3200,0.9987547397613527
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2050,1291,1492,0.5525951385498047
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1670,1603,1827,0.5367634296417237
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2452,2420,2644,0.5691988468170166
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,3429,1449,1697,0.4394438266754151
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,832,752,1000,0.4412939548492433
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2027,1906,2154,0.4237861633300782
011_UCR_Anomaly_DISTORTEDECG1,correct,1894,1700,2200,2.399333715438842
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10800,900,1200,1.7673509120941162
013_UCR_Anomaly_DISTORTEDECG3,correct,980,900,1200,1.955425262451172
014_UCR_Anomaly_DISTORTEDECG3,correct,8982,8900,9200,2.9041905403137207
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,32.836153745651245
016_UCR_Anomaly_DISTORTEDECG4,correct,11979,11800,12200,2.8763403892517094
017_UCR_Anomaly_DISTORTEDECG4,correct,11979,11900,12200,2.757599115371705
018_UCR_Anomaly_DISTORTEDECG4,correct,8980,8900,9200,2.7612099647521973
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1138,1068,1312,0.8040277957916259
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2320,2075,2488,0.7955386638641359
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,927,848,1093,0.7856132984161376
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2560,2427,2745,0.7524826526641846
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3661,3512,3816,0.6690614223480227
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.4854631423950196
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2774,2707,2934,0.41690587997436523
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4080,3884,4254,0.6608185768127443
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,574,2887,3099,0.6870942115783691
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1625,1498,1809,0.6868612766265868
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,2992,2085,2387,0.5617809295654297
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1149,1087,1297,0.4092302322387696
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3114,2959,3319,0.6105916500091554
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3725,3575,4133,0.8765277862548826
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2182,2100,2470,0.4615304470062256
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2048,1874,2229,0.862734079360962
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3204,3265,3574,0.8210470676422122
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1614,2299,2581,0.32782125473022466
