algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_km_mp_hard_voting_gaussian_True_spread_window_100,2037.5868906974792,0.512,128,122,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31849,16900,17720,6.767138481140136
002_UCR_Anomaly_DISTORTED2sddb40,correct,21548,21500,22000,6.972168207168579
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32141,11500,12000,6.154827356338501
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3046,2800,3200,1.0039143562316895
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2124,1291,1492,0.5541019439697266
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1670,1603,1827,0.5381994247436525
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2488,2420,2644,0.5706145763397217
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,744,1449,1697,0.4406640529632569
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,892,752,1000,0.442690134048462
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2003,1906,2154,0.42490839958190924
011_UCR_Anomaly_DISTORTEDECG1,correct,1880,1700,2200,2.4056777954101554
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10874,900,1200,1.77003812789917
013_UCR_Anomaly_DISTORTEDECG3,correct,980,900,1200,1.9581711292266848
014_UCR_Anomaly_DISTORTEDECG3,correct,8982,8900,9200,2.9099619388580322
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,32.87748336791992
016_UCR_Anomaly_DISTORTEDECG4,correct,11979,11800,12200,2.8842053413391118
017_UCR_Anomaly_DISTORTEDECG4,correct,11979,11900,12200,2.764153242111207
018_UCR_Anomaly_DISTORTEDECG4,correct,8980,8900,9200,2.763343334197998
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1186,1068,1312,0.8048913478851317
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,2047,2075,2488,0.7964911460876466
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,920,848,1093,0.7876012325286864
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2560,2427,2745,0.7544779777526855
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3673,3512,3816,0.670423746109009
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.486865520477295
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2774,2707,2934,0.4185826778411865
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4080,3884,4254,0.6623756885528566
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2945,2887,3099,0.6886334419250488
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1606,1498,1809,0.688699722290039
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5149,2085,2387,0.5633544921875
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1140,1087,1297,0.41056537628173834
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,4749,2959,3319,0.61126446723938
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3728,3575,4133,0.8775177001953123
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2182,2100,2470,0.4620077610015869
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2126,1874,2229,0.8636517524719239
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3263,3265,3574,0.8218567371368412
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1688,2299,2581,0.3284492492675782
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12191,12110,12360,2.986161708831788
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24771,22762,23032,2.703484296798706
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11351,11290,11520,3.158742427825927
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23967,11290,11620,2.4791672229766846
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10384,10290,10620,2.5127313137054434
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22756,5090,5520,3.1622531414031982
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9357,9180,9540,1.7670280933380125
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9390,9385,9921,1.8964810371398926
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,3055,9257,9817,1.7526464462280271
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,6769,7305,7577,1.8672704696655271
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6089,5905,6177,1.13469386100769
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2524,2388,2685,1.0205795764923096
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,878,1765,1980,0.7796478271484375
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1556,2388,2685,0.7634341716766359
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5788,5730,5940,0.9222033023834229
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1263,1111,1409,0.9413266181945803
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4249,1164,1595,0.5830295085906984
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3172,3120,3379,0.4665307998657226
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,10998,10850,11200,3.6793589591979976
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,22834,6011,6311,4.378717899322508
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,26921,9900,10200,4.095263719558717
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2243,2140,2408,3.3328742980957036
059_UCR_Anomaly_DISTORTEDgait1,correct,18762,18400,18900,5.590618848800659
060_UCR_Anomaly_DISTORTEDgait2,correct,24747,24400,24900,5.450123310089112
061_UCR_Anomaly_DISTORTEDgait3,incorrect,11242,35300,36100,4.828032493591309
062_UCR_Anomaly_DISTORTEDgaitHunt1,incorrect,4568,14470,14780,5.22242045402527
063_UCR_Anomaly_DISTORTEDgaitHunt2,correct,12770,12600,13450,6.0973169803619385
064_UCR_Anomaly_DISTORTEDgaitHunt3,incorrect,11728,14900,15900,5.823556423187255
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5784,3900,4130,0.7822227478027345
066_UCR_Anomaly_DISTORTEDinsectEPG2,correct,4265,4200,4425,0.8651311397552491
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1084,1700,1950,0.444997787475586
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5205,5108,5358,0.9422683715820312
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5271,5200,5401,0.7831077575683594
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35134,34945,35345,4.3977634906768825
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29676,29500,29900,3.499130964279175
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,incorrect,33533,32500,32900,5.0300228595733625
073_UCR_Anomaly_DISTORTEDpark3m,correct,12401,12050,12595,3.1179063320159908
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,25475,8300,8900,4.424825668334962
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,1349,9300,9900,2.946691751480103
076_UCR_Anomaly_DISTORTEDresperation10,incorrect,86562,82600,83980,25.384727239608765
077_UCR_Anomaly_DISTORTEDresperation11,incorrect,76582,52700,52901,24.527527093887326
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34581,10160,10512,12.856313943862917
