algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_km_mp_simple_average,2032.2746107578278,0.568,142,108,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31891,16900,17720,6.7567851543426505
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32097,21500,22000,6.953555345535278
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32097,11500,12000,6.139984846115112
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3002,2800,3200,0.9984781742095948
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,correct,1362,1291,1492,0.5527911186218262
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1697,1603,1827,0.536926031112671
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2510,2420,2644,0.5694580078125
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,797,1449,1697,0.4395246505737305
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,849,752,1000,0.44154667854309093
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2007,1906,2154,0.4239153861999512
011_UCR_Anomaly_DISTORTEDECG1,correct,1911,1700,2200,2.3986546993255606
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10818,900,1200,1.766995906829834
013_UCR_Anomaly_DISTORTEDECG3,correct,1021,900,1200,1.954983711242676
014_UCR_Anomaly_DISTORTEDECG3,correct,9016,8900,9200,2.9028258323669434
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,32.790234088897705
016_UCR_Anomaly_DISTORTEDECG4,correct,12020,11800,12200,2.873975038528443
017_UCR_Anomaly_DISTORTEDECG4,correct,12023,11900,12200,2.756561756134034
018_UCR_Anomaly_DISTORTEDECG4,correct,9015,8900,9200,2.7604165077209473
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1164,1068,1312,0.8041393756866454
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2299,2075,2488,0.7955334186553956
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,952,848,1093,0.7855596542358397
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2556,2427,2745,0.7522366046905518
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3625,3512,3816,0.6687018871307375
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1320,1226,1456,0.4854693412780762
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2796,2707,2934,0.4170699119567871
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4011,3884,4254,0.6608581542968751
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2981,2887,3099,0.6869938373565674
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1656,1498,1809,0.6870369911193847
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,3007,2085,2387,0.5618772506713867
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1183,1087,1297,0.4092895984649659
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3087,2959,3319,0.610670566558838
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3692,3575,4133,0.876549959182739
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2213,2100,2470,0.46161437034606934
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2019,1874,2229,0.8627908229827882
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3223,3265,3574,0.8211195468902591
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1037,2299,2581,0.32820105552673345
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12224,12110,12360,2.980159282684327
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24802,22762,23032,2.6985111236572266
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11389,11290,11520,3.1557855606079093
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23918,11290,11620,2.475625991821289
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10394,10290,10620,2.506922483444213
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22707,5090,5520,3.1590781211853027
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9306,9180,9540,1.7641713619232176
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9476,9385,9921,1.8937056064605713
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12306,9257,9817,1.7507247924804685
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10306,7305,7577,1.8654847145080564
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6006,5905,6177,1.1331181526184078
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2476,2388,2685,1.0193932056427002
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,921,1765,1980,0.7785336971282959
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1817,2388,2685,0.7622506618499757
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5826,5730,5940,0.9212865829467773
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1218,1111,1409,0.9401857852935793
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2518,1164,1595,0.5822975635528566
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3219,3120,3379,0.4662365913391113
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11054,10850,11200,3.6738259792327876
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,26163,6011,6311,4.369247198104857
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,31027,9900,10200,4.08652949333191
058_UCR_Anomaly_DISTORTEDapneaecg,incorrect,21284,2140,2408,3.328302383422852
059_UCR_Anomaly_DISTORTEDgait1,correct,18710,18400,18900,5.578141450881958
060_UCR_Anomaly_DISTORTEDgait2,incorrect,13700,24400,24900,5.432939529418946
