algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_km_lof_hard_voting_gaussian_False_spread_window_100,4235.7660002708435,0.624,156,94,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31895,16900,17720,6.760010004043578
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32102,21500,22000,6.957677841186523
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32101,11500,12000,6.143484115600586
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3061,2800,3200,0.9987668991088868
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2050,1291,1492,0.5526235103607178
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1670,1603,1827,0.536787509918213
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2536,2420,2644,0.5693075656890869
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,744,1449,1697,0.43940448760986334
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,849,752,1000,0.44129204750061046
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2027,1906,2154,0.4237546920776368
011_UCR_Anomaly_DISTORTEDECG1,correct,1886,1700,2200,2.399716854095458
012_UCR_Anomaly_DISTORTEDECG2,correct,1010,900,1200,1.7673375606536865
013_UCR_Anomaly_DISTORTEDECG3,correct,979,900,1200,1.955542325973511
014_UCR_Anomaly_DISTORTEDECG3,correct,8982,8900,9200,2.9042556285858154
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,51.22108173370363
016_UCR_Anomaly_DISTORTEDECG4,correct,11979,11800,12200,2.876749753952027
017_UCR_Anomaly_DISTORTEDECG4,correct,12011,11900,12200,2.7576806545257577
018_UCR_Anomaly_DISTORTEDECG4,correct,9032,8900,9200,2.7625694274902344
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1138,1068,1312,0.8039054870605468
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2320,2075,2488,0.7954635620117189
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,940,848,1093,0.7855803966522216
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2585,2427,2745,0.7523202896118164
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3665,3512,3816,0.6687695980072024
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.4854004383087159
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2774,2707,2934,0.4169025421142578
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4039,3884,4254,0.6607108116149903
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2949,2887,3099,0.6870300769805908
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1645,1498,1809,0.6869094371795653
029_UCR_Anomaly_DISTORTEDInternalBleeding18,correct,2226,2085,2387,0.5620033740997314
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1149,1087,1297,0.40918040275573736
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3124,2959,3319,0.6105029582977296
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3799,3575,4133,0.876467704772949
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2185,2100,2470,0.4615175724029541
