algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_km_lof_hard_voting_gaussian_True_spread_window_100,4238.01655626297,0.604,151,99,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31849,16900,17720,6.767066955566405
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32054,21500,22000,6.968685150146484
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32140,11500,12000,6.1550610065460205
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3042,2800,3200,1.0024759769439697
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2030,1291,1492,0.5535688400268555
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1762,1603,1827,0.5374879837036134
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2484,2420,2644,0.5699501037597656
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,744,1449,1697,0.4400730133056641
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,827,752,1000,0.4419357776641847
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2097,1906,2154,0.4243822097778321
011_UCR_Anomaly_DISTORTEDECG1,correct,1964,1700,2200,2.405310630798339
012_UCR_Anomaly_DISTORTEDECG2,correct,1010,900,1200,1.7690441608428955
013_UCR_Anomaly_DISTORTEDECG3,correct,1073,900,1200,1.956816911697388
014_UCR_Anomaly_DISTORTEDECG3,correct,9071,8900,9200,2.9096786975860596
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,51.25188040733339
016_UCR_Anomaly_DISTORTEDECG4,correct,11979,11800,12200,2.8809585571289067
017_UCR_Anomaly_DISTORTEDECG4,correct,11979,11900,12200,2.763723373413087
018_UCR_Anomaly_DISTORTEDECG4,correct,8980,8900,9200,2.763244152069092
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1138,1068,1312,0.8048632144927977
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2399,2075,2488,0.7964446544647218
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,1017,848,1093,0.7870404720306395
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2636,2427,2745,0.7534825801849365
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3673,3512,3816,0.6698963642120364
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.48594689369201666
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2856,2707,2934,0.4176054000854492
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4050,3884,4254,0.6615483760833741
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2949,2887,3099,0.6879010200500488
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1608,1498,1809,0.6877284049987792
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5149,2085,2387,0.5625605583190918
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1143,1087,1297,0.409841537475586
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3124,2959,3319,0.6113400459289552
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3805,3575,4133,0.8774616718292234
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2185,2100,2470,0.4619779586791992
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2032,1874,2229,0.8636772632598878
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4201,3265,3574,0.821799993515015
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1688,2299,2581,0.3283903598785401
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12277,12110,12360,2.9838640689849862
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24851,22762,23032,2.7019755840301514
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11351,11290,11520,3.1587951183319083
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23967,11290,11620,2.4790689945220947
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10447,10290,10620,2.5100789070129386
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22759,5090,5520,3.1624414920806885
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9355,9180,9540,1.766069412231445
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,17356,9385,9921,1.8964810371398926
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12356,9257,9817,1.7530956268310545
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10355,7305,7577,1.8675184249877927
