algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_km_lof_simple_average,4233.1851811409,0.624,156,94,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31889,16900,17720,6.756863117218017
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32094,21500,22000,6.9535815715789795
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32091,11500,12000,6.1399986743927
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3088,2800,3200,0.9985294342041017
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2076,1291,1492,0.5526983737945557
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1715,1603,1827,0.5368723869323732
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2526,2420,2644,0.5697288513183594
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1561,1449,1697,0.43954586982727056
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,859,752,1000,0.4416298866271974
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2053,1906,2154,0.4239685535430909
011_UCR_Anomaly_DISTORTEDECG1,correct,1922,1700,2200,2.398578405380248
012_UCR_Anomaly_DISTORTEDECG2,correct,1059,900,1200,1.7668907642364502
013_UCR_Anomaly_DISTORTEDECG3,correct,1024,900,1200,1.9548811912536623
014_UCR_Anomaly_DISTORTEDECG3,correct,9022,8900,9200,2.9027915000915527
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,51.1736469268799
016_UCR_Anomaly_DISTORTEDECG4,correct,12026,11800,12200,2.8739719390869145
017_UCR_Anomaly_DISTORTEDECG4,correct,12027,11900,12200,2.756528854370118
018_UCR_Anomaly_DISTORTEDECG4,correct,9021,8900,9200,2.760420083999634
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,5973,1068,1312,0.804049253463745
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2371,2075,2488,0.795628309249878
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,974,848,1093,0.7860608100891112
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2628,2427,2745,0.7524199485778809
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3714,3512,3816,0.6686587333679201
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4300,1226,1456,0.48550057411193853
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2808,2707,2934,0.41701245307922363
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4012,3884,4254,0.6607987880706788
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2997,2887,3099,0.6870908737182617
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1677,1498,1809,0.6870217323303222
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,3003,2085,2387,0.5619440078735352
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1191,1087,1297,0.40927338600158697
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3166,2959,3319,0.6106333732604982
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3844,3575,4133,0.8769164085388181
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2220,2100,2470,0.46179962158203125
