algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_lof_mp_hard_voting_gaussian_False_spread_window_100,3896.08202958107,0.652,163,87,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31351,16900,17720,2.7681982517242436
002_UCR_Anomaly_DISTORTED2sddb40,correct,21548,21500,22000,2.8644659519195557
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32105,11500,12000,2.88427710533142
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3042,2800,3200,0.13930225372314453
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2041,1291,1492,0.04738831520080568
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1665,1603,1827,0.04747819900512696
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2484,2420,2644,0.054728269577026374
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1514,1449,1697,0.04595708847045899
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,849,752,1000,0.048757314682006836
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2004,1906,2154,0.04566431045532227
011_UCR_Anomaly_DISTORTEDECG1,correct,1894,1700,2200,0.6184649467468262
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10800,900,1200,0.35869956016540533
013_UCR_Anomaly_DISTORTEDECG3,correct,980,900,1200,0.3554096221923828
014_UCR_Anomaly_DISTORTEDECG3,correct,8975,8900,9200,0.7398509979248048
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,51.22009110450746
016_UCR_Anomaly_DISTORTEDECG4,correct,11978,11800,12200,0.9258692264556884
017_UCR_Anomaly_DISTORTEDECG4,correct,11978,11900,12200,0.9255216121673585
018_UCR_Anomaly_DISTORTEDECG4,correct,8979,8900,9200,0.7445354461669922
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1137,1068,1312,0.09802865982055661
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2315,2075,2488,0.10258221626281738
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,940,848,1093,0.10639071464538576
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2585,2427,2745,0.12494087219238284
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3577,3512,3816,0.10115385055541992
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1312,1226,1456,0.05099081993103027
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2768,2707,2934,0.05390071868896484
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,3998,3884,4254,0.07642817497253418
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2949,2887,3099,0.07930231094360352
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1645,1498,1809,0.07687449455261232
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,2992,2085,2387,0.06046605110168456
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1143,1087,1297,0.053668975830078125
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3124,2959,3319,0.07204866409301759
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3726,3575,4133,0.07824492454528807
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2185,2100,2470,0.04153585433959961
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2032,1874,2229,0.07971286773681642
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3179,3265,3574,0.056749105453491225
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1046,2299,2581,0.041996002197265625
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12188,12110,12360,0.9335060119628907
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24839,22762,23032,0.9251286983489991
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11351,11290,11520,0.9311616420745848
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23954,11290,11620,0.855034112930298
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10368,10290,10620,0.7696983814239502
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22713,5090,5520,0.7745196819305419
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,4853,9180,9540,0.3490095138549804
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9459,9385,9921,0.673344373703003
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12273,9257,9817,0.41565656661987316
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10274,7305,7577,0.3122117519378662
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6008,5905,6177,0.25370788574218756
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2555,2388,2685,0.10998487472534182
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,885,1765,1980,0.12975859642028806
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,5270,2388,2685,0.11485743522644042
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5786,5730,5940,0.1224915981292725
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1257,1111,1409,0.11845874786376952
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4246,1164,1595,0.05996417999267579
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3173,3120,3379,0.04397320747375489
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11026,10850,11200,1.2186145782470703
056_UCR_Anomaly_DISTORTEDapneaecg3,correct,6144,6011,6311,1.5887076854705813
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,0,9900,10200,1.5281946659088135
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2236,2140,2408,1.213425397872925
059_UCR_Anomaly_DISTORTEDgait1,correct,18683,18400,18900,2.8836522102355957
060_UCR_Anomaly_DISTORTEDgait2,correct,24664,24400,24900,2.607405662536621
061_UCR_Anomaly_DISTORTEDgait3,incorrect,11175,35300,36100,2.329143762588501
062_UCR_Anomaly_DISTORTEDgaitHunt1,correct,14621,14470,14780,2.9063067436218257
063_UCR_Anomaly_DISTORTEDgaitHunt2,correct,12983,12600,13450,2.9175229072570805
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15303,14900,15900,2.322594165802002
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5784,3900,4130,0.09766030311584473
066_UCR_Anomaly_DISTORTEDinsectEPG2,correct,4264,4200,4425,0.08049631118774415
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1085,1700,1950,0.053425312042236335
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5207,5108,5358,0.1349191665649414
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5272,5200,5401,0.0990886688232422
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,incorrect,35893,34945,35345,2.0867807865142822
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29614,29500,29900,1.4580578804016113
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,correct,32683,32500,32900,1.7754552364349365
073_UCR_Anomaly_DISTORTEDpark3m,correct,12405,12050,12595,1.3202676773071291
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,3463,8300,8900,1.468551158905029
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,correct,9568,9300,9900,1.0202407836914062
076_UCR_Anomaly_DISTORTEDresperation10,correct,83043,82600,83980,29.125675916671753
077_UCR_Anomaly_DISTORTEDresperation11,correct,52749,52700,52901,25.295442819595326
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34521,10160,10512,13.506439685821535
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,38522,138150,138350,38.84690570831299
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,38540,138150,138351,34.34887480735778
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,23519,113150,113351,28.406810283660892
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,58306,58330,58531,21.173355340957638
083_UCR_Anomaly_DISTORTEDresperation9,correct,105442,105311,105611,33.197850704193115
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23810,23674,23974,1.1368641853332522
085_UCR_Anomaly_DISTORTEDs20101m,correct,25774,25674,25974,1.3176794052124023
086_UCR_Anomaly_DISTORTEDsddb49,incorrect,47849,47850,48300,4.985763072967529
087_UCR_Anomaly_DISTORTEDsel840mECG1,correct,34514,34270,34840,2.6241915225982666
088_UCR_Anomaly_DISTORTEDsel840mECG2,incorrect,21915,29270,29840,1.935441255569458
089_UCR_Anomaly_DISTORTEDtiltAPB1,correct,14264,14183,14450,1.3184561729431152
090_UCR_Anomaly_DISTORTEDtiltAPB2,correct,74948,74059,75085,8.482158184051515
091_UCR_Anomaly_DISTORTEDtiltAPB3,incorrect,57355,73900,74470,10.844829559326172
092_UCR_Anomaly_DISTORTEDtiltAPB4,correct,47944,47895,48096,15.878437519073486
093_UCR_Anomaly_NOISE1sddb40,incorrect,31351,16900,17720,2.797571659088135
094_UCR_Anomaly_NOISEBIDMC1,correct,3041,2800,3200,0.13574552536010745
095_UCR_Anomaly_NOISECIMIS44AirTemperature4,correct,1519,1449,1697,0.06691551208496091
096_UCR_Anomaly_NOISEECG4,correct,11978,11800,12200,0.9308757781982421
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3,correct,940,848,1093,0.0980830192565918
098_UCR_Anomaly_NOISEInternalBleeding16,correct,2972,2887,3099,0.0775277614593506
099_UCR_Anomaly_NOISEInternalBleeding6,correct,2018,1874,2229,0.07686686515808108
100_UCR_Anomaly_NOISELab2Cmac011215EPG1,correct,12186,12110,12360,0.9244589805603028
101_UCR_Anomaly_NOISELab2Cmac011215EPG4,incorrect,23954,11290,11620,0.8491947650909423
102_UCR_Anomaly_NOISEMesoplodonDensirostris,incorrect,4852,9180,9540,0.3509111404418946
103_UCR_Anomaly_NOISETkeepThirdMARS,correct,1255,1111,1409,0.12344980239868165
104_UCR_Anomaly_NOISEapneaecg4,incorrect,0,9900,10200,1.5268962383270264
105_UCR_Anomaly_NOISEgait3,incorrect,32531,35300,36100,2.3226580619812003
106_UCR_Anomaly_NOISEgaitHunt2,correct,12927,12600,13450,2.918387651443481
107_UCR_Anomaly_NOISEinsectEPG3,incorrect,3582,1700,1950,0.05228734016418458
108_UCR_Anomaly_NOISEresperation2,incorrect,38515,138150,138350,38.836521863937385
109_UCR_Anomaly_1sddb40,incorrect,31354,16900,17720,2.795498371124268
