algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_lof_mp_simple_average,3893.508656978607,0.672,168,82,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31399,16900,17720,2.7916803359985356
002_UCR_Anomaly_DISTORTED2sddb40,correct,21599,21500,22000,2.860247850418091
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,31604,11500,12000,2.880797624588012
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3002,2800,3200,0.13936781883239746
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,correct,1382,1291,1492,0.04755210876464845
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1708,1603,1827,0.04796004295349122
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2518,2420,2644,0.054896354675292976
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1560,1449,1697,0.04644393920898438
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,850,752,1000,0.048578739166259766
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2048,1906,2154,0.04610323905944825
011_UCR_Anomaly_DISTORTEDECG1,correct,1920,1700,2200,0.6178619861602783
012_UCR_Anomaly_DISTORTEDECG2,correct,1057,900,1200,0.35856747627258306
013_UCR_Anomaly_DISTORTEDECG3,correct,1021,900,1200,0.3552987575531006
014_UCR_Anomaly_DISTORTEDECG3,correct,9018,8900,9200,0.739189386367798
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,51.17555880546571
016_UCR_Anomaly_DISTORTEDECG4,correct,12023,11800,12200,0.923426866531372
017_UCR_Anomaly_DISTORTEDECG4,correct,12023,11900,12200,0.9244182109832765
018_UCR_Anomaly_DISTORTEDECG4,correct,9018,8900,9200,0.743638277053833
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1164,1068,1312,0.09837579727172849
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2288,2075,2488,0.10289764404296875
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,953,848,1093,0.10609769821166994
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2554,2427,2745,0.12489628791809085
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3621,3512,3816,0.10110592842102051
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1321,1226,1456,0.05115461349487305
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2803,2707,2934,0.054094314575195306
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4010,3884,4254,0.0764932632446289
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2995,2887,3099,0.07943153381347656
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1674,1498,1809,0.0769321918487549
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,3007,2085,2387,0.06029653549194335
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1186,1087,1297,0.05392146110534668
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3093,2959,3319,0.07201576232910158
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3692,3575,4133,0.07826972007751463
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2215,2100,2470,0.04175710678100586
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,1989,1874,2229,0.07989597320556642
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4154,3265,3574,0.05669689178466798
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1088,2299,2581,0.0420231819152832
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12224,12110,12360,0.9323558807373048
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24802,22762,23032,0.9238049983978273
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11397,11290,11520,0.9300274848937987
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23918,11290,11620,0.8535902500152589
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10394,10290,10620,0.7679417133331299
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22711,5090,5520,0.7733659744262694
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9304,9180,9540,0.34840464591979975
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9477,9385,9921,0.6717007160186769
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12306,9257,9817,0.41429734230041515
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10306,7305,7577,0.311659574508667
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6006,5905,6177,0.2527549266815186
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2500,2388,2685,0.10907506942749026
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,921,1765,1980,0.1297781467437744
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,5303,2388,2685,0.1145799160003662
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5829,5730,5940,0.1224148273468018
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1218,1111,1409,0.11836576461791991
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2575,1164,1595,0.06013107299804688
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3219,3120,3379,0.04360532760620118
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11054,10850,11200,1.2148082256317139
056_UCR_Anomaly_DISTORTEDapneaecg3,correct,6171,6011,6311,1.5851392745971682
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,25354,9900,10200,1.5259652137756348
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2267,2140,2408,1.2117290496826174
059_UCR_Anomaly_DISTORTEDgait1,correct,18733,18400,18900,2.8760337829589844
060_UCR_Anomaly_DISTORTEDgait2,correct,24702,24400,24900,2.604224681854248
061_UCR_Anomaly_DISTORTEDgait3,incorrect,11199,35300,36100,2.3256468772888184
062_UCR_Anomaly_DISTORTEDgaitHunt1,correct,14640,14470,14780,2.9026038646697994
063_UCR_Anomaly_DISTORTEDgaitHunt2,correct,12976,12600,13450,2.913814783096314
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15347,14900,15900,2.319312334060669
