algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_hard_voting_gaussian_False_spread_window_100,3886.8057334423065,0.692,173,77,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17315,16900,17720,2.714800357818603
002_UCR_Anomaly_DISTORTED2sddb40,correct,21548,21500,22000,2.815492153167724
003_UCR_Anomaly_DISTORTED3sddb40,correct,11599,11500,12000,2.8244900703430176
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3043,2800,3200,0.31645870208740234
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,correct,1340,1291,1492,0.2397279739379883
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1665,1603,1827,0.20514750480651855
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2484,2420,2644,0.21556186676025393
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1516,1449,1697,0.25288391113281256
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,826,752,1000,0.23705744743347168
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2003,1906,2154,0.1687932014465332
011_UCR_Anomaly_DISTORTEDECG1,correct,1880,1700,2200,0.6092133522033694
012_UCR_Anomaly_DISTORTEDECG2,correct,1010,900,1200,0.5938255786895752
013_UCR_Anomaly_DISTORTEDECG3,correct,980,900,1200,0.468928098678589
014_UCR_Anomaly_DISTORTEDECG3,correct,8974,8900,9200,0.762399196624756
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,50.937982559204094
016_UCR_Anomaly_DISTORTEDECG4,correct,11978,11800,12200,0.951918125152588
017_UCR_Anomaly_DISTORTEDECG4,correct,11978,11900,12200,0.8969700336456299
018_UCR_Anomaly_DISTORTEDECG4,correct,8979,8900,9200,0.7231388092041017
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1137,1068,1312,0.23959708213806152
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,2047,2075,2488,0.2364053726196289
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,938,848,1093,0.25360727310180675
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2552,2427,2745,0.27735710144042974
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3665,3512,3816,0.2760539054870606
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1301,1226,1456,0.22484874725341797
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2772,2707,2934,0.2782778739929199
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,3992,3884,4254,0.24977898597717288
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2948,2887,3099,0.259267807006836
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1637,1498,1809,0.3049595355987548
029_UCR_Anomaly_DISTORTEDInternalBleeding18,correct,2221,2085,2387,0.2707266807556153
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1142,1087,1297,0.26361918449401855
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3115,2959,3319,0.24200224876403809
