algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_hard_voting_gaussian_True_spread_window_100,3887.766680240631,0.66,165,85,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31937,16900,17720,2.715633153915405
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32046,21500,22000,2.8173918724060054
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32142,11500,12000,2.826636791229248
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3043,2800,3200,0.3170962333679199
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2030,1291,1492,0.23996019363403323
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1665,1603,1827,0.2054729461669922
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2484,2420,2644,0.21572232246398929
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1516,1449,1697,0.2534279823303223
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,900,752,1000,0.2373814582824707
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2003,1906,2154,0.16926026344299316
011_UCR_Anomaly_DISTORTEDECG1,correct,1962,1700,2200,0.6102733612060549
012_UCR_Anomaly_DISTORTEDECG2,correct,1106,900,1200,0.5947318077087402
013_UCR_Anomaly_DISTORTEDECG3,correct,1073,900,1200,0.47005009651184093
014_UCR_Anomaly_DISTORTEDECG3,correct,8974,8900,9200,0.7628955841064454
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,50.949406862258904
016_UCR_Anomaly_DISTORTEDECG4,correct,11978,11800,12200,0.9511146545410157
017_UCR_Anomaly_DISTORTEDECG4,correct,11978,11900,12200,0.8979339599609375
018_UCR_Anomaly_DISTORTEDECG4,correct,8979,8900,9200,0.7242112159729005
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,5930,1068,1312,0.2403559684753418
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,2047,2075,2488,0.23700284957885742
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,1011,848,1093,0.25412249565124523
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2563,2427,2745,0.2779262065887452
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3671,3512,3816,0.27651643753051763
