algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_maximum_score,3886.1323351860046,0.384,96,154,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,4208,16900,17720,2.7137782573699947
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34432,21500,22000,2.8158116340637203
003_UCR_Anomaly_DISTORTED3sddb40,correct,11680,11500,12000,2.8249423503875732
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2922,2800,3200,0.3169715404510498
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,3473,1291,1492,0.23998093605041507
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1715,1603,1827,0.2054891586303711
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,775,2420,2644,0.2157835960388184
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1564,1449,1697,0.25329303741455084
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,876,752,1000,0.2375493049621582
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,1098,1906,2154,0.16921591758728027
011_UCR_Anomaly_DISTORTEDECG1,correct,1920,1700,2200,0.6095743179321291
012_UCR_Anomaly_DISTORTEDECG2,correct,1057,900,1200,0.5941669940948486
013_UCR_Anomaly_DISTORTEDECG3,incorrect,4541,900,1200,0.46924400329589855
014_UCR_Anomaly_DISTORTEDECG3,correct,9024,8900,9200,0.7618675231933595
015_UCR_Anomaly_DISTORTEDECG4,incorrect,11534,11700,12200,50.92361164093017
016_UCR_Anomaly_DISTORTEDECG4,incorrect,7581,11800,12200,0.9503095149993898
017_UCR_Anomaly_DISTORTEDECG4,incorrect,11743,11900,12200,0.8971352577209473
018_UCR_Anomaly_DISTORTEDECG4,correct,9024,8900,9200,0.7232749462127687
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,2021,1068,1312,0.23982930183410645
