algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_simple_average,3885.9942450523376,0.676,169,81,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,34222,16900,17720,2.7281510829925533
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34426,21500,22000,2.815489292144775
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34425,11500,12000,2.824404239654541
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3083,2800,3200,0.3168673515319824
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,correct,1381,1291,1492,0.23997306823730472
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1709,1603,1827,0.20561909675598145
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2517,2420,2644,0.21604895591735843
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1560,1449,1697,0.2531826496124268
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,851,752,1000,0.23740887641906738
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2051,1906,2154,0.1694319248199463
011_UCR_Anomaly_DISTORTEDECG1,correct,1920,1700,2200,0.6094079017639162
012_UCR_Anomaly_DISTORTEDECG2,correct,1056,900,1200,0.5939536094665527
013_UCR_Anomaly_DISTORTEDECG3,correct,1021,900,1200,0.46915459632873546
014_UCR_Anomaly_DISTORTEDECG3,correct,9019,8900,9200,0.7615692615509034
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,50.922349214553826
016_UCR_Anomaly_DISTORTEDECG4,correct,12024,11800,12200,0.9500036239624025
017_UCR_Anomaly_DISTORTEDECG4,correct,12025,11900,12200,0.8968772888183594
018_UCR_Anomaly_DISTORTEDECG4,correct,9018,8900,9200,0.7230546474456788
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1164,1068,1312,0.2397785186767578
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2292,2075,2488,0.23664379119873047
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,954,848,1093,0.25388479232788097
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2554,2427,2745,0.2775511741638184
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3622,3512,3816,0.2763628959655762
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1323,1226,1456,0.2251908779144287
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2806,2707,2934,0.2785000801086426
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4007,3884,4254,0.24997329711914065
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2995,2887,3099,0.2595269680023194
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1664,1498,1809,0.3051352500915527
029_UCR_Anomaly_DISTORTEDInternalBleeding18,correct,2252,2085,2387,0.2711207866668702
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1186,1087,1297,0.2638819217681885
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3156,2959,3319,0.2422792911529541
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3690,3575,4133,0.267266035079956
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2214,2100,2470,0.2029275894165039
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,1996,1874,2229,0.30125856399536144
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4154,3265,3574,0.2598621845245362
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1657,2299,2581,0.19183897972106936
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12225,12110,12360,0.9016857147216797
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24802,22762,23032,1.110354661941528
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11397,11290,11520,0.9047095775604247
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23918,11290,11620,1.0779080390930174
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10394,10290,10620,0.9508605003356935
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22711,5090,5520,0.7567017078399657
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9305,9180,9540,0.8623208999633791
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,17306,9385,9921,0.646129608154297
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12306,9257,9817,0.39909029006958013
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10306,7305,7577,0.3627896308898926
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6006,5905,6177,0.44335556030273443
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2595,2388,2685,0.26654720306396495
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,920,1765,1980,0.3370134830474855
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,5312,2388,2685,0.29045605659484874
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5830,5730,5940,0.2816812992095947
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1219,1111,1409,0.27901554107666016
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2575,1164,1595,0.2400748729705811
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3219,3120,3379,0.2266647815704346
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11054,10850,11200,1.17772912979126
056_UCR_Anomaly_DISTORTEDapneaecg3,correct,6171,6011,6311,1.5540852546691895
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,25354,9900,10200,1.4945592880249023
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2268,2140,2408,1.1808159351348877
059_UCR_Anomaly_DISTORTEDgait1,correct,18723,18400,18900,2.836519002914428
