algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_wv_ols,3994.8534531593323,0.584,146,104,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,32316,16900,17720,3.1088073253631587
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32522,21500,22000,3.1447513103485103
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34428,11500,12000,3.1494240760803223
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2922,2800,3200,0.38873791694641113
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,correct,1390,1291,1492,0.27605199813842773
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1463,1603,1827,0.25072741508483887
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2448,2420,2644,0.2605726718902588
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1566,1449,1697,0.3036570549011231
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,850,752,1000,0.2840099334716797
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2053,1906,2154,0.20798397064208984
011_UCR_Anomaly_DISTORTEDECG1,correct,1920,1700,2200,0.7500603199005129
012_UCR_Anomaly_DISTORTEDECG2,correct,1057,900,1200,0.7009909152984619
013_UCR_Anomaly_DISTORTEDECG3,correct,1023,900,1200,0.5862569808959962
014_UCR_Anomaly_DISTORTEDECG3,correct,9021,8900,9200,0.9117283821105958
015_UCR_Anomaly_DISTORTEDECG4,correct,12100,11700,12200,52.41399240493774
016_UCR_Anomaly_DISTORTEDECG4,correct,12027,11800,12200,1.1530790328979492
017_UCR_Anomaly_DISTORTEDECG4,correct,12024,11900,12200,1.0729548931121826
018_UCR_Anomaly_DISTORTEDECG4,correct,9019,8900,9200,0.8803086280822755
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1162,1068,1312,0.3087141513824463
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,1999,2075,2488,0.30915307998657227
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,988,848,1093,0.3248252868652345
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2631,2427,2745,0.34990048408508306
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3715,3512,3816,0.33364820480346685
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1328,1226,1456,0.2709829807281494
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2807,2707,2934,0.33925747871398926
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4006,3884,4254,0.3133883476257324
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2997,2887,3099,0.31680178642272955
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1678,1498,1809,0.3695428371429443
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,2976,2085,2387,0.31960654258728033
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1191,1087,1297,0.31566596031188965
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3165,2959,3319,0.29421043395996094
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3846,3575,4133,0.3203024864196777
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2212,2100,2470,0.2528572082519531
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,1996,1874,2229,0.3686370849609376
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4156,3265,3574,0.3204441070556641
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1653,2299,2581,0.22915649414062503
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12238,12110,12360,1.09049391746521
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,correct,22929,22762,23032,1.2872939109802244
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11401,11290,11520,1.1109774112701416
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23918,11290,11620,1.2904758453369138
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10392,10290,10620,1.1252360343933105
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,13483,5090,5520,0.928251028060913
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,5715,9180,9540,0.9806411266326907
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,17306,9385,9921,0.8005328178405763
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12306,9257,9817,0.5172598361968994
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10306,7305,7577,0.4784691333770752
047_UCR_Anomaly_DISTORTEDPowerDemand4,incorrect,8306,5905,6177,0.5396888256072998
