algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_wv_ols_r2_emphasize_diversity_False,3999.381975889206,0.588,147,103,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17365,16900,17720,3.0436675548553462
002_UCR_Anomaly_DISTORTED2sddb40,correct,21598,21500,22000,3.153992414474487
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34428,11500,12000,3.169459342956543
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2922,2800,3200,0.4134857654571533
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,correct,1390,1291,1492,0.28718113899230957
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1463,1603,1827,0.27798962593078613
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2448,2420,2644,0.26420116424560547
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,3434,1449,1697,0.3215866088867188
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,850,752,1000,0.2832808494567871
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,1947,1906,2154,0.2256476879119873
011_UCR_Anomaly_DISTORTEDECG1,correct,1920,1700,2200,0.7554590702056887
012_UCR_Anomaly_DISTORTEDECG2,correct,1057,900,1200,0.7106301784515381
013_UCR_Anomaly_DISTORTEDECG3,correct,1023,900,1200,0.5976879596710206
014_UCR_Anomaly_DISTORTEDECG3,correct,9021,8900,9200,0.9175345897674562
015_UCR_Anomaly_DISTORTEDECG4,correct,12100,11700,12200,52.64053010940551
016_UCR_Anomaly_DISTORTEDECG4,correct,12023,11800,12200,1.172546625137329
017_UCR_Anomaly_DISTORTEDECG4,correct,12024,11900,12200,1.0904526710510254
018_UCR_Anomaly_DISTORTEDECG4,correct,8944,8900,9200,0.9139304161071778
