algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_hard_voting_gaussian_False_spread_window_100,2913.932965040207,0.508,127,123,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17309,16900,17720,3.6867463588714604
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32054,21500,22000,2.404361486434937
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34782,11500,12000,2.589529275894166
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3042,2800,3200,0.5163078308105469
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2050,1291,1492,0.2768762111663819
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1665,1603,1827,0.310924530029297
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,740,2420,2644,0.3131375312805177
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,741,1449,1697,0.2750203609466554
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,826,752,1000,0.32800865173339855
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2027,1906,2154,0.3112099170684815
011_UCR_Anomaly_DISTORTEDECG1,correct,1895,1700,2200,1.1298658847808836
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7805,900,1200,0.9488036632537842
013_UCR_Anomaly_DISTORTEDECG3,correct,979,900,1200,0.6329953670501712
014_UCR_Anomaly_DISTORTEDECG3,correct,8976,8900,9200,0.8873045444488528
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,36.834678888320916
016_UCR_Anomaly_DISTORTEDECG4,correct,11979,11800,12200,1.4630711078643799
017_UCR_Anomaly_DISTORTEDECG4,correct,11979,11900,12200,1.3615846633911133
018_UCR_Anomaly_DISTORTEDECG4,correct,8980,8900,9200,1.4323995113372807
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1138,1068,1312,0.4113173484802246
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2309,2075,2488,0.42548251152038574
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,921,848,1093,0.3362872600555421
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2565,2427,2745,0.5138566493988037
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3635,3512,3816,0.44028425216674805
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.32439160346984874
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2766,2707,2934,0.3472938537597657
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4080,3884,4254,0.39903736114501953
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,604,2887,3099,0.32022428512573253
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1644,1498,1809,0.41208744049072277
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5149,2085,2387,0.36172890663146984
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1142,1087,1297,0.3780336380004883
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3114,2959,3319,0.3420286178588868
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3794,3575,4133,0.4129867553710939
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2204,2100,2470,0.33737850189208995
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2045,1874,2229,0.37732696533203125
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,2976,3265,3574,0.3318743705749513
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1610,2299,2581,0.3092718124389649
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12192,12110,12360,1.1777887344360352
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,0,22762,23032,1.2054357528686523
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,24806,11290,11520,1.1482756137847903
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23923,11290,11620,0.9793772697448732
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10373,10290,10620,1.3590002059936523
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22724,5090,5520,1.1987659931182864
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9276,9180,9540,0.783010482788086
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9449,9385,9921,0.9825272560119629
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,3002,9257,9817,0.7087283134460451
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,7037,7305,7577,0.7506537437438968
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6004,5905,6177,0.654994010925293
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2555,2388,2685,0.5421054363250734
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,879,1765,1980,0.4523453712463379
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1838,2388,2685,0.3864870071411134
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5788,5730,5940,0.3948142528533937
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1255,1111,1409,0.5032620429992676
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2532,1164,1595,0.3627784252166748
