algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_hard_voting_gaussian_True_spread_window_100,4028.3156039714813,0.58,145,105,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17362,16900,17720,3.735237836837769
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32133,21500,22000,3.7846956253051767
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32124,11500,12000,4.3068060874938965
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3061,2800,3200,0.5622053146362306
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,740,1291,1492,0.3076646327972413
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1669,1603,1827,0.4096140861511231
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2488,2420,2644,0.379999876022339
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1511,1449,1697,0.317291021347046
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,825,752,1000,0.3830366134643556
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2003,1906,2154,0.3582830429077149
011_UCR_Anomaly_DISTORTEDECG1,correct,1964,1700,2200,1.3694474697113037
012_UCR_Anomaly_DISTORTEDECG2,correct,1107,900,1200,1.0817720890045164
013_UCR_Anomaly_DISTORTEDECG3,correct,980,900,1200,1.3702032566070557
014_UCR_Anomaly_DISTORTEDECG3,correct,8977,8900,9200,2.358907699584961
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,51.20030975341798
016_UCR_Anomaly_DISTORTEDECG4,correct,11977,11800,12200,1.6679108142852785
017_UCR_Anomaly_DISTORTEDECG4,correct,12075,11900,12200,2.002107858657837
018_UCR_Anomaly_DISTORTEDECG4,correct,9069,8900,9200,1.6206152439117432
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1138,1068,1312,0.5357699394226073
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2401,2075,2488,0.47184991836547857
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,927,848,1093,0.39256811141967773
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2568,2427,2745,0.617687463760376
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3610,3512,3816,0.5154652595520021
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.31306290626525884
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2764,2707,2934,0.4171006679534912
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4073,3884,4254,0.5157952308654785
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2949,2887,3099,0.451303243637085
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1700,1498,1809,0.4601967334747315
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5149,2085,2387,0.4068236351013183
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1143,1087,1297,0.36820220947265625
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,4749,2959,3319,0.42906522750854503
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3728,3575,4133,0.4242043495178223
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2184,2100,2470,0.2670030593872071
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2119,1874,2229,0.6854887008666992
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3076,3265,3574,0.3948929309844971
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1618,2299,2581,0.32313513755798345
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12280,12110,12360,1.7748486995697021
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,50,22762,23032,1.6157538890838623
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11351,11290,11520,2.0430271625518794
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23966,11290,11620,1.927393198013306
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10366,10290,10620,1.8491852283477785
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22760,5090,5520,1.786560297012329
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9276,9180,9540,1.0105233192443845
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9552,9385,9921,1.1606640815734866
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12356,9257,9817,1.1646668910980227
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10356,7305,7577,0.9526174068450927
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6084,5905,6177,0.7511577606201172
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2544,2388,2685,0.5876681804656982
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,967,1765,1980,0.48591017723083507
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1886,2388,2685,0.5988042354583739
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5786,5730,5940,0.6591684818267824
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1262,1111,1409,0.5217814445495605
