algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_maximum_score,3920.6567351818085,0.292,73,177,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,34251,16900,17720,2.7624156475067143
002_UCR_Anomaly_DISTORTED2sddb40,correct,21597,21500,22000,2.8613674640655518
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34203,11500,12000,2.8805127143859854
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3019,2800,3200,0.3738665580749513
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,correct,1304,1291,1492,0.26325321197509777
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,820,1603,1827,0.3133909702301027
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2425,2420,2644,0.2714886665344239
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1464,1449,1697,0.3139300346374512
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,875,752,1000,0.3829340934753419
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2047,1906,2154,0.35851860046386724
011_UCR_Anomaly_DISTORTEDECG1,correct,1922,1700,2200,0.617645263671875
012_UCR_Anomaly_DISTORTEDECG2,correct,1058,900,1200,0.5941314697265625
013_UCR_Anomaly_DISTORTEDECG3,incorrect,13329,900,1200,0.5930833816528319
014_UCR_Anomaly_DISTORTEDECG3,incorrect,6394,8900,9200,0.761988401412964
015_UCR_Anomaly_DISTORTEDECG4,incorrect,11399,11700,12200,51.17602205276491
016_UCR_Anomaly_DISTORTEDECG4,incorrect,2714,11800,12200,0.9502966403961183
017_UCR_Anomaly_DISTORTEDECG4,correct,11944,11900,12200,0.9244320392608644
018_UCR_Anomaly_DISTORTEDECG4,incorrect,4580,8900,9200,0.744286060333252
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1186,1068,1312,0.2839276790618897
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2235,2075,2488,0.4432468414306641
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,968,848,1093,0.3630638122558595
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,incorrect,5526,2427,2745,0.45275092124938965
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,incorrect,6999,3512,3816,0.37053394317626964
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,0,1226,1456,0.31284499168396
025_UCR_Anomaly_DISTORTEDInternalBleeding14,incorrect,1448,2707,2934,0.41762518882751465
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4074,3884,4254,0.4470467567443848
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,577,2887,3099,0.31274247169494634
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1590,1498,1809,0.32802629470825195
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,4865,2085,2387,0.3187329769134522
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1192,1087,1297,0.336343288421631
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,4465,2959,3319,0.3527104854583741
032_UCR_Anomaly_DISTORTEDInternalBleeding4,incorrect,380,3575,4133,0.30265665054321284
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2185,2100,2470,0.2670984268188477
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2079,1874,2229,0.47098708152771007
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3215,3265,3574,0.2599120140075684
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1065,2299,2581,0.24135327339172366
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,incorrect,2521,12110,12360,0.932302236557007
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24857,22762,23032,1.1110019683837888
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,2731,11290,11520,0.9298799037933348
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23918,11290,11620,1.0782599449157713
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,incorrect,676,10290,10620,0.9517474174499513
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,99,5090,5520,0.7730710506439208
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,1570,9180,9540,0.8624696731567385
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,13,9385,9921,0.6717026233673097
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,2,9257,9817,0.5674445629119873
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,7088,7305,7577,0.43319773674011236
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6040,5905,6177,0.38697743415832525
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,incorrect,1782,2388,2685,0.43235874176025396
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,921,1765,1980,0.3824827671051026
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1822,2388,2685,0.40601134300231934
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5835,5730,5940,0.3835086822509767
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1217,1111,1409,0.5153119564056395
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2582,1164,1595,0.3142225742340088
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,incorrect,3016,3120,3379,0.3008685111999513
055_UCR_Anomaly_DISTORTEDapneaecg2,incorrect,2670,10850,11200,1.2034687995910645
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,22882,6011,6311,1.5853416919708254
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,0,9900,10200,1.5260393619537354
058_UCR_Anomaly_DISTORTEDapneaecg,incorrect,28499,2140,2408,1.2127439975738528
