algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_simple_average,3357.002960920334,0.548,137,113,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31888,16900,17720,6.756435155868529
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32094,21500,22000,6.952890396118164
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32082,11500,12000,6.140032768249512
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3087,2800,3200,0.9983839988708497
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2077,1291,1492,0.5526423454284668
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1709,1603,1827,0.5368580818176271
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2519,2420,2644,0.5693759918212891
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,798,1449,1697,0.4394457340240479
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,850,752,1000,0.4413852691650392
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2046,1906,2154,0.4244024753570557
011_UCR_Anomaly_DISTORTEDECG1,correct,1925,1700,2200,2.39813470840454
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10827,900,1200,1.7665541172027588
013_UCR_Anomaly_DISTORTEDECG3,correct,1021,900,1200,1.9551184177398684
014_UCR_Anomaly_DISTORTEDECG3,correct,9018,8900,9200,2.902390241622925
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,37.007766962051406
016_UCR_Anomaly_DISTORTEDECG4,correct,12026,11800,12200,2.873374462127686
017_UCR_Anomaly_DISTORTEDECG4,correct,12027,11900,12200,2.756195306777955
018_UCR_Anomaly_DISTORTEDECG4,correct,9018,8900,9200,2.7599313259124756
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1162,1068,1312,0.8043231964111327
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2342,2075,2488,0.7954423427581788
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,978,848,1093,0.7854120731353759
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2633,2427,2745,0.7527587413787842
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3624,3512,3816,0.6685392856597903
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,2094,1226,1456,0.4853765964508057
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2805,2707,2934,0.4169178009033203
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4014,3884,4254,0.6611866950988771
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2995,2887,3099,0.6869392395019531
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1674,1498,1809,0.6868481636047362
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,3001,2085,2387,0.5474143028259278
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1185,1087,1297,0.40980482101440435
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3157,2959,3319,0.6105401515960694
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3768,3575,4133,0.8769237995147703
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2214,2100,2470,0.4617898464202881
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2077,1874,2229,0.8627119064331056
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4155,3265,3574,0.8211033344268802
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1643,2299,2581,0.3284244537353516
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12225,12110,12360,2.9796526432037362
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24799,22762,23032,2.6987876892089844
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11397,11290,11520,3.154554843902587
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23915,11290,11620,2.475283622741699
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10406,10290,10620,2.507214069366454
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22709,5090,5520,3.158717155456543
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,4830,9180,9540,1.7644569873809812
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,8545,9385,9921,1.8932454586029053
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12306,9257,9817,1.7502205371856687
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10306,7305,7577,1.8657827377319334
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6034,5905,6177,1.132752656936645
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,incorrect,2100,2388,2685,1.0192556381225586
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,921,1765,1980,0.7791111469268799
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1811,2388,2685,0.7620780467987062
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5831,5730,5940,0.9208495616912842
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1219,1111,1409,0.9406082630157473
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2576,1164,1595,0.5822873115539552
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3219,3120,3379,0.4660236835479736
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11020,10850,11200,3.673789262771606
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,26163,6011,6311,4.368434906005858
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,25354,9900,10200,4.0864975452423105
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2266,2140,2408,3.3278906345367436
059_UCR_Anomaly_DISTORTEDgait1,correct,18719,18400,18900,5.577648639678955
060_UCR_Anomaly_DISTORTEDgait2,correct,24701,24400,24900,5.432325839996339
061_UCR_Anomaly_DISTORTEDgait3,incorrect,17201,35300,36100,4.812997102737427
062_UCR_Anomaly_DISTORTEDgaitHunt1,correct,14614,14470,14780,5.204275608062746
063_UCR_Anomaly_DISTORTEDgaitHunt2,correct,12719,12600,13450,6.084018707275391
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15348,14900,15900,5.811070442199706
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5823,3900,4130,0.7791566848754884
066_UCR_Anomaly_DISTORTEDinsectEPG2,correct,4306,4200,4425,0.8636906147003175
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1129,1700,1950,0.44119238853454595
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5225,5108,5358,0.9397060871124268
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5312,5200,5401,0.782724142074585
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35084,34945,35345,4.383942365646365
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29642,29500,29900,3.489511013031006
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,correct,32643,32500,32900,5.014541625976561
073_UCR_Anomaly_DISTORTEDpark3m,correct,12445,12050,12595,3.1117649078369136
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,25526,8300,8900,4.419125556945802
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,888,9300,9900,2.9405255317687993
076_UCR_Anomaly_DISTORTEDresperation10,correct,83089,82600,83980,25.324066400527954
077_UCR_Anomaly_DISTORTEDresperation11,correct,52799,52700,52901,24.470815658569332
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34556,10160,10512,12.825191974639894
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,17025,138150,138350,37.444866418838494
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,21598,138150,138351,39.198134422302246
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,2046,113150,113351,25.375833511352536
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,64845,58330,58531,21.451556444168087
083_UCR_Anomaly_DISTORTEDresperation9,incorrect,9016,105311,105611,26.583858728408813
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23819,23674,23974,3.159637689590455
085_UCR_Anomaly_DISTORTEDs20101m,correct,25816,25674,25974,3.4790091514587402
086_UCR_Anomaly_DISTORTEDsddb49,incorrect,27597,47850,48300,7.6553261280059814
087_UCR_Anomaly_DISTORTEDsel840mECG1,correct,34500,34270,34840,4.754016160964966
088_UCR_Anomaly_DISTORTEDsel840mECG2,incorrect,21960,29270,29840,4.072749137878418
089_UCR_Anomaly_DISTORTEDtiltAPB1,incorrect,29626,14183,14450,4.060894250869751
090_UCR_Anomaly_DISTORTEDtiltAPB2,correct,74968,74059,75085,10.287853240966795
091_UCR_Anomaly_DISTORTEDtiltAPB3,incorrect,45113,73900,74470,13.43984889984131
092_UCR_Anomaly_DISTORTEDtiltAPB4,correct,47994,47895,48096,17.89412140846252
093_UCR_Anomaly_NOISE1sddb40,incorrect,31885,16900,17720,5.9473323822021475
094_UCR_Anomaly_NOISEBIDMC1,correct,3088,2800,3200,0.8998472690582274
095_UCR_Anomaly_NOISECIMIS44AirTemperature4,incorrect,2078,1449,1697,0.42120003700256353
096_UCR_Anomaly_NOISEECG4,correct,12027,11800,12200,2.656929969787598
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3,correct,984,848,1093,1.024656534194946
098_UCR_Anomaly_NOISEInternalBleeding16,correct,2991,2887,3099,0.5620512962341309
099_UCR_Anomaly_NOISEInternalBleeding6,correct,2080,1874,2229,0.9207131862640381
100_UCR_Anomaly_NOISELab2Cmac011215EPG1,correct,12225,12110,12360,2.898837804794312
101_UCR_Anomaly_NOISELab2Cmac011215EPG4,incorrect,23918,11290,11620,2.8397748470306396
102_UCR_Anomaly_NOISEMesoplodonDensirostris,incorrect,4830,9180,9540,2.0235464572906494
103_UCR_Anomaly_NOISETkeepThirdMARS,correct,1220,1111,1409,1.0305838584899902
104_UCR_Anomaly_NOISEapneaecg4,incorrect,25354,9900,10200,3.5867745876312265
105_UCR_Anomaly_NOISEgait3,incorrect,26767,35300,36100,4.57062029838562
106_UCR_Anomaly_NOISEgaitHunt2,correct,12975,12600,13450,5.697622537612915
107_UCR_Anomaly_NOISEinsectEPG3,incorrect,1129,1700,1950,0.6394436359405519
108_UCR_Anomaly_NOISEresperation2,incorrect,17053,138150,138350,29.4400188922882
109_UCR_Anomaly_1sddb40,incorrect,31886,16900,17720,5.167946100234984
110_UCR_Anomaly_2sddb40,incorrect,32092,21500,22000,5.702409744262694
111_UCR_Anomaly_3sddb40,incorrect,32091,11500,12000,7.3840904235839835
112_UCR_Anomaly_BIDMC1,correct,3085,2800,3200,0.817406415939331
113_UCR_Anomaly_CIMIS44AirTemperature1,incorrect,2077,1291,1492,0.5043797492980957
114_UCR_Anomaly_CIMIS44AirTemperature2,correct,1712,1603,1827,0.5015888214111328
115_UCR_Anomaly_CIMIS44AirTemperature3,correct,2519,2420,2644,0.4678964614868165
116_UCR_Anomaly_CIMIS44AirTemperature4,incorrect,2077,1449,1697,0.4896109104156496
117_UCR_Anomaly_CIMIS44AirTemperature5,correct,849,752,1000,0.49870967864990245
118_UCR_Anomaly_CIMIS44AirTemperature6,correct,2049,1906,2154,0.5341739654541016
119_UCR_Anomaly_ECG1,correct,1931,1700,2200,2.145317792892456
120_UCR_Anomaly_ECG2,incorrect,10827,900,1200,1.8942553997039795
121_UCR_Anomaly_ECG3,correct,1021,900,1200,1.7250099182128906
122_UCR_Anomaly_ECG3,correct,9019,8900,9200,2.722836971282959
123_UCR_Anomaly_ECG4,correct,12099,11700,12200,37.0731086730957
124_UCR_Anomaly_ECG4,correct,12027,11800,12200,2.603171825408936
125_UCR_Anomaly_ECG4,correct,12027,11900,12200,3.149280071258546
126_UCR_Anomaly_ECG4,incorrect,20294,8900,9200,2.304785966873169
127_UCR_Anomaly_GP711MarkerLFM5z1,correct,1176,1068,1312,0.7498202323913573
128_UCR_Anomaly_GP711MarkerLFM5z2,correct,2348,2075,2488,0.8417651653289796
129_UCR_Anomaly_GP711MarkerLFM5z3,correct,956,848,1093,0.889672040939331
130_UCR_Anomaly_GP711MarkerLFM5z4,correct,2554,2427,2745,0.9353241920471193
131_UCR_Anomaly_GP711MarkerLFM5z5,correct,3624,3512,3816,0.8744125366210938
132_UCR_Anomaly_InternalBleeding10,correct,1321,1226,1456,0.5053403377532959
133_UCR_Anomaly_InternalBleeding14,correct,2806,2707,2934,0.6056540012359619
134_UCR_Anomaly_InternalBleeding15,correct,4010,3884,4254,0.6742115020751953
135_UCR_Anomaly_InternalBleeding16,correct,2995,2887,3099,0.673408031463623
136_UCR_Anomaly_InternalBleeding17,correct,1677,1498,1809,0.600494146347046
137_UCR_Anomaly_InternalBleeding18,correct,2255,2085,2387,0.60016131401062
138_UCR_Anomaly_InternalBleeding19,correct,1184,1087,1297,0.46494078636169434
139_UCR_Anomaly_InternalBleeding20,correct,3160,2959,3319,0.47857642173767095
140_UCR_Anomaly_InternalBleeding4,correct,3750,3575,4133,0.7276334762573242
141_UCR_Anomaly_InternalBleeding5,correct,2212,2100,2470,0.4349083900451661
142_UCR_Anomaly_InternalBleeding6,correct,2080,1874,2229,0.8228981494903566
143_UCR_Anomaly_InternalBleeding8,incorrect,3025,3265,3574,0.4954090118408203
144_UCR_Anomaly_InternalBleeding9,incorrect,2740,2299,2581,0.4196031093597412
145_UCR_Anomaly_Lab2Cmac011215EPG1,correct,12225,12110,12360,2.688435554504395
146_UCR_Anomaly_Lab2Cmac011215EPG2,incorrect,24801,22762,23032,2.732173919677735
147_UCR_Anomaly_Lab2Cmac011215EPG3,correct,11397,11290,11520,2.8791265487670894
148_UCR_Anomaly_Lab2Cmac011215EPG4,incorrect,23917,11290,11620,2.831140518188476
