algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_wv_ols_r2_emphasize_diversity_False,3993.5944418907166,0.372,93,157,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17320,16900,17720,3.0491776466369633
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34787,21500,22000,3.1629889011383057
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34832,11500,12000,3.1469342708587638
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3087,2800,3200,0.3247339725494385
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,755,1291,1492,0.2937138080596924
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1113,1603,1827,0.24586343765258795
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,789,2420,2644,0.26640748977661133
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,784,1449,1697,0.2643589973449707
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,788,752,1000,0.2890329360961914
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,1100,1906,2154,0.2651183605194092
011_UCR_Anomaly_DISTORTEDECG1,correct,1918,1700,2200,0.749239206314087
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7830,900,1200,0.5096354484558107
013_UCR_Anomaly_DISTORTEDECG3,incorrect,14997,900,1200,0.5133974552154541
014_UCR_Anomaly_DISTORTEDECG3,correct,9021,8900,9200,0.8950226306915283
015_UCR_Anomaly_DISTORTEDECG4,correct,12100,11700,12200,52.38239765167237
016_UCR_Anomaly_DISTORTEDECG4,correct,12025,11800,12200,1.0982160568237305
017_UCR_Anomaly_DISTORTEDECG4,correct,12026,11900,12200,1.0879850387573242
018_UCR_Anomaly_DISTORTEDECG4,incorrect,21998,8900,9200,0.883918046951294
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,0,1068,1312,0.3186829090118408
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2358,2075,2488,0.28767728805542
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,933,848,1093,0.3014011383056642
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2596,2427,2745,0.33297610282897955
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3650,3512,3816,0.3340833187103272
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4278,1226,1456,0.24669504165649414
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2819,2707,2934,0.3273041248321533
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4062,3884,4254,0.3024635314941407
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2997,2887,3099,0.3370554447174073
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1694,1498,1809,0.3578143119812012
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,1856,2085,2387,0.32980585098266607
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1191,1087,1297,0.306612491607666
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,4799,2959,3319,0.287555456161499
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3776,3575,4133,0.3208866119384765
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2250,2100,2470,0.2394700050354004
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2083,1874,2229,0.39679527282714855
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4171,3265,3574,0.29457139968872076
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1649,2299,2581,0.21452403068542483
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12232,12110,12360,1.1445050239562988
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,correct,22928,22762,23032,1.097874402999878
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11401,11290,11520,1.0999579429626465
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23936,11290,11620,0.99861216545105
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10397,10290,10620,0.9283051490783693
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22711,5090,5520,0.9155769348144533
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9324,9180,9540,0.49141597747802745
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,5192,9385,9921,0.8325879573822021
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,3056,9257,9817,0.5290529727935793
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,7043,7305,7577,0.5278856754302981
047_UCR_Anomaly_DISTORTEDPowerDemand4,incorrect,8606,5905,6177,0.5522534847259521
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2566,2388,2685,0.3198761940002442
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,924,1765,1980,0.32840132713317877
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1896,2388,2685,0.33427929878234863
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5835,5730,5940,0.37790918350219727
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1304,1111,1409,0.3445906639099121
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4057,1164,1595,0.26376557350158697
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3255,3120,3379,0.27101826667785645
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11032,10850,11200,1.397390604019165
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,21872,6011,6311,1.7965116500854492
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,26872,9900,10200,1.7279253005981443
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2269,2140,2408,1.3973188400268555
059_UCR_Anomaly_DISTORTEDgait1,incorrect,33948,18400,18900,3.1576743125915523
