algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_het_if_km_lof_mp_wv_ols,3990.2843129634857,0.536,134,116,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31401,16900,17720,3.0281062126159672
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,31606,21500,22000,3.1152708530426025
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32521,11500,12000,3.145826816558837
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3092,2800,3200,0.2850496768951416
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,769,1291,1492,0.2761566638946533
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1113,1603,1827,0.24026226997375494
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,789,2420,2644,0.24485278129577637
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,784,1449,1697,0.2714509963989258
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,788,752,1000,0.27331089973449707
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2053,1906,2154,0.24456000328063965
011_UCR_Anomaly_DISTORTEDECG1,correct,1918,1700,2200,0.7322444915771485
012_UCR_Anomaly_DISTORTEDECG2,correct,1057,900,1200,0.499614715576172
013_UCR_Anomaly_DISTORTEDECG3,correct,1024,900,1200,0.5223171710968018
014_UCR_Anomaly_DISTORTEDECG3,correct,9021,8900,9200,0.8868191242218018
015_UCR_Anomaly_DISTORTEDECG4,correct,12100,11700,12200,52.388677358627326
016_UCR_Anomaly_DISTORTEDECG4,correct,12025,11800,12200,1.0884883403778076
017_UCR_Anomaly_DISTORTEDECG4,correct,12026,11900,12200,1.0564541816711426
018_UCR_Anomaly_DISTORTEDECG4,correct,9026,8900,9200,0.8713924884796143
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,0,1068,1312,0.3268394470214844
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2349,2075,2488,0.29733347892761236
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,968,848,1093,0.30498003959655773
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2596,2427,2745,0.3436057567596436
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3650,3512,3816,0.326120138168335
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4278,1226,1456,0.2319040298461914
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2806,2707,2934,0.3095991611480713
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4010,3884,4254,0.29200553894042974
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2997,2887,3099,0.29612970352172857
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1694,1498,1809,0.3525152206420899
029_UCR_Anomaly_DISTORTEDInternalBleeding18,correct,2275,2085,2387,0.3266961574554444
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1191,1087,1297,0.31481432914733887
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,4799,2959,3319,0.29392099380493164
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3775,3575,4133,0.3161578178405761
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2250,2100,2470,0.23335886001586914
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2083,1874,2229,0.35210371017456066
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4154,3265,3574,0.30161976814270025
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,3299,2299,2581,0.21072506904602054
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12232,12110,12360,1.0679168701171875
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,correct,22928,22762,23032,1.0923588275909424
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11401,11290,11520,1.125666856765747
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23918,11290,11620,1.0284156799316408
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10397,10290,10620,0.9167249202728273
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22711,5090,5520,0.9143216609954836
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,4842,9180,9540,0.4696321487426759
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,17306,9385,9921,0.8259396553039551
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12306,9257,9817,0.5104486942291262
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10306,7305,7577,0.5668413639068606
047_UCR_Anomaly_DISTORTEDPowerDemand4,incorrect,8306,5905,6177,0.5997998714447021
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2566,2388,2685,0.32891654968261724
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,919,1765,1980,0.30853056907653814
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1833,2388,2685,0.3374662399291992
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5835,5730,5940,0.36095595359802246
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1305,1111,1409,0.3426644802093506
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4296,1164,1595,0.27363181114196783
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3264,3120,3379,0.3236234188079834
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11038,10850,11200,1.3726685047149658
056_UCR_Anomaly_DISTORTEDapneaecg3,correct,6180,6011,6311,1.7694892883300781
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,26872,9900,10200,1.7068002223968504
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2269,2140,2408,1.3792827129364014
059_UCR_Anomaly_DISTORTEDgait1,correct,18723,18400,18900,3.1728627681732173
060_UCR_Anomaly_DISTORTEDgait2,correct,24706,24400,24900,2.8535282611846924
061_UCR_Anomaly_DISTORTEDgait3,incorrect,28233,35300,36100,2.555148839950562
062_UCR_Anomaly_DISTORTEDgaitHunt1,correct,14670,14470,14780,3.2050764560699463
063_UCR_Anomaly_DISTORTEDgaitHunt2,correct,12978,12600,13450,3.194553852081299
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15353,14900,15900,2.5798792839050293
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5825,3900,4130,0.2866518497467041
066_UCR_Anomaly_DISTORTEDinsectEPG2,incorrect,0,4200,4425,0.3310751914978028
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1132,1700,1950,0.27758288383483887
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5256,5108,5358,0.3261570930480957
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5315,5200,5401,0.31246399879455566
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35089,34945,35345,2.357274055480957
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29641,29500,29900,1.684953451156616
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,correct,32647,32500,32900,1.965358257293701
073_UCR_Anomaly_DISTORTEDpark3m,correct,12443,12050,12595,1.503805160522461
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,3508,8300,8900,1.6364529132843013
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,2136,9300,9900,1.158484935760498
076_UCR_Anomaly_DISTORTEDresperation10,correct,83578,82600,83980,30.043700456619263
077_UCR_Anomaly_DISTORTEDresperation11,correct,52799,52700,52901,26.207230567932132
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34551,10160,10512,14.078872203826904
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,38555,138150,138350,39.98336744308472
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,21585,138150,138351,35.38832330703735
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,23553,113150,113351,29.468845605850216
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,64793,58330,58531,21.95220041275024
083_UCR_Anomaly_DISTORTEDresperation9,correct,105492,105311,105611,34.02986574172974
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23821,23674,23974,1.2950799465179443
085_UCR_Anomaly_DISTORTEDs20101m,incorrect,7161,25674,25974,1.4945180416107178
086_UCR_Anomaly_DISTORTEDsddb49,incorrect,27638,47850,48300,5.294779777526856
087_UCR_Anomaly_DISTORTEDsel840mECG1,incorrect,38642,34270,34840,2.8416650295257564
088_UCR_Anomaly_DISTORTEDsel840mECG2,incorrect,23294,29270,29840,2.1168274879455566
089_UCR_Anomaly_DISTORTEDtiltAPB1,correct,14295,14183,14450,1.4786536693572998
