algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_if_hard_voting_gaussian_False_spread_window_100,266.9556767940521,0.216,54,196,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17270,16900,17720,0.6998581886291505
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34791,21500,22000,0.6963405609130858
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34784,11500,12000,0.6988089084625244
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3042,2800,3200,0.13649821281433108
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,777,1291,1492,0.04928278923034668
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1063,1603,1827,0.0556035041809082
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,793,2420,2644,0.051553487777709954
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,759,1449,1697,0.04252958297729493
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,800,752,1000,0.04430103302001953
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,1056,1906,2154,0.049685001373291016
011_UCR_Anomaly_DISTORTEDECG1,correct,1895,1700,2200,0.3117594718933106
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7810,900,1200,0.23277282714843753
013_UCR_Anomaly_DISTORTEDECG3,incorrect,44,900,1200,0.23382949829101565
014_UCR_Anomaly_DISTORTEDECG3,incorrect,20344,8900,9200,0.3459393978118897
015_UCR_Anomaly_DISTORTEDECG4,incorrect,22638,11700,12200,4.15561056137085
016_UCR_Anomaly_DISTORTEDECG4,incorrect,7604,11800,12200,0.402904272079468
017_UCR_Anomaly_DISTORTEDECG4,incorrect,4275,11900,12200,0.3909785747528078
018_UCR_Anomaly_DISTORTEDECG4,incorrect,4532,8900,9200,0.3509931564331056
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,25,1068,1312,0.09913778305053715
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2374,2075,2488,0.08620691299438477
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,incorrect,0,848,1093,0.09508967399597168
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2565,2427,2745,0.11943960189819336
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3611,3512,3816,0.10640430450439453
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.06526970863342285
025_UCR_Anomaly_DISTORTEDInternalBleeding14,incorrect,4650,2707,2934,0.06667256355285643
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4066,3884,4254,0.09337615966796875
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,604,2887,3099,0.11234354972839355
028_UCR_Anomaly_DISTORTEDInternalBleeding17,incorrect,2414,1498,1809,0.08559799194335939
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5148,2085,2387,0.07391214370727538
030_UCR_Anomaly_DISTORTEDInternalBleeding19,incorrect,4449,1087,1297,0.05915951728820801
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3108,2959,3319,0.06592917442321777
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3760,3575,4133,0.10515761375427247
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2204,2100,2470,0.033940792083740234
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2061,1874,2229,0.09886932373046875
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,2986,3265,3574,0.07307744026184085
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1618,2299,2581,0.03375411033630371
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12195,12110,12360,0.4625058174133301
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,0,22762,23032,0.45915436744689947
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,15461,11290,11520,0.46020340919494634
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,24015,11290,11620,0.44473195075988775
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10366,10290,10620,0.42374253273010265
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22808,5090,5520,0.41374063491821295
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,4621,9180,9540,0.23437428474426275
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,5180,9385,9921,0.383901596069336
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,50,9257,9817,0.2929487228393554
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,7038,7305,7577,0.24876332283020025
047_UCR_Anomaly_DISTORTEDPowerDemand4,incorrect,8567,5905,6177,0.21785640716552734
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,incorrect,2038,2388,2685,0.1101982593536377
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,2000,1765,1980,0.12305641174316409
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1884,2388,2685,0.11589765548706056
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,incorrect,2330,5730,5940,0.11274695396423341
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,incorrect,2127,1111,1409,0.11972737312316896
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2532,1164,1595,0.0708606243133545
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3214,3120,3379,0.04514598846435546
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,10992,10850,11200,0.4319186210632326
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,21827,6011,6311,0.5159637928009033
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,26847,9900,10200,0.4921705722808838
058_UCR_Anomaly_DISTORTEDapneaecg,incorrect,10963,2140,2408,0.436487913131714
059_UCR_Anomaly_DISTORTEDgait1,incorrect,33898,18400,18900,0.7160887718200682
060_UCR_Anomaly_DISTORTEDgait2,incorrect,42,24400,24900,0.6839008331298829
061_UCR_Anomaly_DISTORTEDgait3,incorrect,17132,35300,36100,0.6468253135681151
062_UCR_Anomaly_DISTORTEDgaitHunt1,incorrect,0,14470,14780,0.7142987251281738
063_UCR_Anomaly_DISTORTEDgaitHunt2,incorrect,0,12600,13450,0.7239277362823489
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15274,14900,15900,0.6328990459442142
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,4891,3900,4130,0.10586261749267577
066_UCR_Anomaly_DISTORTEDinsectEPG2,incorrect,2589,4200,4425,0.09877896308898926
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1097,1700,1950,0.05388998985290528
068_UCR_Anomaly_DISTORTEDinsectEPG4,incorrect,6627,5108,5358,0.13902330398559573
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5270,5200,5401,0.1109452247619629
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35111,34945,35345,0.5879547595977782
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29653,29500,29900,0.4808790683746338
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,incorrect,8922,32500,32900,0.5450055599212648
073_UCR_Anomaly_DISTORTEDpark3m,incorrect,17141,12050,12595,0.4717752933502198
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,25502,8300,8900,0.5010313987731936
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,2115,9300,9900,0.39819741249084484
076_UCR_Anomaly_DISTORTEDresperation10,incorrect,86618,82600,83980,3.0453269481658936
077_UCR_Anomaly_DISTORTEDresperation11,incorrect,76570,52700,52901,2.774514675140381
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34618,10160,10512,1.729381799697876
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,2420,138150,138350,3.65030288696289
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,104579,138150,138351,3.3628637790679923
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,89590,113150,113351,3.0070917606353764
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,64852,58330,58531,2.443289995193481
083_UCR_Anomaly_DISTORTEDresperation9,incorrect,7052,105311,105611,3.2853858470916752
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23840,23674,23974,0.43518924713134777
085_UCR_Anomaly_DISTORTEDs20101m,incorrect,7006,25674,25974,0.4970736503601075
086_UCR_Anomaly_DISTORTEDsddb49,incorrect,27672,47850,48300,0.8926951885223389
087_UCR_Anomaly_DISTORTEDsel840mECG1,incorrect,4268,34270,34840,0.6601307392120362
088_UCR_Anomaly_DISTORTEDsel840mECG2,incorrect,21725,29270,29840,0.571068048477173
089_UCR_Anomaly_DISTORTEDtiltAPB1,incorrect,51,14183,14450,0.4705336093902589
090_UCR_Anomaly_DISTORTEDtiltAPB2,incorrect,35260,74059,75085,1.252116203308105
091_UCR_Anomaly_DISTORTEDtiltAPB3,incorrect,45097,73900,74470,1.431943416595459
