algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_if_hard_voting_gaussian_True_spread_window_100,267.74109172821045,0.22,55,195,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17270,16900,17720,0.6997001171112062
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34831,21500,22000,0.6983754634857177
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34784,11500,12000,0.6998844146728516
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3043,2800,3200,0.13685560226440432
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,836,1291,1492,0.04969906806945801
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1148,1603,1827,0.05591249465942383
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,838,2420,2644,0.051347494125366204
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,838,1449,1697,0.04280614852905274
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,835,752,1000,0.04470491409301758
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,1056,1906,2154,0.050013065338134766
011_UCR_Anomaly_DISTORTEDECG1,correct,1964,1700,2200,0.3119766712188721
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7810,900,1200,0.23346233367919925
013_UCR_Anomaly_DISTORTEDECG3,incorrect,50,900,1200,0.23461985588073733
014_UCR_Anomaly_DISTORTEDECG3,incorrect,20335,8900,9200,0.34623908996582037
015_UCR_Anomaly_DISTORTEDECG4,incorrect,22723,11700,12200,4.16692042350769
016_UCR_Anomaly_DISTORTEDECG4,incorrect,7621,11800,12200,0.4007811546325686
017_UCR_Anomaly_DISTORTEDECG4,incorrect,7629,11900,12200,0.3918356895446779
018_UCR_Anomaly_DISTORTEDECG4,incorrect,4532,8900,9200,0.3521432876586915
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,50,1068,1312,0.09911608695983891
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2309,2075,2488,0.08689236640930176
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,incorrect,51,848,1093,0.09559893608093262
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2644,2427,2745,0.12005281448364258
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3611,3512,3816,0.10618257522583008
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4249,1226,1456,0.06560230255126953
025_UCR_Anomaly_DISTORTEDInternalBleeding14,incorrect,4650,2707,2934,0.0670502185821533
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4033,3884,4254,0.09380555152893066
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,6250,2887,3099,0.11231064796447754
028_UCR_Anomaly_DISTORTEDInternalBleeding17,incorrect,2512,1498,1809,0.08614492416381837
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5149,2085,2387,0.07426428794860838
030_UCR_Anomaly_DISTORTEDInternalBleeding19,incorrect,4449,1087,1297,0.059543609619140625
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3108,2959,3319,0.06592059135437012
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3819,3575,4133,0.10525679588317872
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2204,2100,2470,0.0342106819152832
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2124,1874,2229,0.09935784339904785
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3072,3265,3574,0.07296013832092288
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1620,2299,2581,0.03365182876586914
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12195,12110,12360,0.4635963439941406
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,50,22762,23032,0.4600772857666016
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,24898,11290,11520,0.4609782695770264
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,14589,11290,11620,0.44575595855712896
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10366,10290,10620,0.424388885498047
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22809,5090,5520,0.41485738754272466
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,4623,9180,9540,0.2351884841918946
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,5165,9385,9921,0.3843474388122559
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,51,9257,9817,0.29363942146301264
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,7074,7305,7577,0.24933052062988287
047_UCR_Anomaly_DISTORTEDPowerDemand4,incorrect,8656,5905,6177,0.21770906448364258
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,incorrect,2086,2388,2685,0.11059403419494629
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,2039,1765,1980,0.12364101409912112
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1935,2388,2685,0.11644339561462404
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,incorrect,2331,5730,5940,0.11288428306579591
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,incorrect,2105,1111,1409,0.12028980255126955
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2532,1164,1595,0.07119131088256837
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3209,3120,3379,0.04554200172424316
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,10992,10850,11200,0.4325139522552492
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,27959,6011,6311,0.5173258781433105
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,26847,9900,10200,0.49266719818115234
058_UCR_Anomaly_DISTORTEDapneaecg,incorrect,11059,2140,2408,0.43764495849609386
059_UCR_Anomaly_DISTORTEDgait1,incorrect,33898,18400,18900,0.7159609794616698
060_UCR_Anomaly_DISTORTEDgait2,incorrect,33877,24400,24900,0.6854431629180909
061_UCR_Anomaly_DISTORTEDgait3,incorrect,17124,35300,36100,0.6483857631683348
062_UCR_Anomaly_DISTORTEDgaitHunt1,incorrect,50,14470,14780,0.7164695262908936
063_UCR_Anomaly_DISTORTEDgaitHunt2,incorrect,50,12600,13450,0.7258136272430422
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15611,14900,15900,0.6345412731170658
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,4903,3900,4130,0.10641884803771971
066_UCR_Anomaly_DISTORTEDinsectEPG2,incorrect,2589,4200,4425,0.09923338890075684
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1182,1700,1950,0.05378007888793946
068_UCR_Anomaly_DISTORTEDinsectEPG4,incorrect,6627,5108,5358,0.13944101333618167
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5362,5200,5401,0.11088156700134279
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35188,34945,35345,0.5894246101379393
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29653,29500,29900,0.4817464351654053
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,incorrect,33950,32500,32900,0.5462365150451661
073_UCR_Anomaly_DISTORTEDpark3m,incorrect,17189,12050,12595,0.4720494747161866
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,25538,8300,8900,0.5022537708282473
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,2182,9300,9900,0.39949464797973644
076_UCR_Anomaly_DISTORTEDresperation10,incorrect,86653,82600,83980,3.0414841175079346
077_UCR_Anomaly_DISTORTEDresperation11,incorrect,76569,52700,52901,2.788501262664795
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34656,10160,10512,1.7387416362762451
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,2457,138150,138350,3.6694056987762447
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,104661,138150,138351,3.3684778213500968
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,89577,113150,113351,3.016840219497681
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,64823,58330,58531,2.4489302635192867
083_UCR_Anomaly_DISTORTEDresperation9,incorrect,7052,105311,105611,3.298127412796021
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23902,23674,23974,0.4403936862945558
085_UCR_Anomaly_DISTORTEDs20101m,incorrect,7076,25674,25974,0.5001561641693115
086_UCR_Anomaly_DISTORTEDsddb49,incorrect,27679,47850,48300,0.9008667469024658
087_UCR_Anomaly_DISTORTEDsel840mECG1,incorrect,4287,34270,34840,0.6617047786712648
088_UCR_Anomaly_DISTORTEDsel840mECG2,incorrect,21725,29270,29840,0.572643280029297
089_UCR_Anomaly_DISTORTEDtiltAPB1,incorrect,54,14183,14450,0.47190022468566906
090_UCR_Anomaly_DISTORTEDtiltAPB2,incorrect,35260,74059,75085,1.2591965198516841
091_UCR_Anomaly_DISTORTEDtiltAPB3,incorrect,45062,73900,74470,1.4415030479431152
092_UCR_Anomaly_DISTORTEDtiltAPB4,incorrect,65141,47895,48096,2.038288831710816
093_UCR_Anomaly_NOISE1sddb40,incorrect,34539,16900,17720,0.7238283157348633
094_UCR_Anomaly_NOISEBIDMC1,correct,3074,2800,3200,0.13597846031188965
095_UCR_Anomaly_NOISECIMIS44AirTemperature4,incorrect,818,1449,1697,0.0475749969482422
096_UCR_Anomaly_NOISEECG4,incorrect,24949,11800,12200,0.40872359275817877
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3,correct,929,848,1093,0.10401058197021486
098_UCR_Anomaly_NOISEInternalBleeding16,incorrect,6250,2887,3099,0.08471035957336424
099_UCR_Anomaly_NOISEInternalBleeding6,correct,2046,1874,2229,0.0705058574676514
100_UCR_Anomaly_NOISELab2Cmac011215EPG1,correct,12281,12110,12360,0.4648327827453613
101_UCR_Anomaly_NOISELab2Cmac011215EPG4,incorrect,24015,11290,11620,0.4466249942779541
102_UCR_Anomaly_NOISEMesoplodonDensirostris,incorrect,14616,9180,9540,0.23779535293579104
103_UCR_Anomaly_NOISETkeepThirdMARS,incorrect,3028,1111,1409,0.13562297821044927
104_UCR_Anomaly_NOISEapneaecg4,incorrect,20810,9900,10200,0.5071783065795896
105_UCR_Anomaly_NOISEgait3,incorrect,31454,35300,36100,0.7180883884429935
106_UCR_Anomaly_NOISEgaitHunt2,incorrect,51,12600,13450,0.8004705905914309
107_UCR_Anomaly_NOISEinsectEPG3,incorrect,1090,1700,1950,0.05571031570434572
108_UCR_Anomaly_NOISEresperation2,incorrect,104658,138150,138350,3.908849477767944
109_UCR_Anomaly_1sddb40,incorrect,34644,16900,17720,0.6887269020080566
110_UCR_Anomaly_2sddb40,incorrect,34781,21500,22000,0.691563606262207
111_UCR_Anomaly_3sddb40,incorrect,34847,11500,12000,0.6857523918151855
112_UCR_Anomaly_BIDMC1,correct,3066,2800,3200,0.12403130531311037
113_UCR_Anomaly_CIMIS44AirTemperature1,incorrect,839,1291,1492,0.05216550827026367
114_UCR_Anomaly_CIMIS44AirTemperature2,incorrect,830,1603,1827,0.04443836212158203
115_UCR_Anomaly_CIMIS44AirTemperature3,incorrect,840,2420,2644,0.043458461761474616
116_UCR_Anomaly_CIMIS44AirTemperature4,incorrect,742,1449,1697,0.053034782409667976
117_UCR_Anomaly_CIMIS44AirTemperature5,correct,767,752,1000,0.056242465972900405
118_UCR_Anomaly_CIMIS44AirTemperature6,incorrect,821,1906,2154,0.05179047584533693
