algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_if_maximum_score,266.3604533672333,0.176,44,206,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17270,16900,17720,0.6979215145111085
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,36240,21500,22000,0.6972472667694091
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34743,11500,12000,0.6989245414733887
004_UCR_Anomaly_DISTORTEDBIDMC1,incorrect,559,2800,3200,0.13692593574523929
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,800,1291,1492,0.04998612403869629
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,820,1603,1827,0.05624675750732422
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,756,2420,2644,0.05168986320495605
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,803,1449,1697,0.04315805435180665
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,incorrect,736,752,1000,0.04500102996826172
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,830,1906,2154,0.05035114288330078
011_UCR_Anomaly_DISTORTEDECG1,correct,1914,1700,2200,0.31167507171630865
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7841,900,1200,0.23326063156127932
013_UCR_Anomaly_DISTORTEDECG3,incorrect,18,900,1200,0.23438215255737307
014_UCR_Anomaly_DISTORTEDECG3,incorrect,6394,8900,9200,0.3457388877868653
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,4.141827583312988
016_UCR_Anomaly_DISTORTEDECG4,incorrect,39,11800,12200,0.40042757987976096
017_UCR_Anomaly_DISTORTEDECG4,incorrect,7583,11900,12200,0.3915452957153322
018_UCR_Anomaly_DISTORTEDECG4,incorrect,4580,8900,9200,0.35173511505126964
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,0,1068,1312,0.0991296768188477
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2330,2075,2488,0.08683562278747559
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,939,848,1093,0.09572625160217285
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2610,2427,2745,0.12003231048583984
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3644,3512,3816,0.10632777214050293
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4299,1226,1456,0.0658559799194336
025_UCR_Anomaly_DISTORTEDInternalBleeding14,incorrect,2478,2707,2934,0.06734323501586913
026_UCR_Anomaly_DISTORTEDInternalBleeding15,incorrect,5500,3884,4254,0.09400010108947754
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,575,2887,3099,0.11245441436767578
028_UCR_Anomaly_DISTORTEDInternalBleeding17,incorrect,1265,1498,1809,0.08624362945556642
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5196,2085,2387,0.07449674606323241
030_UCR_Anomaly_DISTORTEDInternalBleeding19,incorrect,4470,1087,1297,0.05981302261352539
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3150,2959,3319,0.06610536575317383
032_UCR_Anomaly_DISTORTEDInternalBleeding4,incorrect,2814,3575,4133,0.10547423362731935
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2207,2100,2470,0.03462386131286621
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2070,1874,2229,0.0995326042175293
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,2988,3265,3574,0.07317495346069339
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1660,2299,2581,0.03402304649353027
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12231,12110,12360,0.4631633758544922
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,15352,22762,23032,0.4594049453735352
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,24923,11290,11520,0.4606378078460694
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,14527,11290,11620,0.44532728195190435
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,incorrect,13217,10290,10620,0.42380642890930187
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,1,5090,5520,0.41427302360534674
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,4619,9180,9540,0.2349014282226563
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,4,9385,9921,0.3839902877807618
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,1,9257,9817,0.29358315467834467
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,7088,7305,7577,0.24927854537963873
047_UCR_Anomaly_DISTORTEDPowerDemand4,incorrect,7723,5905,6177,0.21775507926940918
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,incorrect,2046,2388,2685,0.11067843437194824
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,2016,1765,1980,0.12371110916137698
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,0,2388,2685,0.1164686679840088
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,incorrect,2281,5730,5940,0.11296415328979494
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,incorrect,1,1111,1409,0.1203582286834717
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2582,1164,1595,0.07147955894470216
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3237,3120,3379,0.04581665992736816
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11039,10850,11200,0.43215703964233415
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,1,6011,6311,0.5162637233734131
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,26872,9900,10200,0.49211883544921875
058_UCR_Anomaly_DISTORTEDapneaecg,incorrect,28499,2140,2408,0.437267303466797
059_UCR_Anomaly_DISTORTEDgait1,incorrect,33938,18400,18900,0.7150156497955321
060_UCR_Anomaly_DISTORTEDgait2,incorrect,33,24400,24900,0.6847169399261476
061_UCR_Anomaly_DISTORTEDgait3,incorrect,17149,35300,36100,0.6477668285369872
062_UCR_Anomaly_DISTORTEDgaitHunt1,incorrect,15,14470,14780,0.715139627456665
063_UCR_Anomaly_DISTORTEDgaitHunt2,incorrect,0,12600,13450,0.7248446941375735
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15115,14900,15900,0.6337840557098392
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,4416,3900,4130,0.10647201538085936
066_UCR_Anomaly_DISTORTEDinsectEPG2,incorrect,2617,4200,4425,0.09943699836730957
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1137,1700,1950,0.05400943756103516
068_UCR_Anomaly_DISTORTEDinsectEPG4,incorrect,4205,5108,5358,0.1394901275634766
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5314,5200,5401,0.11105751991271974
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35144,34945,35345,0.5888638496398925
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29701,29500,29900,0.48126673698425293
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,incorrect,8898,32500,32900,0.54575252532959
073_UCR_Anomaly_DISTORTEDpark3m,correct,12465,12050,12595,0.471766471862793
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,25469,8300,8900,0.5017580986022951
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,1,9300,9900,0.3990495204925538
076_UCR_Anomaly_DISTORTEDresperation10,incorrect,86613,82600,83980,3.027763843536377
077_UCR_Anomaly_DISTORTEDresperation11,incorrect,73707,52700,52901,2.769914150238037
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34602,10160,10512,1.728912591934204
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,21635,138150,138350,3.641144514083862
