algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_if_simple_average,266.01880168914795,0.228,57,193,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17311,16900,17720,0.6971640586853028
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34800,21500,22000,0.6961317062377929
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34866,11500,12000,0.6976273059844971
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3090,2800,3200,0.13653945922851565
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,790,1291,1492,0.04972076416015625
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1100,1603,1827,0.055947303771972656
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,766,2420,2644,0.05138492584228515
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,789,1449,1697,0.04284429550170899
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,789,752,1000,0.04460930824279785
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,1098,1906,2154,0.049994707107543945
011_UCR_Anomaly_DISTORTEDECG1,correct,1921,1700,2200,0.311100721359253
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7845,900,1200,0.23263382911682132
013_UCR_Anomaly_DISTORTEDECG3,incorrect,37,900,1200,0.23383116722106936
014_UCR_Anomaly_DISTORTEDECG3,incorrect,20455,8900,9200,0.34524250030517584
015_UCR_Anomaly_DISTORTEDECG4,incorrect,22681,11700,12200,4.138631820678711
016_UCR_Anomaly_DISTORTEDECG4,incorrect,7581,11800,12200,0.39965987205505393
017_UCR_Anomaly_DISTORTEDECG4,incorrect,1465,11900,12200,0.3907713890075685
018_UCR_Anomaly_DISTORTEDECG4,incorrect,4581,8900,9200,0.3510227203369142
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,261,1068,1312,0.09869265556335453
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2349,2075,2488,0.08645796775817871
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,958,848,1093,0.09531021118164062
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2609,2427,2745,0.11957311630249023
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3647,3512,3816,0.10585403442382812
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,2082,1226,1456,0.06549572944641113
025_UCR_Anomaly_DISTORTEDInternalBleeding14,incorrect,2476,2707,2934,0.06699395179748534
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4039,3884,4254,0.09359192848205566
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,577,2887,3099,0.11205363273620605
028_UCR_Anomaly_DISTORTEDInternalBleeding17,incorrect,2554,1498,1809,0.08582282066345216
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,1859,2085,2387,0.07417798042297362
030_UCR_Anomaly_DISTORTEDInternalBleeding19,incorrect,4499,1087,1297,0.05939292907714844
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3152,2959,3319,0.06614327430725098
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3775,3575,4133,0.10509848594665529
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2221,2100,2470,0.032765865325927734
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2076,1874,2229,0.09901857376098633
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3026,3265,3574,0.07274150848388675
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1670,2299,2581,0.03368949890136719
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12237,12110,12360,0.462329626083374
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,15183,22762,23032,0.45865082740783697
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,15451,11290,11520,0.4599354267120362
