algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_if_wv_ols_r2_emphasize_diversity_False,364.86219787597656,0.188,47,203,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,34617,16900,17720,1.1121764183044434
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34796,21500,22000,0.9541227817535399
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34810,11500,12000,0.9567630290985107
004_UCR_Anomaly_DISTORTEDBIDMC1,incorrect,1744,2800,3200,0.19743943214416507
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,755,1291,1492,0.08835864067077637
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1113,1603,1827,0.09723973274230957
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,822,2420,2644,0.0990447998046875
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,769,1449,1697,0.08325409889221191
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,837,752,1000,0.08273816108703613
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,938,1906,2154,0.08952975273132324
011_UCR_Anomaly_DISTORTEDECG1,correct,1914,1700,2200,0.4294016361236573
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7851,900,1200,0.3316917419433594
013_UCR_Anomaly_DISTORTEDECG3,incorrect,4541,900,1200,0.3278632164001465
014_UCR_Anomaly_DISTORTEDECG3,incorrect,5889,8900,9200,0.47724771499633795
015_UCR_Anomaly_DISTORTEDECG4,incorrect,22682,11700,12200,5.61829948425293
016_UCR_Anomaly_DISTORTEDECG4,incorrect,24999,11800,12200,0.5587122440338137
017_UCR_Anomaly_DISTORTEDECG4,incorrect,4303,11900,12200,0.5509791374206545
018_UCR_Anomaly_DISTORTEDECG4,incorrect,3782,8900,9200,0.49570488929748546
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,2,1068,1312,0.16404104232788091
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2349,2075,2488,0.15335822105407715
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,939,848,1093,0.16606736183166504
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2601,2427,2745,0.18294119834899902
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3654,3512,3816,0.16378068923950195
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4291,1226,1456,0.12264227867126465
025_UCR_Anomaly_DISTORTEDInternalBleeding14,incorrect,4693,2707,2934,0.11140465736389159
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4082,3884,4254,0.14553451538085938
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,6300,2887,3099,0.1795496940612793
