algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_if_wv_ols,361.94534516334534,0.208,52,198,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,34617,16900,17720,0.9632806777954103
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34796,21500,22000,0.9618060588836669
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34810,11500,12000,0.966498851776123
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3021,2800,3200,0.1970479488372803
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,755,1291,1492,0.08527684211730957
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1113,1603,1827,0.09154272079467773
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,789,2420,2644,0.08688950538635254
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,769,1449,1697,0.07883524894714355
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,785,752,1000,0.08023476600646973
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,1104,1906,2154,0.08602499961853027
011_UCR_Anomaly_DISTORTEDECG1,correct,1919,1700,2200,0.4362893104553223
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7851,900,1200,0.3289625644683838
013_UCR_Anomaly_DISTORTEDECG3,incorrect,27,900,1200,0.3301045894622803
014_UCR_Anomaly_DISTORTEDECG3,incorrect,21997,8900,9200,0.4779129028320313
015_UCR_Anomaly_DISTORTEDECG4,incorrect,22682,11700,12200,5.534225702285767
016_UCR_Anomaly_DISTORTEDECG4,incorrect,0,11800,12200,0.5493397712707522
017_UCR_Anomaly_DISTORTEDECG4,incorrect,4308,11900,12200,0.5398571491241457
018_UCR_Anomaly_DISTORTEDECG4,incorrect,21999,8900,9200,0.4864454269409181
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,2,1068,1312,0.14584302902221685
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2349,2075,2488,0.1385810375213623
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,939,848,1093,0.14740324020385742
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2601,2427,2745,0.17695212364196777
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3654,3512,3816,0.1584787368774414
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4291,1226,1456,0.10231709480285645
025_UCR_Anomaly_DISTORTEDInternalBleeding14,incorrect,4693,2707,2934,0.10578536987304686
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4082,3884,4254,0.13881635665893555
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,6292,2887,3099,0.16630840301513672
028_UCR_Anomaly_DISTORTEDInternalBleeding17,incorrect,2462,1498,1809,0.13142061233520508
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5193,2085,2387,0.11563992500305174
030_UCR_Anomaly_DISTORTEDInternalBleeding19,incorrect,4467,1087,1297,0.10832381248474121
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3126,2959,3319,0.10785079002380371
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3779,3575,4133,0.15300512313842773
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2228,2100,2470,0.06584858894348145
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2095,1874,2229,0.14634442329406738
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3095,3265,3574,0.1457943916320801
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1660,2299,2581,0.06478619575500488
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12242,12110,12360,0.6150150299072266
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,2,22762,23032,0.6074380874633789
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,24949,11290,11520,0.6123197078704834
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,24063,11290,11620,0.5895812511444092
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10409,10290,10620,0.563417673110962
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22858,5090,5520,0.5497245788574219
