algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_km_hard_voting_gaussian_False_spread_window_100,2023.6925625801086,0.424,106,144,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31849,16900,17720,6.759021282196044
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32054,21500,22000,6.953137397766113
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32053,11500,12000,6.13961935043335
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3061,2800,3200,0.9981753826141359
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2050,1291,1492,0.5523204803466797
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1670,1603,1827,0.5364880561828614
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2488,2420,2644,0.5690076351165771
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,740,1449,1697,0.43911385536193853
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,827,752,1000,0.4410822391510011
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2027,1906,2154,0.42349243164062506
011_UCR_Anomaly_DISTORTEDECG1,correct,1880,1700,2200,2.398134231567382
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7782,900,1200,1.7664456367492676
013_UCR_Anomaly_DISTORTEDECG3,incorrect,13275,900,1200,1.9545223712921145
014_UCR_Anomaly_DISTORTEDECG3,correct,8982,8900,9200,2.902452230453491
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,32.807656049728394
016_UCR_Anomaly_DISTORTEDECG4,correct,11977,11800,12200,2.8752508163452153
017_UCR_Anomaly_DISTORTEDECG4,correct,11999,11900,12200,2.756404161453248
018_UCR_Anomaly_DISTORTEDECG4,correct,8980,8900,9200,2.76012921333313
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,5926,1068,1312,0.8035991191864013
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2320,2075,2488,0.7952446937561036
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,925,848,1093,0.7852482795715331
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2553,2427,2745,0.752025842666626
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3661,3512,3816,0.6684279441833498
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.48518443107604986
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2774,2707,2934,0.4167623519897461
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4080,3884,4254,0.6604931354522706
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,574,2887,3099,0.6867527961730957
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1606,1498,1809,0.6866962909698485
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5149,2085,2387,0.5616075992584229
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1149,1087,1297,0.4089577198028565
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,4749,2959,3319,0.6103069782257081
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3799,3575,4133,0.8762500286102293
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2182,2100,2470,0.46121954917907715
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2086,1874,2229,0.8625586032867433
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4121,3265,3574,0.820894002914429
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1614,2299,2581,0.32767963409423834
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12191,12110,12360,2.979978561401368
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24814,22762,23032,2.6980018615722656
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,24818,11290,11520,3.154672622680663
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23964,11290,11620,2.475364923477173
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10384,10290,10620,2.5067243576049796
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22682,5090,5520,3.158735752105713
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9334,9180,9540,1.7638893127441404
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9490,9385,9921,1.8933396339416504
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,3011,9257,9817,1.7502040863037107
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10583,7305,7577,1.8650383949279783
047_UCR_Anomaly_DISTORTEDPowerDemand4,incorrect,8564,5905,6177,1.1327075958251949
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2557,2388,2685,1.0189955234527588
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,878,1765,1980,0.7781424522399902
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1813,2388,2685,0.7618527412414552
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5788,5730,5940,0.9206688404083252
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1261,1111,1409,0.9398720264434817
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4247,1164,1595,0.5819363594055177
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3209,3120,3379,0.46568226814270014
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11004,10850,11200,3.6736285686492915
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,22834,6011,6311,4.36930990219116
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,26827,9900,10200,4.0862441062927255
058_UCR_Anomaly_DISTORTEDapneaecg,incorrect,17954,2140,2408,3.327867984771729
059_UCR_Anomaly_DISTORTEDgait1,correct,18689,18400,18900,5.58004903793335
060_UCR_Anomaly_DISTORTEDgait2,correct,24653,24400,24900,5.4325318336486825
061_UCR_Anomaly_DISTORTEDgait3,incorrect,17148,35300,36100,4.812657594680786
062_UCR_Anomaly_DISTORTEDgaitHunt1,incorrect,4568,14470,14780,5.204454660415651
063_UCR_Anomaly_DISTORTEDgaitHunt2,incorrect,0,12600,13450,6.083561897277832
064_UCR_Anomaly_DISTORTEDgaitHunt3,incorrect,11728,14900,15900,5.811426877975463
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5784,3900,4130,0.7782011032104493
066_UCR_Anomaly_DISTORTEDinsectEPG2,incorrect,5076,4200,4425,0.8633029460906984
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1084,1700,1950,0.44087266921997076
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5205,5108,5358,0.939568281173706
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5271,5200,5401,0.7818591594696045
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35091,34945,35345,4.3842182159423855
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29655,29500,29900,3.489039182662964
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,incorrect,33533,32500,32900,5.014863729476927
073_UCR_Anomaly_DISTORTEDpark3m,correct,12408,12050,12595,3.1113047599792476
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,25475,8300,8900,4.419212818145753
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,1349,9300,9900,2.9405913352966313
076_UCR_Anomaly_DISTORTEDresperation10,incorrect,86562,82600,83980,25.337036609649658
077_UCR_Anomaly_DISTORTEDresperation11,incorrect,76582,52700,52901,24.477343559265133
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34576,10160,10512,12.827324628829958
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,16983,138150,138350,37.45921611785888
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,21582,138150,138351,39.21240472793579
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,1988,113150,113351,25.38785648345947
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,64834,58330,58531,21.456053018569943
083_UCR_Anomaly_DISTORTEDresperation9,incorrect,8979,105311,105611,26.59332537651062
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23800,23674,23974,3.159633398056031
085_UCR_Anomaly_DISTORTEDs20101m,correct,25776,25674,25974,3.478445529937744
086_UCR_Anomaly_DISTORTEDsddb49,correct,48037,47850,48300,7.655779600143433
087_UCR_Anomaly_DISTORTEDsel840mECG1,incorrect,30129,34270,34840,4.754220247268677
088_UCR_Anomaly_DISTORTEDsel840mECG2,incorrect,21723,29270,29840,4.072923421859741
089_UCR_Anomaly_DISTORTEDtiltAPB1,correct,14257,14183,14450,4.060986280441284
090_UCR_Anomaly_DISTORTEDtiltAPB2,incorrect,47491,74059,75085,10.288494825363157
091_UCR_Anomaly_DISTORTEDtiltAPB3,incorrect,57125,73900,74470,13.440654516220095
092_UCR_Anomaly_DISTORTEDtiltAPB4,incorrect,77476,47895,48096,17.896070718765255
093_UCR_Anomaly_NOISE1sddb40,incorrect,31849,16900,17720,5.947556018829345
094_UCR_Anomaly_NOISEBIDMC1,correct,3054,2800,3200,0.8996627330780028
095_UCR_Anomaly_NOISECIMIS44AirTemperature4,incorrect,2054,1449,1697,0.4203422069549561
096_UCR_Anomaly_NOISEECG4,correct,11977,11800,12200,2.6570320129394536
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3,correct,937,848,1093,1.0242452621459959
098_UCR_Anomaly_NOISEInternalBleeding16,incorrect,6250,2887,3099,0.5614523887634277
099_UCR_Anomaly_NOISEInternalBleeding6,correct,2077,1874,2229,0.9204638004302979
100_UCR_Anomaly_NOISELab2Cmac011215EPG1,correct,12188,12110,12360,2.8982751369476323
101_UCR_Anomaly_NOISELab2Cmac011215EPG4,incorrect,23932,11290,11620,2.839897394180298
102_UCR_Anomaly_NOISEMesoplodonDensirostris,correct,9337,9180,9540,2.0234854221343994
103_UCR_Anomaly_NOISETkeepThirdMARS,correct,1256,1111,1409,1.0297667980194092
104_UCR_Anomaly_NOISEapneaecg4,incorrect,25312,9900,10200,3.5869619846344003
105_UCR_Anomaly_NOISEgait3,incorrect,32535,35300,36100,4.570230484008789
106_UCR_Anomaly_NOISEgaitHunt2,incorrect,4571,12600,13450,5.697873115539551
107_UCR_Anomaly_NOISEinsectEPG3,incorrect,3576,1700,1950,0.6391785144805909
108_UCR_Anomaly_NOISEresperation2,incorrect,104572,138150,138350,29.45265650749206
109_UCR_Anomaly_1sddb40,incorrect,31847,16900,17720,5.170530080795286
110_UCR_Anomaly_2sddb40,incorrect,32061,21500,22000,5.7027032375335684
111_UCR_Anomaly_3sddb40,incorrect,32056,11500,12000,7.383622407913207
112_UCR_Anomaly_BIDMC1,correct,3057,2800,3200,0.8172023296356201
113_UCR_Anomaly_CIMIS44AirTemperature1,incorrect,2051,1291,1492,0.5040371417999268
114_UCR_Anomaly_CIMIS44AirTemperature2,correct,1666,1603,1827,0.5007450580596924
115_UCR_Anomaly_CIMIS44AirTemperature3,correct,2485,2420,2644,0.46745920181274425
116_UCR_Anomaly_CIMIS44AirTemperature4,incorrect,2054,1449,1697,0.4893238544464113
117_UCR_Anomaly_CIMIS44AirTemperature5,correct,838,752,1000,0.49838590621948253
118_UCR_Anomaly_CIMIS44AirTemperature6,correct,2030,1906,2154,0.53383469581604
119_UCR_Anomaly_ECG1,correct,1882,1700,2200,2.145287275314331
120_UCR_Anomaly_ECG2,incorrect,7784,900,1200,1.8940913677215576
121_UCR_Anomaly_ECG3,incorrect,13267,900,1200,1.7250237464904785
122_UCR_Anomaly_ECG3,correct,8978,8900,9200,2.722325086593628
123_UCR_Anomaly_ECG4,correct,12049,11700,12200,33.77657747268675
124_UCR_Anomaly_ECG4,correct,11979,11800,12200,2.6048769950866704
125_UCR_Anomaly_ECG4,correct,12013,11900,12200,3.1494321823120126
126_UCR_Anomaly_ECG4,correct,8992,8900,9200,2.3040401935577393
127_UCR_Anomaly_GP711MarkerLFM5z1,correct,1135,1068,1312,0.7495338916778563
128_UCR_Anomaly_GP711MarkerLFM5z2,correct,2318,2075,2488,0.8415291309356691
129_UCR_Anomaly_GP711MarkerLFM5z3,correct,933,848,1093,0.8890233039855957
130_UCR_Anomaly_GP711MarkerLFM5z4,correct,2570,2427,2745,0.9351460933685304
131_UCR_Anomaly_GP711MarkerLFM5z5,correct,3667,3512,3816,0.874218225479126
132_UCR_Anomaly_InternalBleeding10,correct,1293,1226,1456,0.5043532848358154
133_UCR_Anomaly_InternalBleeding14,correct,2781,2707,2934,0.6052496433258057
134_UCR_Anomaly_InternalBleeding15,correct,3994,3884,4254,0.6739916801452637
135_UCR_Anomaly_InternalBleeding16,incorrect,6250,2887,3099,0.6722731590270996
136_UCR_Anomaly_InternalBleeding17,correct,1622,1498,1809,0.599925994873047
137_UCR_Anomaly_InternalBleeding18,correct,2179,2085,2387,0.5998897552490233
138_UCR_Anomaly_InternalBleeding19,correct,1144,1087,1297,0.5066599845886229
139_UCR_Anomaly_InternalBleeding20,correct,3127,2959,3319,0.4775946140289307
140_UCR_Anomaly_InternalBleeding4,correct,3794,3575,4133,0.7273564338684082
141_UCR_Anomaly_InternalBleeding5,correct,2180,2100,2470,0.4345705509185792
142_UCR_Anomaly_InternalBleeding6,correct,2047,1874,2229,0.8218774795532228
143_UCR_Anomaly_InternalBleeding8,incorrect,0,3265,3574,0.4951291084289551
144_UCR_Anomaly_InternalBleeding9,incorrect,43,2299,2581,0.4192488193511963
145_UCR_Anomaly_Lab2Cmac011215EPG1,correct,12191,12110,12360,2.687731742858887
146_UCR_Anomaly_Lab2Cmac011215EPG2,incorrect,24818,22762,23032,2.732179164886475
147_UCR_Anomaly_Lab2Cmac011215EPG3,incorrect,24840,11290,11520,2.8792493343353267
148_UCR_Anomaly_Lab2Cmac011215EPG4,incorrect,23963,11290,11620,2.8304860591888423
149_UCR_Anomaly_Lab2Cmac011215EPG5,correct,10385,10290,10620,2.4225654602050786
150_UCR_Anomaly_Lab2Cmac011215EPG6,incorrect,22723,5090,5520,2.5743649005889893
151_UCR_Anomaly_MesoplodonDensirostris,correct,9337,9180,9540,1.9210293292999268
152_UCR_Anomaly_PowerDemand1,incorrect,17576,9385,9921,2.0835456848144536
153_UCR_Anomaly_PowerDemand2,incorrect,12583,9257,9817,1.7915306091308594
154_UCR_Anomaly_PowerDemand3,incorrect,10583,7305,7577,1.3684511184692383
155_UCR_Anomaly_PowerDemand4,incorrect,8565,5905,6177,1.0398211479187012
156_UCR_Anomaly_TkeepFifthMARS,correct,2562,2388,2685,0.9379768371582031
157_UCR_Anomaly_TkeepFirstMARS,correct,1851,1765,1980,1.0541958808898921
158_UCR_Anomaly_TkeepForthMARS,correct,2519,2388,2685,0.7748301029205322
159_UCR_Anomaly_TkeepSecondMARS,correct,5789,5730,5940,0.7474279403686525
160_UCR_Anomaly_TkeepThirdMARS,correct,1256,1111,1409,0.7525222301483157
161_UCR_Anomaly_WalkingAceleration1,incorrect,4247,1164,1595,0.6028678417205813
162_UCR_Anomaly_WalkingAceleration5,correct,3207,3120,3379,0.5312542915344238
163_UCR_Anomaly_apneaecg2,correct,11004,10850,11200,3.282706499099732
164_UCR_Anomaly_apneaecg3,incorrect,29100,6011,6311,3.896013736724853
165_UCR_Anomaly_apneaecg4,incorrect,0,9900,10200,3.480220556259155
166_UCR_Anomaly_apneaecg,incorrect,21539,2140,2408,3.544490337371826
167_UCR_Anomaly_gait1,correct,18684,18400,18900,5.081459760665894
168_UCR_Anomaly_gait2,correct,24648,24400,24900,5.6135969161987305
169_UCR_Anomaly_gait3,incorrect,26720,35300,36100,5.368840217590329
170_UCR_Anomaly_gaitHunt1,incorrect,4573,14470,14780,5.637818098068237
171_UCR_Anomaly_gaitHunt2,incorrect,4573,12600,13450,6.228298902511595
172_UCR_Anomaly_gaitHunt3,correct,15015,14900,15900,5.942872285842897
173_UCR_Anomaly_insectEPG1,incorrect,3286,3900,4130,0.9152474403381348
174_UCR_Anomaly_insectEPG2,correct,4267,4200,4425,0.743828058242798
175_UCR_Anomaly_insectEPG3,incorrect,3576,1700,1950,0.5319092273712158
176_UCR_Anomaly_insectEPG4,correct,5205,5108,5358,0.8592717647552491
177_UCR_Anomaly_insectEPG5,correct,5272,5200,5401,0.6857995986938477
178_UCR_Anomaly_ltstdbs30791AI,correct,35050,34945,35345,4.275406599044801
179_UCR_Anomaly_ltstdbs30791AS,correct,29635,29500,29900,4.176694631576538
180_UCR_Anomaly_ltstdbs30791ES,incorrect,33532,32500,32900,4.205942869186402
181_UCR_Anomaly_park3m,incorrect,17267,12050,12595,3.5788764953613277
182_UCR_Anomaly_qtdbSel1005V,incorrect,25474,8300,8900,3.6361029148101816
183_UCR_Anomaly_qtdbSel100MLII,incorrect,1349,9300,9900,3.0158708095550537
184_UCR_Anomaly_resperation10,incorrect,86566,82600,83980,32.059336423873894
185_UCR_Anomaly_resperation11,incorrect,76582,52700,52901,22.259211301803585
186_UCR_Anomaly_resperation1,incorrect,34585,10160,10512,14.13804721832275
187_UCR_Anomaly_resperation2,incorrect,104576,138150,138350,29.01855707168579
188_UCR_Anomaly_resperation2,incorrect,16990,138150,138351,24.608967542648305
189_UCR_Anomaly_resperation3,incorrect,1989,113150,113351,21.969364881515503
190_UCR_Anomaly_resperation4,incorrect,64820,58330,58531,19.490689516067498
191_UCR_Anomaly_resperation9,incorrect,8991,105311,105611,33.245765209198
192_UCR_Anomaly_s20101mML2,correct,23801,23674,23974,2.833800315856934
193_UCR_Anomaly_s20101m,correct,25770,25674,25974,3.4609446525573726
194_UCR_Anomaly_sddb49,correct,48048,47850,48300,6.6133079528808585
195_UCR_Anomaly_sel840mECG1,incorrect,30128,34270,34840,4.750992536544799
196_UCR_Anomaly_sel840mECG2,incorrect,21767,29270,29840,4.413074493408202
197_UCR_Anomaly_tiltAPB1,correct,14260,14183,14450,4.618056774139404
