algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_km_hard_voting_gaussian_True_spread_window_100,2033.7532181739807,0.452,113,137,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31849,16900,17720,6.758172750473022
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32054,21500,22000,6.954892158508301
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32141,11500,12000,6.141423463821411
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3041,2800,3200,0.998769760131836
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2124,1291,1492,0.5526707172393799
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1762,1603,1827,0.5368239879608155
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2578,2420,2644,0.5693168640136719
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,742,1449,1697,0.43943786621093756
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,827,752,1000,0.4413912296295167
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2098,1906,2154,0.4238505363464356
011_UCR_Anomaly_DISTORTEDECG1,correct,1880,1700,2200,2.3991093635559073
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10793,900,1200,1.7671785354614258
013_UCR_Anomaly_DISTORTEDECG3,correct,979,900,1200,1.9551405906677248
014_UCR_Anomaly_DISTORTEDECG3,correct,9071,8900,9200,2.9032652378082275
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,32.81764268875122
016_UCR_Anomaly_DISTORTEDECG4,correct,11979,11800,12200,2.874386072158814
017_UCR_Anomaly_DISTORTEDECG4,correct,12075,11900,12200,2.7571942806243905
018_UCR_Anomaly_DISTORTEDECG4,correct,8980,8900,9200,2.7608771324157715
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1138,1068,1312,0.8040108680725097
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2395,2075,2488,0.7956573963165284
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,927,848,1093,0.7856969833374022
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2636,2427,2745,0.7524642944335938
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3673,3512,3816,0.6687891483306887
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.48539805412292486
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2853,2707,2934,0.4170238971710205
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4080,3884,4254,0.6610107421875001
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,610,2887,3099,0.6871557235717773
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1606,1498,1809,0.6870129108428954
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5149,2085,2387,0.5618996620178223
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1239,1087,1297,0.40925264358520513
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,4749,2959,3319,0.6106011867523194
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3805,3575,4133,0.8766791820526121
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2182,2100,2470,0.46152400970458984
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2030,1874,2229,0.8628845214843751
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4197,3265,3574,0.8211419582366947
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1688,2299,2581,0.32789540290832525
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12277,12110,12360,2.9807541370391855
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24771,22762,23032,2.699089765548706
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,24869,11290,11520,3.1557645797729483
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23967,11290,11620,2.4762091636657715
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10384,10290,10620,2.5075085163116446
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22682,5090,5520,3.159511089324951
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9357,9180,9540,1.7644262313842771
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9452,9385,9921,1.8940982818603516
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12356,9257,9817,1.750854969024658
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10355,7305,7577,1.8656382560729978
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,5990,5905,6177,1.1332716941833492
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2616,2388,2685,1.019538164138794
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,878,1765,1980,0.7787137031555176
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1789,2388,2685,0.7624094486236573
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5884,5730,5940,0.9211878776550293
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1261,1111,1409,0.9404242038726809
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4344,1164,1595,0.5823163986206056
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3269,3120,3379,0.4660136699676513
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,10998,10850,11200,3.6741149425506587
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,28033,6011,6311,4.370132446289061
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,26921,9900,10200,4.087393045425416
058_UCR_Anomaly_DISTORTEDapneaecg,incorrect,23159,2140,2408,3.328988075256348
059_UCR_Anomaly_DISTORTEDgait1,correct,18689,18400,18900,5.579402685165405
060_UCR_Anomaly_DISTORTEDgait2,correct,24747,24400,24900,5.434425592422486
061_UCR_Anomaly_DISTORTEDgait3,incorrect,32631,35300,36100,4.814248085021973
