algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_km_maximum_score,2032.3810377120972,0.388,97,153,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31899,16900,17720,6.756772518157958
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32094,21500,22000,6.9547553062438965
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34754,11500,12000,6.140252590179443
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3019,2800,3200,0.9985456466674806
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,4183,1291,1492,0.5528545379638672
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,2086,1603,1827,0.5369379520416261
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,4176,2420,2644,0.5694103240966797
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,0,1449,1697,0.4401793479919434
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,873,752,1000,0.44151830673217785
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2048,1906,2154,0.4239702224731446
011_UCR_Anomaly_DISTORTEDECG1,correct,1922,1700,2200,2.3991000652313224
012_UCR_Anomaly_DISTORTEDECG2,correct,1058,900,1200,1.766869306564331
013_UCR_Anomaly_DISTORTEDECG3,correct,1029,900,1200,1.9548749923706057
014_UCR_Anomaly_DISTORTEDECG3,correct,9024,8900,9200,2.9042294025421143
015_UCR_Anomaly_DISTORTEDECG4,correct,11926,11700,12200,32.79150414466858
016_UCR_Anomaly_DISTORTEDECG4,correct,12026,11800,12200,2.874557971954346
017_UCR_Anomaly_DISTORTEDECG4,correct,12026,11900,12200,2.7565369606018075
018_UCR_Anomaly_DISTORTEDECG4,incorrect,5560,8900,9200,2.760329246520996
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1187,1068,1312,0.8038887977600097
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,1998,2075,2488,0.7954959869384767
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,962,848,1093,0.7855973243713378
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,incorrect,6770,2427,2745,0.7530219554901123
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3702,3512,3816,0.6686940193176272
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,0,1226,1456,0.48543000221252447
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2762,2707,2934,0.4170265197753906
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4016,3884,4254,0.6613693237304689
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,577,2887,3099,0.6870770454406738
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1635,1498,1809,0.6869068145751952
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,3,2085,2387,0.562345027923584
030_UCR_Anomaly_DISTORTEDInternalBleeding19,incorrect,3,1087,1297,0.4094154834747315
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3087,2959,3319,0.6106271743774415
032_UCR_Anomaly_DISTORTEDInternalBleeding4,incorrect,2820,3575,4133,0.8765091896057127
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2213,2100,2470,0.46234130859375
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2136,1874,2229,0.8627629280090333
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,0,3265,3574,0.8211348056793216
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1255,2299,2581,0.3280210494995118
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12227,12110,12360,2.981014013290406
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24864,22762,23032,2.6984903812408447
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11401,11290,11520,3.155109167098998
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,24014,11290,11620,2.4765522480010986
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,incorrect,21164,10290,10620,2.508007287979125
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,99,5090,5520,3.159179449081421
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9316,9180,9540,1.7642221450805662
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9487,9385,9921,1.89406156539917
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,3049,9257,9817,1.7505373954772947
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10346,7305,7577,1.8659934997558592
047_UCR_Anomaly_DISTORTEDPowerDemand4,incorrect,7822,5905,6177,1.1332340240478511
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,incorrect,2095,2388,2685,1.0193417072296143
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,924,1765,1980,0.7784748077392578
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1855,2388,2685,0.7621657848358155
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5835,5730,5940,0.9209737777709961
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1309,1111,1409,0.9402372837066653
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4297,1164,1595,0.5823826789855958
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3221,3120,3379,0.4662220478057861
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11031,10850,11200,3.6735723018646236
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,4,6011,6311,4.3691108226776105
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,26871,9900,10200,4.086638689041139
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2269,2140,2408,3.3283574581146245
059_UCR_Anomaly_DISTORTEDgait1,correct,18737,18400,18900,5.578174829483032
060_UCR_Anomaly_DISTORTEDgait2,correct,24700,24400,24900,5.433092117309571
061_UCR_Anomaly_DISTORTEDgait3,incorrect,28233,35300,36100,4.813129901885986
062_UCR_Anomaly_DISTORTEDgaitHunt1,incorrect,35,14470,14780,5.204983949661257
063_UCR_Anomaly_DISTORTEDgaitHunt2,incorrect,0,12600,13450,6.08410120010376
064_UCR_Anomaly_DISTORTEDgaitHunt3,incorrect,11764,14900,15900,5.811812639236449
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,2506,3900,4130,0.7784845829010011
066_UCR_Anomaly_DISTORTEDinsectEPG2,correct,4306,4200,4425,0.8635985851287843
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1130,1700,1950,0.4412453174591065
068_UCR_Anomaly_DISTORTEDinsectEPG4,incorrect,4205,5108,5358,0.9398369789123535
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5310,5200,5401,0.7821528911590576
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35084,34945,35345,4.384597063064578
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29640,29500,29900,3.4894063472747803
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,incorrect,8917,32500,32900,5.015161037445067
073_UCR_Anomaly_DISTORTEDpark3m,correct,12429,12050,12595,3.111653327941894
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,25524,8300,8900,4.419637441635133
