algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_km_simple_average,2032.08895611763,0.436,109,141,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31887,16900,17720,6.756371021270751
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32092,21500,22000,6.952872276306152
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32093,11500,12000,6.139437913894653
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3085,2800,3200,0.9983127117156984
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2079,1291,1492,0.5526576042175293
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1714,1603,1827,0.5368151664733888
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2528,2420,2644,0.5699295997619629
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,790,1449,1697,0.4394874572753907
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,871,752,1000,0.4413859844207765
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2053,1906,2154,0.42451524734497076
011_UCR_Anomaly_DISTORTEDECG1,correct,1921,1700,2200,2.398246765136718
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7832,900,1200,1.7665367126464844
013_UCR_Anomaly_DISTORTEDECG3,correct,1025,900,1200,1.9545555114746096
014_UCR_Anomaly_DISTORTEDECG3,correct,9025,8900,9200,2.902364730834961
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,32.79068899154663
016_UCR_Anomaly_DISTORTEDECG4,correct,12026,11800,12200,2.874287843704224
017_UCR_Anomaly_DISTORTEDECG4,correct,12027,11900,12200,2.756157398223878
018_UCR_Anomaly_DISTORTEDECG4,incorrect,5562,8900,9200,2.759920120239258
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,5965,1068,1312,0.8042578697204589
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2369,2075,2488,0.7953786849975587
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,967,848,1093,0.785386562347412
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2559,2427,2745,0.7520937919616699
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3709,3512,3816,0.6690647602081301
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,0,1226,1456,0.4853587150573731
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2807,2707,2934,0.41693544387817383
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4014,3884,4254,0.6610994338989259
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2990,2887,3099,0.6869244575500488
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1650,1498,1809,0.6868472099304198
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,3002,2085,2387,0.5466372966766359
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1188,1087,1297,0.40969443321228033
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3164,2959,3319,0.610522747039795
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3758,3575,4133,0.8764135837554929
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2214,2100,2470,0.4615328311920166
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2081,1874,2229,0.8631227016448976
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4155,3265,3574,0.8211183547973636
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1653,2299,2581,0.32803249359130865
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12232,12110,12360,2.980130672454835
