algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_km_wv_ols_r2_emphasize_diversity_False,2124.5049629211426,0.384,96,154,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31899,16900,17720,7.032763242721557
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32103,21500,22000,7.228242635726929
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32101,11500,12000,6.414968729019165
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3017,2800,3200,1.0636417865753174
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2079,1291,1492,0.5919890403747559
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1714,1603,1827,0.5787239074707032
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2532,2420,2644,0.6407499313354492
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,0,1449,1697,0.47892880439758306
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,876,752,1000,0.4806470870971681
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2060,1906,2154,0.4671425819396973
011_UCR_Anomaly_DISTORTEDECG1,correct,1929,1700,2200,2.529615640640258
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10837,900,1200,1.8698735237121582
013_UCR_Anomaly_DISTORTEDECG3,correct,1028,900,1200,2.062946319580078
014_UCR_Anomaly_DISTORTEDECG3,correct,9027,8900,9200,3.043156862258911
015_UCR_Anomaly_DISTORTEDECG4,correct,12098,11700,12200,34.19015955924988
016_UCR_Anomaly_DISTORTEDECG4,correct,12026,11800,12200,3.031039714813233
017_UCR_Anomaly_DISTORTEDECG4,correct,12026,11900,12200,2.9149703979492196
018_UCR_Anomaly_DISTORTEDECG4,correct,9027,8900,9200,2.9012017250061035
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,5967,1068,1312,0.8607802391052245
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2345,2075,2488,0.8621740341186525
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,971,848,1093,0.842733860015869
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2594,2427,2745,0.8152432441711426
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3668,3512,3816,0.7259368896484377
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4300,1226,1456,0.5410177707672119
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2815,2707,2934,0.46160411834716797
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4130,3884,4254,0.7599549293518068
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,588,2887,3099,0.7400727272033691
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1648,1498,1809,0.7378673553466796
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,5186,2085,2387,0.6135609149932861
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1190,1087,1297,0.4527204036712647
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,4799,2959,3319,0.6549143791198732
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3774,3575,4133,0.9297368526458738
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2230,2100,2470,0.4993610382080078
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2174,1874,2229,0.9153752326965333
035_UCR_Anomaly_DISTORTEDInternalBleeding8,correct,3321,3265,3574,0.8672089576721195
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1645,2299,2581,0.3639750480651856
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12227,12110,12360,3.139730453491212
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24863,22762,23032,2.856119394302368
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11400,11290,11520,3.312515974044799
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,24014,11290,11620,2.628537654876709
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,incorrect,22740,10290,10620,2.652352809906005
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22839,5090,5520,3.308593988418579
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9327,9180,9540,1.8962035179138181
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,17338,9385,9921,2.027606725692749
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,3564,9257,9817,1.8583652973175047
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10609,7305,7577,1.9713571071624754
047_UCR_Anomaly_DISTORTEDPowerDemand4,incorrect,2440,5905,6177,1.2189290523529048
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,incorrect,2095,2388,2685,1.0806841850280762
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,924,1765,1980,0.8407375812530518
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1855,2388,2685,0.8234238624572755
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5834,5730,5940,0.9870913028717041
