algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_km_wv_ols,2130.4868729114532,0.404,101,149,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31891,16900,17720,7.014362573623656
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32097,21500,22000,7.236495494842529
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32093,11500,12000,6.399901866912842
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3019,2800,3200,1.0560615062713623
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2076,1291,1492,0.5861670970916748
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1716,1603,1827,0.5777854919433595
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2538,2420,2644,0.6045584678649902
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,4183,1449,1697,0.47305512428283697
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,874,752,1000,0.47513270378112804
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2051,1906,2154,0.45742535591125494
011_UCR_Anomaly_DISTORTEDECG1,correct,1929,1700,2200,2.5158131122589102
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10832,900,1200,1.8633177280426025
013_UCR_Anomaly_DISTORTEDECG3,incorrect,13300,900,1200,2.056027889251709
014_UCR_Anomaly_DISTORTEDECG3,correct,9027,8900,9200,3.0326061248779297
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,34.1123149394989
016_UCR_Anomaly_DISTORTEDECG4,correct,12026,11800,12200,3.0196297168731694
017_UCR_Anomaly_DISTORTEDECG4,correct,12027,11900,12200,2.911936283111573
018_UCR_Anomaly_DISTORTEDECG4,incorrect,5553,8900,9200,2.8888614177703857
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1188,1068,1312,0.8530797958374022
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2257,2075,2488,0.844838857650757
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,969,848,1093,0.8360815048217772
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2586,2427,2745,0.8086614608764648
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3668,3512,3816,0.7181420326232912
