algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_lof_hard_voting_gaussian_False_spread_window_100,3891.8790938854218,0.616,154,96,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31351,16900,17720,2.7627820968627934
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,31560,21500,22000,2.8597066402435303
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32101,11500,12000,2.8798813819885245
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3053,2800,3200,0.13876557350158691
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2041,1291,1492,0.04719066619873048
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1665,1603,1827,0.04727554321289063
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2536,2420,2644,0.05445456504821778
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,742,1449,1697,0.045686006546020515
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,849,752,1000,0.04818916320800781
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2003,1906,2154,0.04533171653747559
011_UCR_Anomaly_DISTORTEDECG1,correct,1886,1700,2200,0.6172583103179932
012_UCR_Anomaly_DISTORTEDECG2,correct,1010,900,1200,0.35781860351562506
013_UCR_Anomaly_DISTORTEDECG3,correct,974,900,1200,0.3546566963195801
014_UCR_Anomaly_DISTORTEDECG3,correct,8975,8900,9200,0.7386732101440431
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,51.189827203750625
016_UCR_Anomaly_DISTORTEDECG4,correct,11978,11800,12200,0.9228959083557128
017_UCR_Anomaly_DISTORTEDECG4,correct,11978,11900,12200,0.9238922595977784
018_UCR_Anomaly_DISTORTEDECG4,correct,9032,8900,9200,0.7431375980377197
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1137,1068,1312,0.0976912975311279
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2315,2075,2488,0.1020975112915039
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,940,848,1093,0.10579061508178712
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2585,2427,2745,0.12452793121337893
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3665,3512,3816,0.10059309005737305
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4250,1226,1456,0.05062747001647949
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2765,2707,2934,0.05359959602355956
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4039,3884,4254,0.07610869407653809
