algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_lof_hard_voting_gaussian_True_spread_window_100,3892.781603574753,0.612,153,97,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31937,16900,17720,2.7637686729431157
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,31655,21500,22000,2.861538887023926
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32140,11500,12000,2.8817188739776602
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3042,2800,3200,0.13916277885437012
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2028,1291,1492,0.04747581481933595
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1665,1603,1827,0.04755187034606934
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2483,2420,2644,0.05476689338684083
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1514,1449,1697,0.045989751815795905
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,826,752,1000,0.04848217964172363
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2004,1906,2154,0.045687437057495124
011_UCR_Anomaly_DISTORTEDECG1,correct,1964,1700,2200,0.6179604530334473
012_UCR_Anomaly_DISTORTEDECG2,correct,1107,900,1200,0.35827565193176275
013_UCR_Anomaly_DISTORTEDECG3,correct,974,900,1200,0.35525941848754883
014_UCR_Anomaly_DISTORTEDECG3,correct,9071,8900,9200,0.7394297122955323
015_UCR_Anomaly_DISTORTEDECG4,correct,12050,11700,12200,51.2025399208069
016_UCR_Anomaly_DISTORTEDECG4,correct,12074,11800,12200,0.9237701892852782
017_UCR_Anomaly_DISTORTEDECG4,correct,11978,11900,12200,0.9249706268310548
018_UCR_Anomaly_DISTORTEDECG4,correct,9068,8900,9200,0.7441120147705078
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1137,1068,1312,0.0980727672576904
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2306,2075,2488,0.10258769989013672
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,1017,848,1093,0.1062748432159424
