algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_lof_maximum_score,3893.503779888153,0.512,128,122,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31400,16900,17720,2.762436151504517
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,31605,21500,22000,2.8602285385131836
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32521,11500,12000,2.880431652069091
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3170,2800,3200,0.13901448249816895
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2067,1291,1492,0.04747748374938966
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1715,1603,1827,0.04755616188049317
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2533,2420,2644,0.054795503616333015
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,698,1449,1697,0.04602837562561036
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,875,752,1000,0.04853343963623047
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2048,1906,2154,0.0457749366760254
011_UCR_Anomaly_DISTORTEDECG1,correct,1914,1700,2200,0.6175987720489502
012_UCR_Anomaly_DISTORTEDECG2,correct,1057,900,1200,0.3579449653625489
013_UCR_Anomaly_DISTORTEDECG3,incorrect,13329,900,1200,0.3548102378845215
014_UCR_Anomaly_DISTORTEDECG3,correct,9021,8900,9200,0.7388746738433839
015_UCR_Anomaly_DISTORTEDECG4,correct,12100,11700,12200,51.175078153610244
016_UCR_Anomaly_DISTORTEDECG4,correct,12024,11800,12200,0.9231352806091307
017_UCR_Anomaly_DISTORTEDECG4,correct,12026,11900,12200,0.924325466156006
018_UCR_Anomaly_DISTORTEDECG4,correct,9019,8900,9200,0.7435588836669922
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,5969,1068,1312,0.09792637825012204
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2365,2075,2488,0.10236668586730957
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,967,848,1093,0.10607171058654787
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2589,2427,2745,0.1247513294219971
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3626,3512,3816,0.1008596420288086
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,0,1226,1456,0.05096578598022461
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2814,2707,2934,0.05398392677307128
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4006,3884,4254,0.07640480995178223
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2998,2887,3099,0.07924747467041016
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1651,1498,1809,0.0768404006958008
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,0,2085,2387,0.060167312622070306
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1191,1087,1297,0.050444126129150405
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3095,2959,3319,0.07190656661987306
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3761,3575,4133,0.07807278633117674
033_UCR_Anomaly_DISTORTEDInternalBleeding5,incorrect,1254,2100,2470,0.03293609619140624
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2205,1874,2229,0.07959890365600587
035_UCR_Anomaly_DISTORTEDInternalBleeding8,correct,3339,3265,3574,0.05664420127868654
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1095,2299,2581,0.03291130065917969
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12232,12110,12360,0.9321656227111818
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24857,22762,23032,0.9236268997192384
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,24949,11290,11520,0.9299097061157225
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23938,11290,11620,0.853445053100586
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10403,10290,10620,0.7678067684173584
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22711,5090,5520,0.7729618549346923
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,correct,9305,9180,9540,0.3482568264007568
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,8545,9385,9921,0.6715950965881349
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12306,9257,9817,0.41415739059448253
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10472,7305,7577,0.3115518093109131
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6040,5905,6177,0.2525279521942139
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,incorrect,1782,2388,2685,0.10901808738708499
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,926,1765,1980,0.12949490547180173
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1978,2388,2685,0.11452984809875487
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5835,5730,5940,0.12228941917419438
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1297,1111,1409,0.11826229095458983
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2102,1164,1595,0.05990362167358399
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,incorrect,3095,3120,3379,0.03900146484375
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11054,10850,11200,1.2145602703094482
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,1068,6011,6311,1.5848226547241213
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,0,9900,10200,1.5259037017822266
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2269,2140,2408,1.2116336822509768
059_UCR_Anomaly_DISTORTEDgait1,correct,18707,18400,18900,2.875973701477051
060_UCR_Anomaly_DISTORTEDgait2,correct,24706,24400,24900,2.604234457015991
061_UCR_Anomaly_DISTORTEDgait3,incorrect,1664,35300,36100,2.325429916381836
062_UCR_Anomaly_DISTORTEDgaitHunt1,correct,14617,14470,14780,2.9025549888610835
063_UCR_Anomaly_DISTORTEDgaitHunt2,correct,13002,12600,13450,2.913838148117066
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15027,14900,15900,2.3192341327667236
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5823,3900,4130,0.09753584861755371
066_UCR_Anomaly_DISTORTEDinsectEPG2,correct,4312,4200,4425,0.08029174804687501
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1117,1700,1950,0.05343079566955567
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5244,5108,5358,0.13463759422302246
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5315,5200,5401,0.09883189201354982
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,incorrect,35933,34945,35345,2.0840296745300293
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29639,29500,29900,1.4560725688934326
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,incorrect,8915,32500,32900,1.773003101348877
073_UCR_Anomaly_DISTORTEDpark3m,correct,12412,12050,12595,1.3176014423370364
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,correct,8467,8300,8900,1.4665200710296629
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,2173,9300,9900,1.0187299251556396
076_UCR_Anomaly_DISTORTEDresperation10,incorrect,20554,82600,83980,29.097618579864502
077_UCR_Anomaly_DISTORTEDresperation11,correct,52799,52700,52901,25.272931814193715
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,94509,10160,10512,13.493151664733888
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,17023,138150,138350,38.81570363044739
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,23811,138150,138351,34.31636905670165
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,23567,113150,113351,28.382761955261234
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,48390,58330,58531,21.153092861175534
083_UCR_Anomaly_DISTORTEDresperation9,correct,105473,105311,105611,33.16963315010071
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23851,23674,23974,1.1352655887603762
085_UCR_Anomaly_DISTORTEDs20101m,correct,25816,25674,25974,1.3158526420593262
086_UCR_Anomaly_DISTORTEDsddb49,incorrect,59999,47850,48300,4.980802059173584
087_UCR_Anomaly_DISTORTEDsel840mECG1,correct,34495,34270,34840,2.618654251098633
088_UCR_Anomaly_DISTORTEDsel840mECG2,incorrect,21919,29270,29840,1.933239221572876
089_UCR_Anomaly_DISTORTEDtiltAPB1,correct,14306,14183,14450,1.3167431354522705
090_UCR_Anomaly_DISTORTEDtiltAPB2,correct,74974,74059,75085,8.471431732177736
091_UCR_Anomaly_DISTORTEDtiltAPB3,incorrect,18396,73900,74470,10.833490371704102
092_UCR_Anomaly_DISTORTEDtiltAPB4,correct,47994,47895,48096,15.859034538269043
093_UCR_Anomaly_NOISE1sddb40,incorrect,31400,16900,17720,2.793233394622803
094_UCR_Anomaly_NOISEBIDMC1,correct,3091,2800,3200,0.13556718826293948
095_UCR_Anomaly_NOISECIMIS44AirTemperature4,correct,1564,1449,1697,0.06702995300292966
096_UCR_Anomaly_NOISEECG4,correct,12026,11800,12200,0.9297039508819579
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3,correct,970,848,1093,0.09785985946655273
098_UCR_Anomaly_NOISEInternalBleeding16,correct,2973,2887,3099,0.07750034332275392
099_UCR_Anomaly_NOISEInternalBleeding6,correct,2212,1874,2229,0.076777458190918
100_UCR_Anomaly_NOISELab2Cmac011215EPG1,correct,12230,12110,12360,0.9232451915740968
101_UCR_Anomaly_NOISELab2Cmac011215EPG4,incorrect,23974,11290,11620,0.8479070663452147
102_UCR_Anomaly_NOISEMesoplodonDensirostris,correct,9311,9180,9540,0.3503010272979737
103_UCR_Anomaly_NOISETkeepThirdMARS,correct,1215,1111,1409,0.12327766418457033
104_UCR_Anomaly_NOISEapneaecg4,incorrect,13,9900,10200,1.5242679119110107
105_UCR_Anomaly_NOISEgait3,incorrect,28104,35300,36100,2.3198509216308585
106_UCR_Anomaly_NOISEgaitHunt2,correct,12976,12600,13450,2.914803028106689
107_UCR_Anomaly_NOISEinsectEPG3,incorrect,1132,1700,1950,0.052265644073486335
108_UCR_Anomaly_NOISEresperation2,incorrect,17029,138150,138350,38.80631399154664
109_UCR_Anomaly_1sddb40,incorrect,31245,16900,17720,2.7901232242584233
110_UCR_Anomaly_2sddb40,incorrect,31607,21500,22000,2.8870375156402583
111_UCR_Anomaly_3sddb40,incorrect,32098,11500,12000,2.888983249664307
112_UCR_Anomaly_BIDMC1,correct,3154,2800,3200,0.14157581329345706
113_UCR_Anomaly_CIMIS44AirTemperature1,incorrect,2083,1291,1492,0.04629302024841309
114_UCR_Anomaly_CIMIS44AirTemperature2,correct,1713,1603,1827,0.049358844757080085
115_UCR_Anomaly_CIMIS44AirTemperature3,correct,2531,2420,2644,0.050318002700805664
116_UCR_Anomaly_CIMIS44AirTemperature4,correct,1512,1449,1697,0.04876041412353516
117_UCR_Anomaly_CIMIS44AirTemperature5,correct,848,752,1000,0.04897046089172364
