algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_lof_simple_average,3889.7796635627747,0.62,155,95,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31400,16900,17720,2.776844739913941
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,31606,21500,22000,2.8598403930664062
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,31605,11500,12000,2.880706787109374
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3089,2800,3200,0.13892149925231934
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2076,1291,1492,0.047410726547241225
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1715,1603,1827,0.047985315322875984
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2525,2420,2644,0.054926872253417976
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1561,1449,1697,0.04567790031433105
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,852,752,1000,0.04919171333312988
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2053,1906,2154,0.04566645622253419
011_UCR_Anomaly_DISTORTEDECG1,correct,1923,1700,2200,0.6174278259277344
012_UCR_Anomaly_DISTORTEDECG2,correct,1059,900,1200,0.3583884239196778
013_UCR_Anomaly_DISTORTEDECG3,correct,1023,900,1200,0.3541176319122314
014_UCR_Anomaly_DISTORTEDECG3,correct,9021,8900,9200,0.7385778427124025
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,51.17438411712648
016_UCR_Anomaly_DISTORTEDECG4,correct,12026,11800,12200,0.9236016273498534
017_UCR_Anomaly_DISTORTEDECG4,correct,12026,11900,12200,0.9239125251770021
018_UCR_Anomaly_DISTORTEDECG4,correct,9019,8900,9200,0.7432162761688232
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,5979,1068,1312,0.0983932018280029
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2375,2075,2488,0.10230135917663574
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,979,848,1093,0.10600733757019044
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2633,2427,2745,0.12419223785400393
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3715,3512,3816,0.10078144073486328
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1359,1226,1456,0.05095386505126953
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2807,2707,2934,0.054013252258300774
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4010,3884,4254,0.07670879364013672
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2998,2887,3099,0.07913494110107422
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1685,1498,1809,0.07685327529907228
029_UCR_Anomaly_DISTORTEDInternalBleeding18,correct,2272,2085,2387,0.06097817420959472
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1191,1087,1297,0.0506415367126465
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3167,2959,3319,0.07189011573791505
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3844,3575,4133,0.0779745578765869
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2222,2100,2470,0.03332805633544922
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,1997,1874,2229,0.07959461212158205
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4154,3265,3574,0.056595087051391615
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1653,2299,2581,0.031577348709106445
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12232,12110,12360,0.9322402477264405
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24803,22762,23032,0.9233822822570802
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11401,11290,11520,0.9295616149902343
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23918,11290,11620,0.8537092208862306
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,correct,10397,10290,10620,0.7674846649169922
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22757,5090,5520,0.7730636596679686
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,4845,9180,9540,0.34778475761413574
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,8545,9385,9921,0.6712660789489747
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12306,9257,9817,0.4147663116455079
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10306,7305,7577,0.3114933967590332
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6039,5905,6177,0.25236392021179205
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2596,2388,2685,0.1095232963562012
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,919,1765,1980,0.12949848175048825
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,5312,2388,2685,0.11108970642089845
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5835,5730,5940,0.12215924263000492
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1305,1111,1409,0.11883425712585448
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2576,1164,1595,0.059846401214599616
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3220,3120,3379,0.03899264335632324
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11040,10850,11200,1.2036197185516357
056_UCR_Anomaly_DISTORTEDapneaecg3,correct,6180,6011,6311,1.584319353103638
