algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_lof_wv_ols_r2_emphasize_diversity_False,3991.5080230236053,0.604,151,99,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31400,16900,17720,3.0600826740264897
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,31610,21500,22000,3.1628165245056152
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34428,11500,12000,3.1589548587799063
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3016,2800,3200,0.2358713150024414
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2077,1291,1492,0.10035729408264162
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1715,1603,1827,0.08843135833740234
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2528,2420,2644,0.09575462341308594
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1559,1449,1697,0.08653616905212402
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,874,752,1000,0.09113240242004395
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2052,1906,2154,0.08651089668273926
011_UCR_Anomaly_DISTORTEDECG1,correct,1922,1700,2200,0.7458109855651855
012_UCR_Anomaly_DISTORTEDECG2,correct,1057,900,1200,0.4602305889129639
013_UCR_Anomaly_DISTORTEDECG3,correct,1024,900,1200,0.4563515186309814
014_UCR_Anomaly_DISTORTEDECG3,correct,9021,8900,9200,0.8839075565338136
015_UCR_Anomaly_DISTORTEDECG4,correct,12100,11700,12200,52.616893053054824
016_UCR_Anomaly_DISTORTEDECG4,correct,12024,11800,12200,1.087433099746704
017_UCR_Anomaly_DISTORTEDECG4,correct,12025,11900,12200,1.0835490226745605
018_UCR_Anomaly_DISTORTEDECG4,correct,9020,8900,9200,0.8847043514251709
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1186,1068,1312,0.1549415588378906
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2352,2075,2488,0.1597590446472168
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,970,848,1093,0.16974782943725586
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2603,2427,2745,0.18590354919433597
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3653,3512,3816,0.15783429145812988
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,2120,1226,1456,0.09250450134277344
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2814,2707,2934,0.09813094139099121
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4125,3884,4254,0.1336073875427246
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2997,2887,3099,0.13232016563415527
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1686,1498,1809,0.12753868103027344
029_UCR_Anomaly_DISTORTEDInternalBleeding18,correct,2272,2085,2387,0.10706949234008789
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1191,1087,1297,0.09376478195190431
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3162,2959,3319,0.1280207633972168
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3773,3575,4133,0.16628623008728027
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2232,2100,2470,0.06917190551757812
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2082,1874,2229,0.1320476531982422
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,4152,3265,3574,0.10244297981262208
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1643,2299,2581,0.07864522933959961
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12231,12110,12360,1.1909778118133545
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24857,22762,23032,1.1873500347137451
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11401,11290,11520,1.1131274700164795
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23973,11290,11620,1.0751676559448242
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,incorrect,22762,10290,10620,0.9499335289001465
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22762,5090,5520,1.0498993396759033
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,5719,9180,9540,0.5340311527252197
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,8561,9385,9921,0.8191468715667726
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,3524,9257,9817,0.6136786937713624
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10441,7305,7577,0.4374258518218994
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6052,5905,6177,0.33815336227417
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2574,2388,2685,0.17060947418212893
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,929,1765,1980,0.1914699077606201
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1804,2388,2685,0.17246413230895996
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5835,5730,5940,0.18414187431335455
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1300,1111,1409,0.17986607551574707
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4295,1164,1595,0.10672760009765625
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,incorrect,3097,3120,3379,0.07839584350585938
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11034,10850,11200,1.384307861328125
056_UCR_Anomaly_DISTORTEDapneaecg3,correct,6189,6011,6311,1.7956295013427737
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,9,9900,10200,1.7351129055023193
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2269,2140,2408,1.3911559581756594
059_UCR_Anomaly_DISTORTEDgait1,incorrect,29168,18400,18900,3.161043405532837
060_UCR_Anomaly_DISTORTEDgait2,correct,24705,24400,24900,2.872509241104126
061_UCR_Anomaly_DISTORTEDgait3,incorrect,32477,35300,36100,2.5950615406036377
062_UCR_Anomaly_DISTORTEDgaitHunt1,correct,14666,14470,14780,3.315890550613403
063_UCR_Anomaly_DISTORTEDgaitHunt2,correct,12977,12600,13450,3.1962869167327885
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15026,14900,15900,2.573869228363037
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5833,3900,4130,0.15418481826782227
066_UCR_Anomaly_DISTORTEDinsectEPG2,incorrect,5125,4200,4425,0.1335005760192871
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1117,1700,1950,0.13670063018798828
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5247,5108,5358,0.2097461223602295
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5315,5200,5401,0.15457391738891602
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35080,34945,35345,2.32391095161438
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29643,29500,29900,1.6545803546905518
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,correct,32646,32500,32900,1.9916861057281494
073_UCR_Anomaly_DISTORTEDpark3m,correct,12435,12050,12595,1.5044965744018557
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,29190,8300,8900,1.7093479633331297
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,21263,9300,9900,1.1814649105072021
076_UCR_Anomaly_DISTORTEDresperation10,correct,83090,82600,83980,30.221151113510132
077_UCR_Anomaly_DISTORTEDresperation11,correct,52799,52700,52901,26.114286422729492
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34553,10160,10512,14.192153215408327
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,17027,138150,138350,39.99844288825989
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,38571,138150,138351,35.47654628753662
