algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_lof_wv_ols,3987.1086955070496,0.62,155,95,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,32316,16900,17720,3.0278465747833256
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32522,21500,22000,3.1266374588012695
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34428,11500,12000,3.1471893787384024
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3092,2800,3200,0.19830799102783203
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2077,1291,1492,0.08277440071105958
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1714,1603,1827,0.08284902572631836
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2519,2420,2644,0.09003186225891113
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,correct,1561,1449,1697,0.08125972747802734
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,876,752,1000,0.08371543884277344
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2053,1906,2154,0.08078312873840332
011_UCR_Anomaly_DISTORTEDECG1,correct,1923,1700,2200,0.7379567623138428
012_UCR_Anomaly_DISTORTEDECG2,correct,1057,900,1200,0.4525392055511475
013_UCR_Anomaly_DISTORTEDECG3,correct,1024,900,1200,0.4493429660797119
014_UCR_Anomaly_DISTORTEDECG3,correct,9021,8900,9200,0.8702030181884767
015_UCR_Anomaly_DISTORTEDECG4,correct,12100,11700,12200,52.511548995971694
016_UCR_Anomaly_DISTORTEDECG4,correct,12025,11800,12200,1.0704231262207031
017_UCR_Anomaly_DISTORTEDECG4,correct,12026,11900,12200,1.0795326232910156
018_UCR_Anomaly_DISTORTEDECG4,correct,9026,8900,9200,0.8749775886535645
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1187,1068,1312,0.14907860755920407
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2354,2075,2488,0.15336322784423828
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,972,848,1093,0.15720224380493164
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2589,2427,2745,0.18141818046569827
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,incorrect,6999,3512,3816,0.15191173553466797
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,2565,1226,1456,0.08682727813720703
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2806,2707,2934,0.09192562103271484
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4010,3884,4254,0.1214599609375
027_UCR_Anomaly_DISTORTEDInternalBleeding16,correct,2997,2887,3099,0.1262967586517334
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1686,1498,1809,0.12175464630126955
029_UCR_Anomaly_DISTORTEDInternalBleeding18,correct,2272,2085,2387,0.10181832313537598
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1191,1087,1297,0.08754920959472658
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3162,2959,3319,0.0936434268951416
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3844,3575,4133,0.12522172927856445
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2233,2100,2470,0.06366658210754395
034_UCR_Anomaly_DISTORTEDInternalBleeding6,incorrect,6070,1874,2229,0.12618708610534668
