algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_mp_hard_voting_gaussian_False_spread_window_100,153.3030080795288,0.536,134,116,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17322,16900,17720,0.6369104385375979
002_UCR_Anomaly_DISTORTED2sddb40,correct,21548,21500,22000,0.4446713924407958
003_UCR_Anomaly_DISTORTED3sddb40,correct,11604,11500,12000,0.42648816108703624
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2951,2800,3200,0.08574461936950685
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,1276,1291,1492,0.043163776397705085
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1646,1603,1827,0.043629169464111335
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2452,2420,2644,0.0433030128479004
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,3429,1449,1697,0.04235219955444336
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,802,752,1000,0.04300951957702635
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,1985,1906,2154,0.04321455955505371
011_UCR_Anomaly_DISTORTEDECG1,correct,1894,1700,2200,0.19389510154724124
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10800,900,1200,0.14990186691284177
013_UCR_Anomaly_DISTORTEDECG3,correct,980,900,1200,0.14966058731079104
014_UCR_Anomaly_DISTORTEDECG3,correct,8911,8900,9200,0.2139730453491211
015_UCR_Anomaly_DISTORTEDECG4,correct,12049,11700,12200,1.751329183578491
016_UCR_Anomaly_DISTORTEDECG4,incorrect,11719,11800,12200,0.2444422245025635
017_UCR_Anomaly_DISTORTEDECG4,incorrect,11701,11900,12200,0.24019742012023929
018_UCR_Anomaly_DISTORTEDECG4,correct,8938,8900,9200,0.21409034729003906
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1133,1068,1312,0.07559609413146974
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,2047,2075,2488,0.07563400268554688
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,874,848,1093,0.07608890533447267
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,incorrect,2348,2427,2745,0.08428621292114256
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3577,3512,3816,0.07344603538513181
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1234,1226,1456,0.045429706573486335
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2721,2707,2934,0.05273485183715822
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4069,3884,4254,0.06897854804992677
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,5179,2887,3099,0.07273101806640625
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1540,1498,1809,0.06833600997924805
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,2971,2085,2387,0.05597472190856934
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1138,1087,1297,0.05344533920288086
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,2894,2959,3319,0.052823543548584005
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3649,3575,4133,0.06911015510559082
033_UCR_Anomaly_DISTORTEDInternalBleeding5,incorrect,2096,2100,2470,0.04130053520202637
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2171,1874,2229,0.0700976848602295
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3178,3265,3574,0.055239677429199226
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,982,2299,2581,0.04160189628601074
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12149,12110,12360,0.24309206008911133
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24744,22762,23032,0.24350023269653326
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,correct,11338,11290,11520,0.24335122108459475
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,correct,11572,11290,11620,0.2374229431152344
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,incorrect,640,10290,10620,0.2228336334228516
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,4606,5090,5520,0.22598838806152347
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,9177,9180,9540,0.1477782726287842
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9397,9385,9921,0.19388389587402344
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,189,9257,9817,0.15451359748840335
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,6790,7305,7577,0.14251232147216797
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6008,5905,6177,0.12053751945495604
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2453,2388,2685,0.08468079566955565
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,875,1765,1980,0.08301424980163577
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1639,2388,2685,0.08169364929199216
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5781,5730,5940,0.08420777320861818
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1169,1111,1409,0.08353924751281741
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4189,1164,1595,0.0567905902862549
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3168,3120,3379,0.043105840682983405
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,10875,10850,11200,0.2681756019592285
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,4210,6011,6311,0.30309724807739263
057_UCR_Anomaly_DISTORTEDapneaecg4,correct,9957,9900,10200,0.2913060188293458
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2205,2140,2408,0.2745451927185059
059_UCR_Anomaly_DISTORTEDgait1,incorrect,34146,18400,18900,0.4273602962493897
060_UCR_Anomaly_DISTORTEDgait2,incorrect,13651,24400,24900,0.4306228160858155
061_UCR_Anomaly_DISTORTEDgait3,incorrect,11170,35300,36100,0.3955950736999512
062_UCR_Anomaly_DISTORTEDgaitHunt1,correct,14589,14470,14780,0.44534206390380865
063_UCR_Anomaly_DISTORTEDgaitHunt2,incorrect,43941,12600,13450,0.45036172866821284
064_UCR_Anomaly_DISTORTEDgaitHunt3,incorrect,20238,14900,15900,0.39789366722106945
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5746,3900,4130,0.06411361694335936
066_UCR_Anomaly_DISTORTEDinsectEPG2,correct,4254,4200,4425,0.057237625122070326
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,3575,1700,1950,0.04462599754333497
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5169,5108,5358,0.0800261497497559
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5214,5200,5401,0.06349015235900879
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,incorrect,35858,34945,35345,0.4023606777191163
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,incorrect,29458,29500,29900,0.3216078281402589
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,correct,32715,32500,32900,0.3226454257965088
073_UCR_Anomaly_DISTORTEDpark3m,incorrect,9341,12050,12595,0.30340623855590826
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,correct,8596,8300,8900,0.3075039386749268
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,correct,9578,9300,9900,0.24958539009094244
076_UCR_Anomaly_DISTORTEDresperation10,correct,82686,82600,83980,1.3747570514678955
077_UCR_Anomaly_DISTORTEDresperation11,incorrect,21077,52700,52901,1.2925939559936523
078_UCR_Anomaly_DISTORTEDresperation1,correct,10187,10160,10512,0.9243192672729492
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,38684,138150,138350,1.5858097076416018
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,23534,138150,138351,1.4941782951354976
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,70781,113150,113351,1.3839430809020998
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,58304,58330,58531,1.1677610874176028
083_UCR_Anomaly_DISTORTEDresperation9,incorrect,79966,105311,105611,1.470350742340088
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23764,23674,23974,0.26500105857849116
085_UCR_Anomaly_DISTORTEDs20101m,correct,25756,25674,25974,0.264075517654419
086_UCR_Anomaly_DISTORTEDsddb49,incorrect,47778,47850,48300,0.5672564506530761
087_UCR_Anomaly_DISTORTEDsel840mECG1,correct,34514,34270,34840,0.4071002006530763
088_UCR_Anomaly_DISTORTEDsel840mECG2,correct,29292,29270,29840,0.3824067115783692
089_UCR_Anomaly_DISTORTEDtiltAPB1,incorrect,14181,14183,14450,0.2849392890930177
090_UCR_Anomaly_DISTORTEDtiltAPB2,correct,74628,74059,75085,0.7196595668792726
091_UCR_Anomaly_DISTORTEDtiltAPB3,incorrect,73871,73900,74470,0.8334403038024903
092_UCR_Anomaly_DISTORTEDtiltAPB4,incorrect,47117,47895,48096,1.019369125366211
093_UCR_Anomaly_NOISE1sddb40,correct,17321,16900,17720,0.4196507930755617
094_UCR_Anomaly_NOISEBIDMC1,correct,2968,2800,3200,0.087719202041626
095_UCR_Anomaly_NOISECIMIS44AirTemperature4,incorrect,1295,1449,1697,0.05184793472290039
096_UCR_Anomaly_NOISEECG4,incorrect,11733,11800,12200,0.23898959159851074
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3,correct,900,848,1093,0.07426667213439943
098_UCR_Anomaly_NOISEInternalBleeding16,correct,2945,2887,3099,0.07035112380981445
099_UCR_Anomaly_NOISEInternalBleeding6,correct,2006,1874,2229,0.06730103492736818
100_UCR_Anomaly_NOISELab2Cmac011215EPG1,correct,12157,12110,12360,0.24539804458618164
101_UCR_Anomaly_NOISELab2Cmac011215EPG4,correct,11571,11290,11620,0.23659205436706546
102_UCR_Anomaly_NOISEMesoplodonDensirostris,correct,9183,9180,9540,0.148446798324585
103_UCR_Anomaly_NOISETkeepThirdMARS,incorrect,1066,1111,1409,0.07917618751525879
104_UCR_Anomaly_NOISEapneaecg4,incorrect,6388,9900,10200,0.2962977886199952
105_UCR_Anomaly_NOISEgait3,incorrect,11151,35300,36100,0.3982808589935304
106_UCR_Anomaly_NOISEgaitHunt2,incorrect,25139,12600,13450,0.44060254096984874
107_UCR_Anomaly_NOISEinsectEPG3,incorrect,3574,1700,1950,0.04698038101196289
108_UCR_Anomaly_NOISEresperation2,incorrect,38207,138150,138350,1.5454256534576414
109_UCR_Anomaly_1sddb40,correct,17336,16900,17720,0.4051392078399659
110_UCR_Anomaly_2sddb40,correct,21601,21500,22000,0.40567708015441906
111_UCR_Anomaly_3sddb40,correct,11616,11500,12000,0.3990671634674073
112_UCR_Anomaly_BIDMC1,correct,2820,2800,3200,0.08101058006286621
113_UCR_Anomaly_CIMIS44AirTemperature1,correct,1295,1291,1492,0.042330265045166016
114_UCR_Anomaly_CIMIS44AirTemperature2,correct,1646,1603,1827,0.042411327362060554
115_UCR_Anomaly_CIMIS44AirTemperature3,correct,2469,2420,2644,0.04308104515075684
116_UCR_Anomaly_CIMIS44AirTemperature4,incorrect,1295,1449,1697,0.04272031784057618
117_UCR_Anomaly_CIMIS44AirTemperature5,correct,815,752,1000,0.04321503639221193
118_UCR_Anomaly_CIMIS44AirTemperature6,correct,1959,1906,2154,0.04266142845153809
119_UCR_Anomaly_ECG1,correct,1881,1700,2200,0.18376660346984866
120_UCR_Anomaly_ECG2,incorrect,10800,900,1200,0.1403038501739502
121_UCR_Anomaly_ECG3,correct,982,900,1200,0.1488649845123291
122_UCR_Anomaly_ECG3,incorrect,8729,8900,9200,0.21105265617370605
123_UCR_Anomaly_ECG4,correct,12049,11700,12200,1.7141680717468264
124_UCR_Anomaly_ECG4,incorrect,11732,11800,12200,0.24193406105041507
125_UCR_Anomaly_ECG4,incorrect,11730,11900,12200,0.23950672149658206
126_UCR_Anomaly_ECG4,correct,9020,8900,9200,0.2101249694824219
127_UCR_Anomaly_GP711MarkerLFM5z1,correct,1134,1068,1312,0.06490159034729007
128_UCR_Anomaly_GP711MarkerLFM5z2,correct,2221,2075,2488,0.06323623657226564
129_UCR_Anomaly_GP711MarkerLFM5z3,correct,901,848,1093,0.06444954872131348
130_UCR_Anomaly_GP711MarkerLFM5z4,correct,2495,2427,2745,0.0728113651275635
131_UCR_Anomaly_GP711MarkerLFM5z5,correct,3586,3512,3816,0.06308388710021973
132_UCR_Anomaly_InternalBleeding10,correct,1229,1226,1456,0.03230094909667969
133_UCR_Anomaly_InternalBleeding14,correct,2744,2707,2934,0.03887844085693359
134_UCR_Anomaly_InternalBleeding15,correct,4065,3884,4254,0.06314349174499512
135_UCR_Anomaly_InternalBleeding16,correct,2945,2887,3099,0.06579351425170897
136_UCR_Anomaly_InternalBleeding17,correct,1533,1498,1809,0.05927276611328125
137_UCR_Anomaly_InternalBleeding18,correct,2234,2085,2387,0.05238127708435059
138_UCR_Anomaly_InternalBleeding19,correct,1133,1087,1297,0.04754996299743652
139_UCR_Anomaly_InternalBleeding20,correct,3080,2959,3319,0.04838323593139648
140_UCR_Anomaly_InternalBleeding4,correct,3702,3575,4133,0.061629056930541985
141_UCR_Anomaly_InternalBleeding5,correct,2185,2100,2470,0.03624820709228514
142_UCR_Anomaly_InternalBleeding6,correct,2006,1874,2229,0.057568311691284194
143_UCR_Anomaly_InternalBleeding8,correct,3295,3265,3574,0.04534578323364257
144_UCR_Anomaly_InternalBleeding9,correct,2356,2299,2581,0.03691816329956055
145_UCR_Anomaly_Lab2Cmac011215EPG1,correct,12157,12110,12360,0.24568963050842288
146_UCR_Anomaly_Lab2Cmac011215EPG2,incorrect,24747,22762,23032,0.24135446548461917
147_UCR_Anomaly_Lab2Cmac011215EPG3,incorrect,2700,11290,11520,0.2414140701293946
148_UCR_Anomaly_Lab2Cmac011215EPG4,correct,11572,11290,11620,0.23439002037048343
149_UCR_Anomaly_Lab2Cmac011215EPG5,correct,10342,10290,10620,0.21964693069458013
150_UCR_Anomaly_Lab2Cmac011215EPG6,incorrect,4599,5090,5520,0.22748517990112307
151_UCR_Anomaly_MesoplodonDensirostris,correct,9183,9180,9540,0.14512443542480474
152_UCR_Anomaly_PowerDemand1,correct,9406,9385,9921,0.19303965568542483
153_UCR_Anomaly_PowerDemand2,incorrect,124,9257,9817,0.1549222469329834
154_UCR_Anomaly_PowerDemand3,incorrect,6766,7305,7577,0.14222717285156256
155_UCR_Anomaly_PowerDemand4,correct,5957,5905,6177,0.11890411376953126
156_UCR_Anomaly_TkeepFifthMARS,correct,2477,2388,2685,0.0806000232696533
157_UCR_Anomaly_TkeepFirstMARS,correct,1791,1765,1980,0.07659173011779787
158_UCR_Anomaly_TkeepForthMARS,incorrect,1654,2388,2685,0.0770721435546875
