algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_mp_hard_voting_gaussian_True_spread_window_100,154.23129677772522,0.528,132,118,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17375,16900,17720,0.6373829841613772
002_UCR_Anomaly_DISTORTED2sddb40,correct,21548,21500,22000,0.4465205669403075
003_UCR_Anomaly_DISTORTED3sddb40,correct,11604,11500,12000,0.4282350540161134
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2951,2800,3200,0.08618497848510744
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,1276,1291,1492,0.04347777366638184
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1646,1603,1827,0.043937206268310554
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2452,2420,2644,0.0435929298400879
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,3479,1449,1697,0.042687177658081055
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,802,752,1000,0.04335045814514159
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,1995,1906,2154,0.043378353118896484
011_UCR_Anomaly_DISTORTEDECG1,correct,1875,1700,2200,0.19479227066040042
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10779,900,1200,0.1506702899932861
013_UCR_Anomaly_DISTORTEDECG3,correct,980,900,1200,0.15027618408203128
014_UCR_Anomaly_DISTORTEDECG3,correct,8912,8900,9200,0.21502399444580078
015_UCR_Anomaly_DISTORTEDECG4,correct,12049,11700,12200,1.76509952545166
016_UCR_Anomaly_DISTORTEDECG4,incorrect,11792,11800,12200,0.24552869796752932
017_UCR_Anomaly_DISTORTEDECG4,correct,11982,11900,12200,0.24134087562561038
018_UCR_Anomaly_DISTORTEDECG4,correct,8938,8900,9200,0.21521234512329102
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1186,1068,1312,0.07606077194213869
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,2047,2075,2488,0.07607507705688477
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,876,848,1093,0.07648420333862306
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,incorrect,2312,2427,2745,0.08470225334167479
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3589,3512,3816,0.0738420486450195
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1239,1226,1456,0.04572033882141114
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2801,2707,2934,0.05305004119873048
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4069,3884,4254,0.06935286521911622
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,5143,2887,3099,0.07307267189025879
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1540,1498,1809,0.06872010231018066
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,3026,2085,2387,0.056231498718261726
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1138,1087,1297,0.05374026298522949
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,2894,2959,3319,0.05314946174621584
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3641,3575,4133,0.06946277618408203
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2115,2100,2470,0.04154348373413086
034_UCR_Anomaly_DISTORTEDInternalBleeding6,incorrect,1625,1874,2229,0.07047367095947267
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3263,3265,3574,0.05560851097106934
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1025,2299,2581,0.04191112518310547
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12149,12110,12360,0.24421358108520508
