algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_mp_maximum_score,152.79768300056458,0.256,64,186,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,4208,16900,17720,0.6360912322998049
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,27940,21500,22000,0.4452531337738036
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34203,11500,12000,0.42702317237854015
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2922,2800,3200,0.08602976799011232
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,correct,1304,1291,1492,0.043534517288208015
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1509,1603,1827,0.04397201538085938
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2425,2420,2644,0.0436241626739502
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,3479,1449,1697,0.042755126953125
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,845,752,1000,0.04336953163146971
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,3501,1906,2154,0.043407440185546875
011_UCR_Anomaly_DISTORTEDECG1,correct,1920,1700,2200,0.19404411315917972
012_UCR_Anomaly_DISTORTEDECG2,incorrect,11443,900,1200,0.15013170242309568
013_UCR_Anomaly_DISTORTEDECG3,incorrect,885,900,1200,0.14973497390747073
014_UCR_Anomaly_DISTORTEDECG3,incorrect,7441,8900,9200,0.21422743797302246
015_UCR_Anomaly_DISTORTEDECG4,incorrect,11534,11700,12200,1.738915681838989
016_UCR_Anomaly_DISTORTEDECG4,incorrect,11769,11800,12200,0.24466204643249514
017_UCR_Anomaly_DISTORTEDECG4,incorrect,11743,11900,12200,0.24051451683044436
018_UCR_Anomaly_DISTORTEDECG4,incorrect,1961,8900,9200,0.21455049514770508
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1136,1068,1312,0.07591342926025392
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,1419,2075,2488,0.07592535018920898
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,incorrect,5624,848,1093,0.07635712623596193
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,incorrect,5526,2427,2745,0.08452439308166503
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,incorrect,3328,3512,3816,0.07370162010192868
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,724,1226,1456,0.04572534561157227
025_UCR_Anomaly_DISTORTEDInternalBleeding14,incorrect,1448,2707,2934,0.05305552482604982
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4119,3884,4254,0.06926059722900392
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,5186,2887,3099,0.0729987621307373
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1590,1498,1809,0.06861138343811035
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,2976,2085,2387,0.056194782257080085
030_UCR_Anomaly_DISTORTEDInternalBleeding19,incorrect,322,1087,1297,0.05375814437866211
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,756,2959,3319,0.05311870574951174
032_UCR_Anomaly_DISTORTEDInternalBleeding4,incorrect,3356,3575,4133,0.06935715675354004
033_UCR_Anomaly_DISTORTEDInternalBleeding5,incorrect,2095,2100,2470,0.04164552688598633
034_UCR_Anomaly_DISTORTEDInternalBleeding6,incorrect,570,1874,2229,0.07034206390380861
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,2451,3265,3574,0.055555582046508796
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1065,2299,2581,0.04220008850097656
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,incorrect,2521,12110,12360,0.24345636367797852
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,2721,22762,23032,0.2437512874603272
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,2731,11290,11520,0.24371385574340823
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,1302,11290,11620,0.23776245117187503
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,incorrect,4658,10290,10620,0.22315335273742679
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,610,5090,5520,0.22646951675415042
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,1571,9180,9540,0.14805984497070315
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9437,9385,9921,0.19423222541809082
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,8608,9257,9817,0.1547496318817139
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,6840,7305,7577,0.14281272888183594
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,5994,5905,6177,0.12076854705810545
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2422,2388,2685,0.084963321685791
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,921,1765,1980,0.08330678939819339
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1429,2388,2685,0.08197927474975583
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5777,5730,5940,0.08454489707946779
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1217,1111,1409,0.08375406265258792
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2228,1164,1595,0.05710816383361818
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,incorrect,1319,3120,3379,0.04363346099853516
055_UCR_Anomaly_DISTORTEDapneaecg2,incorrect,2670,10850,11200,0.26848602294921875
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,4187,6011,6311,0.30359029769897466
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,6213,9900,10200,0.29175424575805675
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2172,2140,2408,0.2748456001281739
059_UCR_Anomaly_DISTORTEDgait1,incorrect,3760,18400,18900,0.4278810024261475
060_UCR_Anomaly_DISTORTEDgait2,incorrect,3937,24400,24900,0.4311730861663819
061_UCR_Anomaly_DISTORTEDgait3,incorrect,10860,35300,36100,0.3960962295532227
062_UCR_Anomaly_DISTORTEDgaitHunt1,incorrect,25088,14470,14780,0.44584512710571295
063_UCR_Anomaly_DISTORTEDgaitHunt2,incorrect,25414,12600,13450,0.4509224891662597
064_UCR_Anomaly_DISTORTEDgaitHunt3,incorrect,20288,14900,15900,0.39837908744812023
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,437,3900,4130,0.06440162658691405
066_UCR_Anomaly_DISTORTEDinsectEPG2,incorrect,3995,4200,4425,0.057504415512084975
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1964,1700,1950,0.04494524002075196
068_UCR_Anomaly_DISTORTEDinsectEPG4,incorrect,6448,5108,5358,0.0803778171539307
069_UCR_Anomaly_DISTORTEDinsectEPG5,incorrect,5184,5200,5401,0.06375765800476074
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,incorrect,34938,34945,35345,0.40273022651672374
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,incorrect,3826,29500,29900,0.32232069969177257
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,incorrect,4028,32500,32900,0.3231356143951416
073_UCR_Anomaly_DISTORTEDpark3m,incorrect,10771,12050,12595,0.3037338256835938
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,correct,8621,8300,8900,0.30778241157531744
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,correct,9611,9300,9900,0.25007224082946783
076_UCR_Anomaly_DISTORTEDresperation10,incorrect,44240,82600,83980,1.367187738418579
077_UCR_Anomaly_DISTORTEDresperation11,incorrect,1296,52700,52901,1.2885847091674805
078_UCR_Anomaly_DISTORTEDresperation1,correct,10195,10160,10512,0.9237821102142334
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,38734,138150,138350,1.5760254859924319
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,35825,138150,138351,1.4838907718658443
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,49606,113150,113351,1.3750529289245608
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,36289,58330,58531,1.1621665954589846
083_UCR_Anomaly_DISTORTEDresperation9,incorrect,22715,105311,105611,1.4638948440551758
084_UCR_Anomaly_DISTORTEDs20101mML2,incorrect,4564,23674,23974,0.26562714576721186
085_UCR_Anomaly_DISTORTEDs20101m,correct,25756,25674,25974,0.26444792747497564
086_UCR_Anomaly_DISTORTEDsddb49,incorrect,9593,47850,48300,0.5677785873413085
087_UCR_Anomaly_DISTORTEDsel840mECG1,incorrect,7349,34270,34840,0.40749454498291027
088_UCR_Anomaly_DISTORTEDsel840mECG2,incorrect,36872,29270,29840,0.3829255104064942
089_UCR_Anomaly_DISTORTEDtiltAPB1,incorrect,13877,14183,14450,0.2853100299835206
090_UCR_Anomaly_DISTORTEDtiltAPB2,correct,74631,74059,75085,0.7199811935424806
091_UCR_Anomaly_DISTORTEDtiltAPB3,incorrect,27437,73900,74470,0.8331754207611085
092_UCR_Anomaly_DISTORTEDtiltAPB4,incorrect,47142,47895,48096,1.0185022354125977
093_UCR_Anomaly_NOISE1sddb40,incorrect,16885,16900,17720,0.4201114177703859
094_UCR_Anomaly_NOISEBIDMC1,correct,3002,2800,3200,0.08795642852783206
095_UCR_Anomaly_NOISECIMIS44AirTemperature4,incorrect,1326,1449,1697,0.05215311050415039
096_UCR_Anomaly_NOISEECG4,correct,11953,11800,12200,0.23934459686279297
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3,incorrect,694,848,1093,0.07451748847961427
