algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_mp_simple_average,143.9642174243927,0.56,140,110,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17338,16900,17720,0.37990450859069835
002_UCR_Anomaly_DISTORTED2sddb40,correct,21598,21500,22000,0.3790268898010255
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,20915,11500,12000,0.3635499477386475
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2985,2800,3200,0.06958556175231935
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,3459,1291,1492,0.03692770004272461
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,3459,1603,1827,0.037594795227050774
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2497,2420,2644,0.03683161735534669
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,1330,1449,1697,0.0374464988708496
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,844,752,1000,0.03708291053771973
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,1329,1906,2154,0.0367274284362793
011_UCR_Anomaly_DISTORTEDECG1,correct,1798,1700,2200,0.16107964515686035
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10815,900,1200,0.13165831565856936
013_UCR_Anomaly_DISTORTEDECG3,correct,955,900,1200,0.13170289993286133
014_UCR_Anomaly_DISTORTEDECG3,correct,8979,8900,9200,0.18089103698730472
015_UCR_Anomaly_DISTORTEDECG4,incorrect,11563,11700,12200,1.7078275680541992
016_UCR_Anomaly_DISTORTEDECG4,correct,11863,11800,12200,0.19644260406494146
017_UCR_Anomaly_DISTORTEDECG4,correct,11960,11900,12200,0.20141005516052252
018_UCR_Anomaly_DISTORTEDECG4,correct,8952,8900,9200,0.16803336143493655
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1175,1068,1312,0.06524324417114258
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,2066,2075,2488,0.0683882236480713
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,921,848,1093,0.068972110748291
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2523,2427,2745,0.07227754592895509
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3550,3512,3816,0.06630659103393553
