algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_mp_wv_ols_r2_emphasize_diversity_False,251.68422174453735,0.164,41,209,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,16971,16900,17720,0.9080722332000735
002_UCR_Anomaly_DISTORTED2sddb40,correct,21597,21500,22000,0.7205138206481932
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,35610,11500,12000,0.6948516368865968
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2897,2800,3200,0.14995718002319336
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,correct,1299,1291,1492,0.08729243278503418
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1671,1603,1827,0.08538079261779785
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2448,2420,2644,0.0832359790802002
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,1323,1449,1697,0.08226728439331055
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,845,752,1000,0.08297181129455565
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,1993,1906,2154,0.08307886123657227
011_UCR_Anomaly_DISTORTEDECG1,incorrect,1492,1700,2200,0.32111430168151855
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10484,900,1200,0.24938297271728513
013_UCR_Anomaly_DISTORTEDECG3,incorrect,753,900,1200,0.2510082721710205
014_UCR_Anomaly_DISTORTEDECG3,incorrect,8864,8900,9200,0.36925792694091797
015_UCR_Anomaly_DISTORTEDECG4,incorrect,11399,11700,12200,3.1218104362487793
016_UCR_Anomaly_DISTORTEDECG4,incorrect,11751,11800,12200,0.4032633304595947
017_UCR_Anomaly_DISTORTEDECG4,incorrect,11750,11900,12200,0.4082071781158447
018_UCR_Anomaly_DISTORTEDECG4,incorrect,8584,8900,9200,0.3511502742767334
