algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
ensemble_hom_mp_wv_ols,247.518052816391,0.48,120,130,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17332,16900,17720,0.9042208194732668
002_UCR_Anomaly_DISTORTED2sddb40,correct,21597,21500,22000,0.7136085033416747
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,35610,11500,12000,0.6880095005035402
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2944,2800,3200,0.1432802677154541
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,3470,1291,1492,0.07730603218078613
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1681,1603,1827,0.07791805267333984
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2425,2420,2644,0.07735300064086914
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,3435,1449,1697,0.07964324951171875
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,848,752,1000,0.0770735740661621
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,1956,1906,2154,0.11524605751037598
011_UCR_Anomaly_DISTORTEDECG1,correct,1920,1700,2200,0.3132047653198242
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10826,900,1200,0.2406344413757324
013_UCR_Anomaly_DISTORTEDECG3,correct,934,900,1200,0.24085998535156253
014_UCR_Anomaly_DISTORTEDECG3,incorrect,8863,8900,9200,0.34267592430114746
015_UCR_Anomaly_DISTORTEDECG4,incorrect,11399,11700,12200,3.1298935413360596
016_UCR_Anomaly_DISTORTEDECG4,incorrect,11743,11800,12200,0.3999638557434082
017_UCR_Anomaly_DISTORTEDECG4,incorrect,11750,11900,12200,0.3907759189605713
018_UCR_Anomaly_DISTORTEDECG4,correct,8985,8900,9200,0.3466031551361084
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1162,1068,1312,0.12703895568847656
