base_learner_type,ensemble_method,method_params,repetition,ucr_score,computational_time
KMeans,simple_average,{},0,0.41600000000000004,2032.2124991416931
KMeans,maximum_score,{},0,0.38800000000000007,2032.3810377120972
KMeans,wv_ols,{},0,0.43600000000000005,2129.457624912262
KMeans,wv_ols_r2,"{""emphasize_diversity"": false}",0,0.40800000000000003,2132.672994852066
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",0,0.41600000000000004,2032.8834984302518
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",0,0.43600000000000005,2033.785691738129
KMeans,simple_average,{},1,0.44,2032.1505358219147
KMeans,maximum_score,{},1,0.3960000000000001,2032.3686912059784
KMeans,wv_ols,{},1,0.43200000000000005,2127.9835717678066
KMeans,wv_ols_r2,"{""emphasize_diversity"": false}",1,0.4,2131.1676926612854
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",1,0.41600000000000004,2032.8783717155457
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",1,0.452,2033.7532181739805
KMeans,simple_average,{},2,0.43200000000000005,2032.0807399749756
KMeans,maximum_score,{},2,0.38000000000000006,2032.297471284866
KMeans,wv_ols,{},2,0.43200000000000005,2128.3295011520386
KMeans,wv_ols_r2,"{""emphasize_diversity"": false}",2,0.36000000000000004,2138.8219611644745
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",2,0.43200000000000005,2032.822561979294
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",2,0.44,2033.7221188545225
KMeans,simple_average,{},3,0.43200000000000005,1391.6839878559108
KMeans,maximum_score,{},3,0.38000000000000006,1391.894723653793
KMeans,wv_ols,{},3,0.448,1490.9083766937258
KMeans,wv_ols_r2,"{""emphasize_diversity"": false}",3,0.38800000000000007,1491.8041684627533
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",3,0.43200000000000005,1392.5416040420532
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",3,0.43600000000000005,1393.3353726863859
KMeans,simple_average,{},4,0.41200000000000003,2032.1596229076383
KMeans,maximum_score,{},4,0.37600000000000006,2032.367488861084
KMeans,wv_ols,{},4,0.42800000000000005,2130.4384682178497
KMeans,wv_ols_r2,"{""emphasize_diversity"": false}",4,0.35600000000000004,2134.243639945984
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",4,0.43200000000000005,2032.8910892009733
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",4,0.444,2033.79182267189
KMeans,simple_average,{},5,0.42800000000000005,2022.943961620331
KMeans,maximum_score,{},5,0.39200000000000007,2023.161128759384
KMeans,wv_ols,{},5,0.44,2119.0127646923065
KMeans,wv_ols_r2,"{""emphasize_diversity"": false}",5,0.38400000000000006,2124.504962921142
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",5,0.42400000000000004,2023.6925625801086
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",5,0.444,2024.6033005714412
KMeans,simple_average,{},6,0.43600000000000005,2032.08895611763
KMeans,maximum_score,{},6,0.35200000000000004,2032.3029873371124
KMeans,wv_ols,{},6,0.464,2126.82615852356
KMeans,wv_ols_r2,"{""emphasize_diversity"": false}",6,0.38000000000000006,2133.776755094528
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",6,0.444,2032.8282203674314
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",6,0.456,2033.7381575107577
KMeans,simple_average,{},7,0.42000000000000004,2022.94556593895
KMeans,maximum_score,{},7,0.38000000000000006,2023.1602957248688
