algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
if_w160_n100,129.72707867622375,0.228,57,193,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17312,16900,17720,0.3996706008911133
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34781,21500,22000,0.38936448097229004
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34830,11500,12000,0.4039123058319092
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3080,2800,3200,0.03965353965759277
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,787,1291,1492,0.025495529174804688
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,incorrect,1103,1603,1827,0.020787477493286133
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,incorrect,774,2420,2644,0.025748252868652344
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,775,1449,1697,0.02127838134765625
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,793,752,1000,0.022121667861938477
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,incorrect,1106,1906,2154,0.02099752426147461
011_UCR_Anomaly_DISTORTEDECG1,correct,1919,1700,2200,0.11100649833679199
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7845,900,1200,0.06055021286010742
013_UCR_Anomaly_DISTORTEDECG3,incorrect,1603,900,1200,0.0743100643157959
014_UCR_Anomaly_DISTORTEDECG3,incorrect,20384,8900,9200,0.1271660327911377
015_UCR_Anomaly_DISTORTEDECG4,incorrect,22673,11700,12200,1.914659023284912
016_UCR_Anomaly_DISTORTEDECG4,incorrect,7649,11800,12200,0.17086029052734375
017_UCR_Anomaly_DISTORTEDECG4,incorrect,4325,11900,12200,0.16762208938598633
018_UCR_Anomaly_DISTORTEDECG4,incorrect,6939,8900,9200,0.13614845275878906
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,1,1068,1312,0.029749155044555664
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2359,2075,2488,0.03339385986328125
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,926,848,1093,0.03243088722229004
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2608,2427,2745,0.03367972373962402
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3654,3512,3816,0.028946638107299805
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4282,1226,1456,0.024262666702270508
025_UCR_Anomaly_DISTORTEDInternalBleeding14,incorrect,4700,2707,2934,0.02057361602783203
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4051,3884,4254,0.02605748176574707
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,593,2887,3099,0.03271889686584473
028_UCR_Anomaly_DISTORTEDInternalBleeding17,incorrect,2464,1498,1809,0.025293827056884766
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,0,2085,2387,0.023055553436279297
030_UCR_Anomaly_DISTORTEDInternalBleeding19,incorrect,4499,1087,1297,0.02162909507751465
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,4799,2959,3319,0.020657062530517578
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3778,3575,4133,0.03239297866821289
