algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
km_w50_k10,85.69295644760132,0.304,76,174,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,correct,17318,16900,17720,0.29790282249450684
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,34871,21500,22000,0.38953638076782227
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,34867,11500,12000,0.29323267936706543
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3091,2800,3200,0.1684558391571045
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,808,1291,1492,0.16817617416381836
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1715,1603,1827,0.16461730003356934
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2530,2420,2644,0.19214129447937012
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,790,1449,1697,0.12592482566833496
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,874,752,1000,0.14816546440124512
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2048,1906,2154,0.18812179565429688
011_UCR_Anomaly_DISTORTEDECG1,correct,1929,1700,2200,0.1730813980102539
012_UCR_Anomaly_DISTORTEDECG2,incorrect,7832,900,1200,0.1830611228942871
013_UCR_Anomaly_DISTORTEDECG3,incorrect,13292,900,1200,0.16880321502685547
014_UCR_Anomaly_DISTORTEDECG3,incorrect,20293,8900,9200,0.30672574043273926
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,0.7326047420501709
016_UCR_Anomaly_DISTORTEDECG4,correct,12026,11800,12200,0.2725090980529785
017_UCR_Anomaly_DISTORTEDECG4,correct,12026,11900,12200,0.30898261070251465
018_UCR_Anomaly_DISTORTEDECG4,incorrect,4583,8900,9200,0.21644163131713867
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,incorrect,5949,1068,1312,0.15609097480773926
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,4403,2075,2488,0.177016019821167
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,968,848,1093,0.14938664436340332
