algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
lof_w150_n100,2811.6297039985657,0.52,130,120,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,31894,16900,17720,2.0284831523895264
002_UCR_Anomaly_DISTORTED2sddb40,incorrect,32101,21500,22000,2.0939888954162598
003_UCR_Anomaly_DISTORTED3sddb40,incorrect,32098,11500,12000,2.1010260581970215
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,3016,2800,3200,0.1083829402923584
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,2072,1291,1492,0.035301923751831055
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1714,1603,1827,0.03930068016052246
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2530,2420,2644,0.04063129425048828
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,792,1449,1697,0.039762020111083984
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,875,752,1000,0.035264015197753906
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,2049,1906,2154,0.038763999938964844
011_UCR_Anomaly_DISTORTEDECG1,correct,1923,1700,2200,0.4527420997619629
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10825,900,1200,0.262683629989624
013_UCR_Anomaly_DISTORTEDECG3,incorrect,13328,900,1200,0.2647113800048828
014_UCR_Anomaly_DISTORTEDECG3,correct,9025,8900,9200,0.548865556716919
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,36.99911427497864
016_UCR_Anomaly_DISTORTEDECG4,correct,12024,11800,12200,0.6758244037628174
017_UCR_Anomaly_DISTORTEDECG4,correct,12026,11900,12200,0.6841750144958496
018_UCR_Anomaly_DISTORTEDECG4,correct,9019,8900,9200,0.5520317554473877
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1186,1068,1312,0.07307291030883789
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,correct,2349,2075,2488,0.07802653312683105
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,correct,971,848,1093,0.07986879348754883
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,correct,2598,2427,2745,0.09615707397460938
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,correct,3653,3512,3816,0.07899832725524902
024_UCR_Anomaly_DISTORTEDInternalBleeding10,incorrect,4300,1226,1456,0.03559756278991699
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2814,2707,2934,0.04049420356750488
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,4125,3884,4254,0.05472898483276367
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,624,2887,3099,0.06064295768737793
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1658,1498,1809,0.0567779541015625
029_UCR_Anomaly_DISTORTEDInternalBleeding18,incorrect,3036,2085,2387,0.043123722076416016
030_UCR_Anomaly_DISTORTEDInternalBleeding19,correct,1191,1087,1297,0.03894448280334473
031_UCR_Anomaly_DISTORTEDInternalBleeding20,correct,3159,2959,3319,0.07046222686767578
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3773,3575,4133,0.05843472480773926
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2231,2100,2470,0.027365446090698242
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2067,1874,2229,0.06126904487609863
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,845,3265,3574,0.0428013801574707
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,1643,2299,2581,0.026634693145751953
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,correct,12231,12110,12360,0.675666332244873
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24857,22762,23032,0.681847333908081
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,24856,11290,11520,0.6851072311401367
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,incorrect,23973,11290,11620,0.6363146305084229
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,incorrect,22733,10290,10620,0.5717663764953613
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22759,5090,5520,0.5745372772216797
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,4823,9180,9540,0.26016664505004883
044_UCR_Anomaly_DISTORTEDPowerDemand1,incorrect,8560,9385,9921,0.4928855895996094
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,12321,9257,9817,0.30548572540283203
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,10318,7305,7577,0.22687911987304688
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,6040,5905,6177,0.18634533882141113
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2572,2388,2685,0.09363198280334473
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,928,1765,1980,0.09998846054077148
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1831,2388,2685,0.08698654174804688
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5836,5730,5940,0.09752368927001953
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1300,1111,1409,0.08511948585510254
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,2576,1164,1595,0.043061017990112305
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,correct,3255,3120,3379,0.03282475471496582
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,11026,10850,11200,0.8805267810821533
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,26504,6011,6311,1.1543011665344238
057_UCR_Anomaly_DISTORTEDapneaecg4,incorrect,14,9900,10200,1.1155555248260498
058_UCR_Anomaly_DISTORTEDapneaecg,incorrect,21624,2140,2408,0.8873791694641113
059_UCR_Anomaly_DISTORTEDgait1,correct,18707,18400,18900,2.0922436714172363
060_UCR_Anomaly_DISTORTEDgait2,correct,24700,24400,24900,1.9059159755706787
061_UCR_Anomaly_DISTORTEDgait3,incorrect,32477,35300,36100,1.7057671546936035
062_UCR_Anomaly_DISTORTEDgaitHunt1,correct,14651,14470,14780,2.114882230758667
063_UCR_Anomaly_DISTORTEDgaitHunt2,incorrect,25389,12600,13450,2.117304563522339
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15029,14900,15900,1.6845617294311523
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5824,3900,4130,0.07712388038635254
066_UCR_Anomaly_DISTORTEDinsectEPG2,incorrect,5125,4200,4425,0.06376004219055176
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,1130,1700,1950,0.03986525535583496
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5248,5108,5358,0.10191607475280762
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5315,5200,5401,0.0730445384979248
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,correct,35085,34945,35345,1.5610074996948242
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,correct,29638,29500,29900,1.0643799304962158
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,correct,32647,32500,32900,1.2844505310058594
073_UCR_Anomaly_DISTORTEDpark3m,correct,12428,12050,12595,0.96634840965271
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,incorrect,3485,8300,8900,1.0677275657653809
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,incorrect,2164,9300,9900,0.7347955703735352
076_UCR_Anomaly_DISTORTEDresperation10,correct,83093,82600,83980,21.183664321899414
077_UCR_Anomaly_DISTORTEDresperation11,correct,52799,52700,52901,18.41002583503723
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,34566,10160,10512,9.959054470062256
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,17044,138150,138350,28.212424516677856
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,54221,138150,138351,24.899950981140137
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,23568,113150,113351,20.642436265945435
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,34365,58330,58531,15.399644374847412
083_UCR_Anomaly_DISTORTEDresperation9,correct,105475,105311,105611,24.086639165878296
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23852,23674,23974,0.8262929916381836
