algorithm_name,total_time,accuracy,n_correct,n_incorrect,n_failed
mp_w120,134.96781086921692,0.504,126,124,0
###
ts_name,status,predicted_anomaly,anomaly_start,anomaly_end,processing_time
001_UCR_Anomaly_DISTORTED1sddb40,incorrect,4208,16900,17720,0.30292248725891113
002_UCR_Anomaly_DISTORTED2sddb40,correct,21597,21500,22000,0.29531311988830566
003_UCR_Anomaly_DISTORTED3sddb40,correct,11649,11500,12000,0.30669069290161133
004_UCR_Anomaly_DISTORTEDBIDMC1,correct,2964,2800,3200,0.05461859703063965
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1,incorrect,3473,1291,1492,0.030069351196289062
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2,correct,1687,1603,1827,0.0323634147644043
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3,correct,2426,2420,2644,0.03004765510559082
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4,incorrect,3173,1449,1697,0.030303955078125
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5,correct,843,752,1000,0.03023815155029297
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6,correct,1966,1906,2154,0.029868364334106445
011_UCR_Anomaly_DISTORTEDECG1,correct,1925,1700,2200,0.12645244598388672
012_UCR_Anomaly_DISTORTEDECG2,incorrect,10829,900,1200,0.0933833122253418
013_UCR_Anomaly_DISTORTEDECG3,correct,1030,900,1200,0.09810996055603027
014_UCR_Anomaly_DISTORTEDECG3,correct,8961,8900,9200,0.13886809349060059
015_UCR_Anomaly_DISTORTEDECG4,correct,12099,11700,12200,1.6181409358978271
016_UCR_Anomaly_DISTORTEDECG4,correct,11937,11800,12200,0.15206170082092285
017_UCR_Anomaly_DISTORTEDECG4,correct,11937,11900,12200,0.15856051445007324
018_UCR_Anomaly_DISTORTEDECG4,correct,8988,8900,9200,0.14031505584716797
019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1,correct,1179,1068,1312,0.05185079574584961
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2,incorrect,1200,2075,2488,0.0522000789642334
021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3,incorrect,5135,848,1093,0.05333352088928223
022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,incorrect,3509,2427,2745,0.05752706527709961
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5,incorrect,6231,3512,3816,0.0517120361328125
024_UCR_Anomaly_DISTORTEDInternalBleeding10,correct,1274,1226,1456,0.030254602432250977
025_UCR_Anomaly_DISTORTEDInternalBleeding14,correct,2753,2707,2934,0.036553382873535156
026_UCR_Anomaly_DISTORTEDInternalBleeding15,correct,3985,3884,4254,0.04776811599731445
027_UCR_Anomaly_DISTORTEDInternalBleeding16,incorrect,6103,2887,3099,0.05065560340881348
028_UCR_Anomaly_DISTORTEDInternalBleeding17,correct,1675,1498,1809,0.0434870719909668
029_UCR_Anomaly_DISTORTEDInternalBleeding18,correct,2255,2085,2387,0.039353132247924805
030_UCR_Anomaly_DISTORTEDInternalBleeding19,incorrect,4299,1087,1297,0.03647613525390625
031_UCR_Anomaly_DISTORTEDInternalBleeding20,incorrect,756,2959,3319,0.034533023834228516
032_UCR_Anomaly_DISTORTEDInternalBleeding4,correct,3691,3575,4133,0.04290032386779785
033_UCR_Anomaly_DISTORTEDInternalBleeding5,correct,2200,2100,2470,0.028922557830810547
034_UCR_Anomaly_DISTORTEDInternalBleeding6,correct,2179,1874,2229,0.04514265060424805
035_UCR_Anomaly_DISTORTEDInternalBleeding8,incorrect,3224,3265,3574,0.03701949119567871
036_UCR_Anomaly_DISTORTEDInternalBleeding9,incorrect,996,2299,2581,0.025417089462280273
037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1,incorrect,24796,12110,12360,0.17978310585021973
038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2,incorrect,24746,22762,23032,0.17579913139343262
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3,incorrect,24740,11290,11520,0.17408227920532227
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4,correct,11583,11290,11620,0.16602706909179688
041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5,incorrect,22623,10290,10620,0.15422916412353516
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6,incorrect,22683,5090,5520,0.16399860382080078
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris,incorrect,4891,9180,9540,0.10739374160766602
044_UCR_Anomaly_DISTORTEDPowerDemand1,correct,9733,9385,9921,0.12673425674438477
045_UCR_Anomaly_DISTORTEDPowerDemand2,incorrect,194,9257,9817,0.10379433631896973
046_UCR_Anomaly_DISTORTEDPowerDemand3,incorrect,4414,7305,7577,0.0899507999420166
047_UCR_Anomaly_DISTORTEDPowerDemand4,correct,5995,5905,6177,0.07495641708374023
048_UCR_Anomaly_DISTORTEDTkeepFifthMARS,correct,2497,2388,2685,0.05152130126953125
049_UCR_Anomaly_DISTORTEDTkeepFirstMARS,incorrect,923,1765,1980,0.04929327964782715
050_UCR_Anomaly_DISTORTEDTkeepForthMARS,incorrect,1689,2388,2685,0.05037641525268555
051_UCR_Anomaly_DISTORTEDTkeepSecondMARS,correct,5808,5730,5940,0.050484418869018555
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS,correct,1219,1111,1409,0.050946712493896484
053_UCR_Anomaly_DISTORTEDWalkingAceleration1,incorrect,4217,1164,1595,0.0344996452331543
054_UCR_Anomaly_DISTORTEDWalkingAceleration5,incorrect,3014,3120,3379,0.02909708023071289
055_UCR_Anomaly_DISTORTEDapneaecg2,correct,10904,10850,11200,0.19129157066345215
056_UCR_Anomaly_DISTORTEDapneaecg3,incorrect,32142,6011,6311,0.21866822242736816
057_UCR_Anomaly_DISTORTEDapneaecg4,correct,9992,9900,10200,0.2030336856842041
058_UCR_Anomaly_DISTORTEDapneaecg,correct,2193,2140,2408,0.19013619422912598
059_UCR_Anomaly_DISTORTEDgait1,incorrect,39849,18400,18900,0.3272058963775635
060_UCR_Anomaly_DISTORTEDgait2,incorrect,13242,24400,24900,0.33022189140319824
061_UCR_Anomaly_DISTORTEDgait3,incorrect,34833,35300,36100,0.2811739444732666
062_UCR_Anomaly_DISTORTEDgaitHunt1,correct,14614,14470,14780,0.35767316818237305
063_UCR_Anomaly_DISTORTEDgaitHunt2,incorrect,43991,12600,13450,0.33953404426574707
064_UCR_Anomaly_DISTORTEDgaitHunt3,correct,15309,14900,15900,0.3195970058441162
065_UCR_Anomaly_DISTORTEDinsectEPG1,incorrect,5744,3900,4130,0.051622867584228516
066_UCR_Anomaly_DISTORTEDinsectEPG2,correct,4238,4200,4425,0.038567543029785156
067_UCR_Anomaly_DISTORTEDinsectEPG3,incorrect,3545,1700,1950,0.03594779968261719
068_UCR_Anomaly_DISTORTEDinsectEPG4,correct,5189,5108,5358,0.06116437911987305
069_UCR_Anomaly_DISTORTEDinsectEPG5,correct,5244,5200,5401,0.04680204391479492
070_UCR_Anomaly_DISTORTEDltstdbs30791AI,incorrect,35871,34945,35345,0.30971646308898926
071_UCR_Anomaly_DISTORTEDltstdbs30791AS,incorrect,13011,29500,29900,0.2315828800201416
072_UCR_Anomaly_DISTORTEDltstdbs30791ES,correct,32751,32500,32900,0.21686196327209473
073_UCR_Anomaly_DISTORTEDpark3m,incorrect,9391,12050,12595,0.23244524002075195
074_UCR_Anomaly_DISTORTEDqtdbSel1005V,correct,8646,8300,8900,0.20716214179992676
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII,correct,9628,9300,9900,0.16559243202209473
076_UCR_Anomaly_DISTORTEDresperation10,incorrect,16098,82600,83980,1.3413848876953125
077_UCR_Anomaly_DISTORTEDresperation11,incorrect,126417,52700,52901,1.2553932666778564
078_UCR_Anomaly_DISTORTEDresperation1,incorrect,91552,10160,10512,0.8686838150024414
079_UCR_Anomaly_DISTORTEDresperation2,incorrect,38734,138150,138350,1.5339202880859375
080_UCR_Anomaly_DISTORTEDresperation2,incorrect,144928,138150,138351,1.4421260356903076
081_UCR_Anomaly_DISTORTEDresperation3,incorrect,43517,113150,113351,1.336083173751831
082_UCR_Anomaly_DISTORTEDresperation4,incorrect,8060,58330,58531,1.107893943786621
083_UCR_Anomaly_DISTORTEDresperation9,incorrect,144772,105311,105611,1.3845150470733643
084_UCR_Anomaly_DISTORTEDs20101mML2,correct,23723,23674,23974,0.176774263381958
085_UCR_Anomaly_DISTORTEDs20101m,correct,25756,25674,25974,0.19811010360717773
086_UCR_Anomaly_DISTORTEDsddb49,incorrect,23441,47850,48300,0.4499180316925049
087_UCR_Anomaly_DISTORTEDsel840mECG1,incorrect,42439,34270,34840,0.26436424255371094
088_UCR_Anomaly_DISTORTEDsel840mECG2,incorrect,35791,29270,29840,0.25198912620544434
089_UCR_Anomaly_DISTORTEDtiltAPB1,correct,14228,14183,14450,0.22060298919677734
090_UCR_Anomaly_DISTORTEDtiltAPB2,incorrect,5921,74059,75085,0.5982661247253418
091_UCR_Anomaly_DISTORTEDtiltAPB3,incorrect,52593,73900,74470,0.6652431488037109
092_UCR_Anomaly_DISTORTEDtiltAPB4,correct,47993,47895,48096,0.845728874206543
